As of 2022-01-16,1,2,3,4,5
RHPL,28,59,10,,
JLI,59,10,10,,
SPC,56,57,10,,
CHDC,14,21,100,,
GUFL,44,58,10,,
UPPER,42,58,200,,
PROFL,49,44,10,,
MLBL,32,34,10,,
SAHAS,45,1,10,,
PICL,57,52,200,,
NIFRA,42,58,10,,
NIFRA,42,25,60,,
NIFRA,42,42,50,,
NIFRA,42,44,16,,
NIFRA,42,42,40,,
GBIME,43,58,53,,
HPPL,43,54,15,,
GBIME,43,20,229,,
HPPL,43,13,10,,
MBJC,59,58,10,,
GUFL,1,58,200,,
UPPER,48,45,383,,
UPPER,16,45,100,,
UPPER,16,45,500,,
UPPER,55,45,500,,
UPPER,26,45,100,,
UPPER,41,45,107,,
UPPER,33,45,100,,
UPPER,25,45,40,,
UPPER,45,45,20,,
UPPER,21,45,50,,
UPPER,59,45,100,,
PRVU,28,21,160,,
UNHPL,50,13,100,,
NLICL,32,42,150,,
JBLB,53,16,10,,
CBL,34,50,100,,
NABIL,26,41,36,,
CHCL,37,49,115,,
CHCL,26,49,297,,
SAHAS,45,58,150,,
SAHAS,14,58,150,,
NRIC,51,42,50,,
KBL,20,26,269,,
CBL,34,26,150,,
NIFRA,52,25,10,,
HIDCL,58,34,20,,
SANIMA,35,33,489,,
SANIMA,42,33,10,,
SANIMA,58,33,40,,
SANIMA,58,33,20,,
SANIMA,52,33,841,,
MNBBL,57,17,285,,
MNBBL,52,17,200,,
MNBBL,44,17,50,,
MNBBL,41,17,365,,
MNBBL,39,17,100,,
HIDCL,42,34,180,,
NCCB,44,56,699,,
PMHPL,34,39,10,,
NMFBS,45,26,51,,
UMHL,44,14,100,,
NGPL,47,58,10,,
SLI,45,35,10,,
HDHPC,40,34,200,,
NABBC,34,42,200,,
KSBBL,42,37,300,,
SLI,45,10,10,,
GUFL,8,58,58,,
GUFL,57,58,25,,
GUFL,11,58,50,,
GUFL,7,58,300,,
BNT,21,46,10,,
ADBL,52,52,139,,
JFL,35,22,94,,
JFL,35,28,12,,
JFL,35,45,44,,
NCCB,44,56,300,,
NCCB,42,56,20,,
NCCB,43,56,60,,
NCCB,44,56,620,,
NICBF,3,54,10000,,
MEGA,18,49,10,,
PLI,3,49,10,,
SHIVM,55,40,50,,
NFS,21,58,25,,
NFS,49,58,10,,
NFS,34,58,20,,
SHEL,55,10,10,,
SJCL,34,22,100,,
UMHL,44,41,100,,
CBL,42,17,30,,
CBL,42,59,20,,
PCBL,40,44,40,,
AKPL,58,28,10,,
AKPL,58,14,190,,
SAHAS,14,58,10,,
PRIN,1,52,150,,
NIFRA,25,41,17,,
MMFDB,34,43,50,,
MMFDB,34,48,271,,
NGPL,34,58,70,,
SAHAS,14,32,10,,
SAHAS,14,10,10,,
API,35,40,34,,
NMB,51,33,2000,,
NMB,51,52,900,,
NIFRA,52,51,100,,
HDL,22,4,15,,
UNHPL,22,38,100,,
PRVU,57,21,500,,
PRVU,38,21,565,,
AHPC,33,21,10,,
NIFRA,34,51,50,,
SKBBL,41,45,10,,
SAHAS,14,35,10,,
SAHAS,14,51,10,,
NIFRA,34,53,35,,
NIFRA,45,53,15,,
LBBL,42,57,321,,
LBBL,42,57,48,,
EDBL,32,43,45,,
MLBSL,55,38,10,,
ADBL,58,13,20,,
KKHC,22,13,16,,
CZBIL,37,52,196,,
JFL,35,20,100,,
UNHPL,22,6,200,,
AKJCL,33,38,500,,
MNBBL,41,17,135,,
MNBBL,26,17,415,,
MNBBL,32,17,100,,
MNBBL,26,17,100,,
MNBBL,38,17,200,,
MNBBL,1,17,50,,
NIFRA,45,57,35,,
NIFRA,35,57,15,,
UMRH,46,42,31,,
UMRH,46,58,100,,
SGI,5,58,10,,
RLI,13,10,10,,
CHL,21,3,200,,
CHL,20,3,134,,
MLBBL,44,35,61,,
AKPL,53,45,27,,
ALICL,42,28,100,,
ALICL,42,6,200,,
ALICL,42,39,100,,
ALICL,42,53,200,,
CZBIL,17,13,99,,
SADBL,45,44,300,,
UPCL,42,4,200,,
STC,36,38,10,,
STC,36,45,16,,
NIFRA,35,21,60,,
UPPER,48,39,100,,
UPPER,37,39,1500,,
UPPER,37,39,660,,
NABIL,43,34,30,,
NABIL,58,34,20,,
CCBL,48,58,55,,
NUBL,38,43,163,,
API,41,13,16,,
API,35,20,190,,
PLI,3,10,10,,
RHPL,28,41,10,,
NLG,25,34,10,,
SSHL,49,48,10,,
SRBL,42,50,500,,
SHIVM,55,58,10,,
SHIVM,55,57,60,,
SHIVM,55,58,50,,
NGPL,38,48,50,,
NGPL,38,28,100,,
NGPL,38,45,40,,
JSLBB,54,16,40,,
JSLBB,54,35,60,,
JBLB,48,1,90,,
JBLB,46,1,80,,
JBLB,50,1,10,,
SHEL,55,5,10,,
MFIL,58,17,10,,
SHL,55,39,120,,
SHL,43,39,880,,
JLI,59,10,10,,
DDBL,6,44,27,,
DDBL,42,44,11,,
DDBL,41,44,10,,
DDBL,21,44,32,,
LEC,52,58,10,,
PRVU,38,37,585,,
JBBL,43,17,53,,
JBBL,6,17,100,,
JBBL,53,17,200,,
JBBL,22,17,200,,
JBBL,55,17,50,,
JBBL,50,17,50,,
JBBL,25,17,500,,
JBBL,43,17,100,,
JBBL,10,17,100,,
JBBL,50,17,50,,
JBBL,58,17,75,,
JBBL,32,17,22,,
JBBL,57,17,200,,
JBBL,59,17,300,,
CHCL,26,29,50,,
GMFIL,26,34,100,,
RSDC,45,52,40,,
RSDC,45,33,20,,
RSDC,45,35,140,,
GUFL,35,38,100,,
SAPDBL,44,21,20,,
PICL,57,47,16,,
PICL,57,25,100,,
IGI,3,35,50,,
SHL,43,58,120,,
SHL,35,58,380,,
PROFL,49,44,40,,
NCCB,44,54,381,,
NCCB,13,54,170,,
SLI,45,52,10,,
MKLB,58,47,10,,
SPC,56,37,10,,
UPPER,4,39,100,,
SCB,50,5,64,,
NFS,34,34,30,,
IGI,38,35,50,,
MLBL,42,41,285,,
NIFRA,54,49,20,,
NICA,42,40,30,,
MBL,28,57,1336,,
HIDCL,57,13,28,,
MBL,58,57,64,,
NRIC,5,52,61,,
NRIC,5,14,12,,
NRIC,5,21,27,,
SPDL,44,21,150,,
SPDL,17,21,70,,
SPDL,39,21,50,,
SPDL,49,21,67,,
NRIC,51,21,23,,
SPDL,45,21,50,,
MBJC,59,58,10,,
RHPL,28,51,200,,
UPPER,35,39,1000,,
UPPER,55,39,1000,,
UPPER,33,39,1000,,
UPPER,39,39,30,,
UPPER,38,39,300,,
UPPER,42,39,2000,,
UPPER,21,39,50,,
UPPER,54,39,338,,
UPPER,58,39,60,,
UPPER,56,39,50,,
UPPER,16,39,100,,
UPPER,33,39,65,,
UPPER,57,39,1790,,
NIFRA,45,44,50,,
NIFRA,45,52,50,,
MNBBL,42,49,100,,
SHPC,26,50,1041,,
NLIC,32,52,29,,
AHPC,25,57,47,,
UPCL,49,28,170,,
SHIVM,26,14,100,,
SHIVM,26,20,300,,
SHIVM,26,22,46,,
SHIVM,26,33,50,,
SHIVM,26,35,200,,
MBJC,59,45,10,,
PROFL,49,45,10,,
MLBL,14,41,50,,
CGH,48,13,10,,
NIFRA,17,44,20,,
NABIL,51,5,44,,
SLI,45,10,10,,
ULI,34,21,10,,
KKHC,48,50,11,,
KBL,34,26,20,,
KBL,26,26,11,,
NGPL,34,57,30,,
GBIME,3,20,771,,
GBIME,3,45,200,,
GBIME,3,33,29,,
API,22,20,500,,
HDL,22,4,10,,
GBIME,51,33,10,,
HIDCL,49,13,72,,
NHPC,34,3,1000,,
HDL,22,6,25,,
NABIL,1,33,50,,
SLI,45,21,10,,
BPCL,49,35,100,,
NMB,49,14,10,,
GLICL,19,17,80,,
UPPER,57,59,50,,
SPDL,45,4,50,,
SPDL,49,4,50,,
CFCL,45,14,200,,
ICFC,11,55,58,,
NICLBSL,32,16,50,,
TPC,35,49,10,,
HIDCL,49,34,65,,
NMB,49,38,30,,
GHL,16,57,53,,
GHL,4,57,400,,
GHL,52,57,47,,
GHL,57,57,500,,
SRBL,35,28,939,,
NRIC,51,4,48,,
PLI,3,10,10,,
UPPER,57,32,30,,
MEGA,35,5,46,,
LEC,5,39,100,,
GHL,55,32,500,,
NGPL,45,57,70,,
NICL,42,45,50,,
MBJC,59,38,10,,
PLI,3,21,10,,
HIDCL,49,53,57,,
HPPL,43,49,10,,
BOKL,17,44,100,,
MBL,28,36,56,,
MBL,28,57,200,,
MBL,28,52,50,,
MBL,28,57,1540,,
MBL,28,44,644,,
MBL,28,55,500,,
MBL,28,48,10,,
HIDCL,49,33,10,,
MFIL,58,45,30,,
CBL,42,59,50,,
ACLBSL,48,58,10,,
SAHAS,45,28,10,,
GBBL,49,57,162,,
STC,28,5,4,,
STC,28,49,10,,
STC,28,38,12,,
MKJC,51,58,10,,
CBL,34,49,50,,
GBIME,45,33,400,,
NIFRA,46,14,230,,
NIFRA,45,14,65,,
NIFRA,34,14,25,,
NIFRA,43,14,100,,
NIFRA,34,14,500,,
NIFRA,45,14,20,,
NIFRA,42,14,60,,
MEN,32,10,10,,
ADBL,29,32,30,,
NLIC,32,41,18,,
NLIC,11,41,11,,
GIC,46,58,10,,
NHPC,17,45,100,,
AIL,49,37,170,,
GLH,54,21,10,,
NICA,42,21,38,,
NICA,42,1,50,,
NICA,42,21,15,,
NICA,42,5,100,,
NICA,42,54,50,,
NICA,42,17,100,,
NICA,42,28,79,,
SLI,45,4,10,,
BARUN,49,28,100,,
NYADI,38,20,10,,
UPPER,57,43,10,,
ULI,38,43,10,,
NIFRA,16,44,200,,
CCBL,50,5,45,,
SLBSL,58,21,13,,
UPPER,58,56,70,,
HIDCL,22,34,201,,
SHIVM,36,19,100,,
FOWAD,32,44,95,,
API,4,20,60,,
JLI,59,10,10,,
ULI,38,38,10,,
NTC,4,41,10,,
NTC,4,54,10,,
MEGA,44,45,15,,
ULI,38,41,10,,
SAPDBL,44,35,400,,
NIFRA,45,44,85,,
RURU,33,21,10,,
FOWAD,50,55,10,,
SJCL,33,43,10,,
API,4,50,50,,
SPDL,49,13,120,,
SPDL,45,13,14,,
SHIVM,41,17,170,,
FMDBL,21,17,50,,
SHIVM,51,17,21,,
AKJCL,14,34,49,,
CCBL,41,16,100,,
API,4,35,10,,
NYADI,40,32,10,,
NYADI,40,35,100,,
NYADI,40,32,10,,
NYADI,40,35,10,,
NYADI,40,59,40,,
DHPL,47,33,500,,
SLBBL,47,19,50,,
SLI,45,21,10,,
MFIL,58,10,10,,
UPPER,57,48,100,,
SLI,45,57,10,,
CBL,57,58,20,,
MBL,58,48,50,,
MBL,58,13,36,,
MBL,58,33,1250,,
MDB,28,54,10,,
ULI,38,45,50,,
ILBS,45,10,13,,
ILBS,45,41,50,,
HDL,22,41,13,,
CBL,58,58,21,,
NABIL,8,48,82,,
NABIL,21,48,18,,
HIDCL,49,48,61,,
GUFL,28,50,200,,
CHDC,57,38,10,,
RADHI,43,43,17,,
UPPER,57,45,20,,
RADHI,57,43,100,,
NICLBSL,38,32,100,,
PLI,3,21,10,,
CBL,42,17,50,,
RHPL,44,43,10,,
DHPL,53,47,100,,
DHPL,53,18,100,,
AHPC,16,16,1542,,
AHPC,16,44,50,,
AHPC,16,4,20,,
AHPC,16,54,50,,
AHPC,16,34,100,,
AHPC,16,49,100,,
AHPC,16,21,200,,
AHPC,16,5,10,,
AHPC,16,49,200,,
AHPC,16,7,122,,
AHPC,16,49,16,,
AHPC,16,50,100,,
AHPC,16,52,50,,
AHPC,16,28,132,,
AHPC,16,54,100,,
AHPC,16,38,140,,
AHPC,16,59,56,,
AHPC,16,26,1000,,
AHPC,16,57,100,,
AHPC,16,54,102,,
AHPC,16,58,810,,
ULI,38,49,10,,
AHPC,40,58,190,,
AHPC,40,45,10,,
SPDL,57,45,100,,
ICFC,11,58,22,,
MBJC,59,34,10,,
KSBBL,34,22,15,,
GUFL,1,50,50,,
GLH,54,29,35,,
GLH,34,29,15,,
PLIC,34,45,1000,,
PLIC,50,45,500,,
MFIL,58,49,10,,
HDL,22,41,50,,
KSBBL,33,22,100,,
ALICL,25,44,161,,
ALICL,25,44,39,,
AHPC,29,54,48,,
AHPC,29,7,50,,
AHPC,29,49,100,,
AHPC,29,49,106,,
AHPC,29,21,25,,
AHPC,29,16,150,,
AHPC,29,19,100,,
AHPC,29,34,1000,,
AHPC,29,42,33,,
AHPC,29,22,500,,
AHPC,29,48,300,,
AHPC,29,39,50,,
AHPC,29,29,23,,
AHPC,29,54,70,,
AHPC,29,59,10,,
AHPC,29,4,200,,
AHPC,29,16,200,,
AHPC,29,53,15,,
AHPC,29,29,10,,
AHPC,29,35,10,,
HDL,22,17,38,,
HDL,38,17,15,,
HDL,44,17,10,,
HDL,34,17,15,,
HDL,52,17,12,,
HDL,29,17,10,,
AHPC,58,58,180,,
NLIC,11,29,19,,
UIC,39,39,100,,
UIC,59,39,100,,
UIC,38,39,20,,
MBJC,59,58,10,,
MEGA,35,20,30,,
PROFL,29,18,3,,
HDL,47,4,20,,
NIFRA,57,43,20,,
NIFRA,21,43,20,,
NTC,56,49,161,,
NIL,32,49,100,,
NTC,4,49,39,,
SHIVM,51,49,50,,
NIL,18,49,100,,
GUFL,57,50,50,,
API,41,50,244,,
NTC,4,3,300,,
API,41,6,116,,
NTC,4,42,2661,,
API,41,7,20,,
API,41,42,20,,
API,41,38,100,,
SHIVM,51,34,10,,
SHIVM,51,48,219,,
NIFRA,25,44,62,,
NIFRA,25,58,10,,
NGPL,14,45,10,,
NIFRA,47,45,16,,
NIFRA,47,49,60,,
UMHL,36,55,131,,
AKPL,16,28,33,,
STC,5,40,10,,
STC,5,10,10,,
STC,5,22,20,,
STC,5,44,20,,
RHPL,44,44,70,,
SANIMA,52,34,200,,
PROFL,53,34,130,,
SAHAS,45,21,10,,
AIL,49,53,150,,
AIL,49,45,30,,
AIL,49,26,30,,
AIL,49,39,10,,
AIL,49,37,100,,
AIL,49,34,10,,
AIL,49,37,500,,
SINDU,49,44,1000,,
PLI,14,52,10,,
PLI,14,33,10,,
PLI,14,48,10,,
PLI,14,57,120,,
PLI,14,4,10,,
PLI,14,14,10,,
PLI,14,14,40,,
PLI,14,58,10,,
PLI,14,48,30,,
PLI,14,21,120,,
PLI,14,41,10,,
PLI,14,58,10,,
PLI,14,40,100,,
PLI,14,4,10,,
PLI,14,56,10,,
PLI,14,14,10,,
PLI,14,54,10,,
PLI,14,21,10,,
PLI,14,22,10,,
PLI,14,52,10,,
PLI,14,57,10,,
PLI,14,49,10,,
PLI,14,49,10,,
PLI,14,8,10,,
PLI,14,51,10,,
PLI,14,44,50,,
NUBL,13,45,10,,
NMB,13,38,170,,
API,4,49,30,,
ULI,38,57,10,,
UPCL,49,29,50,,
CHCL,37,22,500,,
BBC,17,11,10,,
BBC,17,34,10,,
KSBBL,49,35,63,,
KSBBL,46,35,87,,
RMDC,5,21,11,,
NYADI,16,8,10,,
NYADI,16,46,10,,
NYADI,16,22,50,,
NYADI,16,13,10,,
NYADI,16,35,40,,
NYADI,16,35,10,,
GUFL,34,50,100,,
RLI,13,33,10,,
HDL,38,41,15,,
MLBL,42,41,359,,
MLBL,42,53,10,,
NICLBSL,34,42,10,,
MLBL,16,53,10,,
SAHAS,45,35,10,,
SAPDBL,44,58,80,,
SAPDBL,28,58,420,,
AHPC,58,33,250,,
AHPC,58,42,150,,
AHPC,58,16,3000,,
AHPC,58,19,10,,
AHPC,58,57,2000,,
AHPC,58,34,564,,
AHPC,58,19,1000,,
PMHPL,55,49,10,,
PMHPL,55,21,20,,
PMHPL,55,54,50,,
PMHPL,55,3,19,,
PCBL,45,29,256,,
RHPL,45,52,100,,
MLBL,14,53,80,,
MLBL,14,34,20,,
SHEL,46,21,10,,
PFL,18,36,100,,
NABIL,49,48,90,,
MEGA,35,32,391,,
AHPC,16,34,100,,
AHPC,16,59,100,,
AHPC,16,58,89,,
AHPC,16,41,45,,
GBBL,26,57,120,,
AHPC,16,52,50,,
AHPC,16,58,666,,
AHPC,16,38,500,,
AHPC,16,45,100,,
AHPC,16,25,500,,
HIDCL,7,48,671,,
AHPC,16,11,15,,
AHPC,16,16,49,,
AHPC,16,59,1800,,
AHPC,16,21,50,,
AHPC,16,44,100,,
AHPC,16,52,88,,
AHPC,16,25,150,,
AHPC,16,49,46,,
SAHAS,45,49,10,,
CCBL,50,29,223,,
AHPC,39,49,250,,
AKJCL,44,28,1000,,
AHPC,20,48,170,,
AHPC,16,34,436,,
AHPC,16,26,116,,
CIT,55,17,100,,
GUFL,53,38,100,,
AKPL,16,4,100,,
NICA,48,28,71,,
NICA,48,17,100,,
NICA,48,32,100,,
NICA,48,58,10,,
NICA,48,7,500,,
NICA,48,7,200,,
NICA,48,38,119,,
NICA,48,26,100,,
NICA,48,57,100,,
NICA,48,6,1000,,
NICA,48,28,100,,
NICA,48,22,390,,
NICA,48,52,200,,
NICA,48,44,45,,
NYADI,16,34,10,,
NYADI,16,7,10,,
NICA,48,58,35,,
NYADI,16,21,10,,
NICA,48,13,400,,
NYADI,16,58,10,,
NICA,48,26,64,,
NYADI,16,8,10,,
NICA,48,45,125,,
NYADI,16,45,10,,
NICA,48,53,141,,
NYADI,16,36,10,,
NYADI,16,40,10,,
NYADI,16,49,10,,
NYADI,16,36,10,,
IGI,58,35,100,,
SHEL,46,35,10,,
HDL,49,41,12,,
ULI,38,14,10,,
SINDU,41,44,131,,
SINDU,41,17,50,,
SINDU,41,48,100,,
SINDU,41,42,10,,
NHPC,28,34,57,,
NTC,58,42,200,,
NTC,58,42,139,,
LBL,14,49,100,,
AHPC,17,49,100,,
JFL,35,34,100,,
JFL,35,59,127,,
JFL,35,41,60,,
RURU,33,14,10,,
ICFC,11,58,20,,
GLH,54,17,10,,
NLIC,41,29,20,,
PRVU,11,37,15,,
MBJC,59,43,10,,
HIDCL,7,1,51,,
HIDCL,7,33,1000,,
HIDCL,7,58,58,,
HIDCL,7,42,10,,
HIDCL,7,20,30,,
HIDCL,7,37,180,,
SJCL,4,34,10,,
SHINE,58,45,200,,
NICA,48,53,259,,
NICA,48,34,100,,
NICA,48,45,40,,
NICA,48,35,20,,
NICA,48,17,50,,
NICA,48,51,100,,
NICA,48,33,500,,
NICA,48,42,11,,
NICA,48,42,100,,
NICA,48,6,20,,
NICA,48,1,30,,
NICA,48,52,130,,
NICA,48,6,500,,
NICA,48,49,10,,
NICA,48,58,130,,
SPDL,32,49,10,,
SHINE,55,51,50,,
SHINE,11,51,50,,
AHPC,39,49,104,,
ICFC,51,52,300,,
AHPC,39,28,46,,
ICFC,58,52,20,,
RMDC,5,34,500,,
BARUN,46,28,270,,
PMHPL,55,3,200,,
SSHL,58,38,90,,
SSHL,49,38,10,,
SLI,49,21,10,,
PICL,39,28,240,,
NABIL,21,50,10,,
SHIVM,49,48,781,,
SHIVM,49,58,250,,
SHIVM,49,8,100,,
SHIVM,49,36,50,,
SHIVM,49,37,61,,
SHIVM,49,10,100,,
SHIVM,49,57,50,,
SHIVM,49,19,50,,
SHIVM,49,33,117,,
SHIVM,49,20,16,,
SHIVM,49,53,100,,
SHIVM,49,20,200,,
SHIVM,49,13,125,,
NHPC,49,45,500,,
AHPC,17,28,54,,
AHPC,17,47,46,,
PIC,45,52,122,,
PIC,45,6,10,,
PIC,45,6,10,,
PIC,45,54,58,,
RADHI,42,43,13,,
HDL,58,41,10,,
JOSHI,41,43,100,,
SLI,49,45,10,,
HIDCL,34,49,20,,
GUFL,53,50,100,,
UPCL,46,17,5,,
SRBL,26,28,61,,
SRBL,26,41,39,,
NMFBS,48,41,20,,
AKPL,16,49,50,,
AKPL,16,33,300,,
AKPL,16,1,17,,
SAHAS,45,57,10,,
LBBL,56,57,52,,
NHPC,28,57,250,,
API,35,29,169,,
SANIMA,52,1,35,,
JOSHI,25,43,90,,
JOSHI,25,51,40,,
KKHC,22,3,100,,
KKHC,22,28,50,,
NLICL,53,34,50,,
NLICL,53,22,100,,
PLI,3,21,10,,
AHPC,58,47,54,,
AHPC,58,49,100,,
AHPC,58,1,50,,
AHPC,58,42,100,,
AHPC,58,38,200,,
AHPC,58,14,10,,
AHPC,58,43,10,,
AHPC,58,28,50,,
AHPC,58,5,400,,
AHPC,58,51,190,,
AHPC,58,7,116,,
AHPC,58,47,200,,
AHPC,58,45,10,,
AHPC,58,49,510,,
NTC,58,35,51,,
KSBBL,46,28,393,,
KSBBL,39,28,75,,
KSBBL,20,28,32,,
MFIL,58,50,10,,
AHPC,39,49,250,,
AHPC,58,49,100,,
LEC,52,38,10,,
AHPC,39,49,250,,
KMCDB,14,21,10,,
RADHI,26,43,50,,
RADHI,33,43,20,,
RADHI,5,43,50,,
PROFL,53,34,100,,
PROFL,53,44,150,,
CIT,56,22,40,,
NIFRA,41,45,20,,
SAHAS,45,58,10,,
MBJC,59,58,10,,
SJCL,4,57,80,,
SSHL,49,7,10,,
HIDCL,34,17,780,,
HIDCL,58,17,20,,
HIDCL,22,17,200,,
HDHPC,58,45,20,,
MEN,32,33,10,,
SLICL,4,32,100,,
JLI,59,21,10,,
GIC,58,38,10,,
NBL,44,49,68,,
HIDCL,5,37,120,,
HIDCL,5,21,380,,
CHCL,7,22,200,,
AHPC,17,49,100,,
SGI,5,56,10,,
RADHI,14,45,50,,
AHPC,55,49,100,,
AHPC,20,49,140,,
LBL,16,37,10,,
SBCF,14,58,250,,
NHPC,33,45,60,,
SHPC,35,45,65,,
SHPC,35,45,224,,
SHPC,35,50,420,,
SAHAS,45,58,10,,
PMHPL,29,38,40,,
MEN,32,1,10,,
NABIL,32,48,100,,
NABIL,54,48,10,,
AHPC,39,49,150,,
AHPC,58,49,100,,
API,35,29,31,,
ALICL,25,44,261,,
LICN,38,25,100,,
LICN,40,25,100,,
NHPC,38,45,500,,
JOSHI,32,51,50,,
JOSHI,32,51,100,,
JOSHI,36,51,260,,
JOSHI,35,51,50,,
GUFL,42,50,50,,
API,41,42,280,,
API,41,41,110,,
API,41,33,50,,
API,41,49,60,,
NBL,58,49,30,,
SICL,51,14,50,,
KBL,26,40,24,,
JBLB,50,47,10,,
PROFL,53,1,100,,
PROFL,53,34,20,,
GUFL,17,50,100,,
SAHAS,45,17,80,,
CCBL,50,16,20,,
MLBL,49,50,90,,
NABIL,45,41,30,,
NABIL,8,41,30,,
SINDU,41,22,30,,
API,35,21,12,,
HIDCL,34,44,100,,
HIDCL,45,44,400,,
SLI,17,58,10,,
SLI,17,26,10,,
SLI,17,22,10,,
AHPC,17,17,150,,
HDL,22,13,11,,
HDL,22,43,39,,
MDB,41,56,50,,
ALICL,36,44,79,,
NHPC,53,45,700,,
NABIL,56,33,300,,
KSBBL,57,13,90,,
KSBBL,16,13,10,,
SADBL,35,44,100,,
CIT,5,22,10,,
SHPC,5,50,500,,
IGI,46,1,10,,
GBIME,57,32,19,,
ICFC,35,58,30,,
ICFC,58,58,50,,
ULI,38,34,10,,
UPPER,33,49,62,,
UPPER,33,49,10,,
AHPC,39,17,200,,
SANIMA,44,13,30,,
NYADI,10,38,10,,
SHIVM,47,43,170,,
CBL,26,57,50,,
CBL,13,57,150,,
SRBL,40,41,11,,
UPPER,21,49,50,,
UMHL,29,28,500,,
LBBL,56,45,500,,
LBBL,56,40,100,,
LBBL,56,28,200,,
LBBL,56,58,818,,
HPPL,43,54,37,,
HPPL,43,38,10,,
HPPL,43,41,10,,
HPPL,43,44,143,,
AHPC,58,17,100,,
CORBL,6,1,10,,
GUFL,35,50,500,,
AHPC,20,17,350,,
API,35,52,47,,
AHPC,17,17,100,,
ACLBSL,26,29,10,,
SLI,49,58,10,,
CIT,46,6,30,,
CIT,46,58,15,,
NICLBSL,34,40,10,,
AHPC,47,17,100,,
GLH,54,17,185,,
GLH,5,17,65,,
SAHAS,45,45,10,,
SHPC,41,50,50,,
API,35,49,10,,
AHPC,39,49,150,,
JLI,59,34,10,,
NTC,58,33,10,,
SHIVM,47,43,100,,
MBJC,59,45,10,,
LBL,26,37,20,,
SHIVM,26,43,50,,
SHIVM,42,43,180,,
SPC,56,57,10,,
SHIVM,33,20,50,,
SPC,56,58,10,,
JLI,42,56,10,,
KSBBL,5,14,200,,
SLI,49,56,10,,
NHPC,54,28,100,,
PROFL,48,44,58,,
PLI,3,47,25,,
PLI,3,14,10,,
PLI,3,58,10,,
CHCL,28,22,250,,
CHCL,28,36,250,,
IGI,46,38,90,,
GBIME,57,35,31,,
NICLBSL,34,22,20,,
NICLBSL,34,4,10,,
NICLBSL,34,58,25,,
NICLBSL,34,41,25,,
UPPER,33,45,50,,
JBLB,34,35,30,,
AHPC,58,49,150,,
NIFRA,45,22,168,,
NIFRA,4,22,400,,
NIFRA,49,22,130,,
NIFRA,38,22,50,,
NIFRA,11,22,40,,
NIFRA,57,22,10,,
NIFRA,38,22,200,,
NIFRA,28,22,200,,
NIFRA,8,22,12,,
NIFRA,57,22,50,,
NIFRA,4,22,200,,
NIFRA,32,22,40,,
NTC,58,49,307,,
NTC,58,58,30,,
NTC,58,41,18,,
NTC,58,36,100,,
NTC,58,6,150,,
NTC,58,17,10,,
NTC,58,46,20,,
NTC,58,16,5000,,
NTC,58,1,50,,
NTC,58,32,50,,
NTC,58,18,500,,
NTC,58,28,192,,
NTC,58,44,50,,
NTC,58,22,200,,
NTC,58,33,10,,
NTC,58,40,250,,
NTC,58,56,25,,
NTC,58,38,100,,
NTC,58,47,10,,
NTC,58,49,10,,
NTC,58,57,100,,
NTC,58,37,15,,
NTC,58,40,75,,
NTC,58,46,50,,
NTC,58,48,10,,
NTC,58,16,20,,
NTC,58,19,100,,
NTC,58,49,730,,
NTC,58,16,20,,
NTC,58,26,50,,
NTC,58,28,40,,
NTC,58,53,300,,
NTC,58,41,50,,
NTC,58,17,10,,
NTC,58,58,2000,,
NTC,58,33,100,,
NTC,58,50,100,,
NTC,58,42,20,,
NTC,58,21,400,,
NTC,58,58,304,,
NTC,58,58,25,,
NTC,58,21,50,,
NTC,58,13,45,,
NTC,58,5,20,,
NTC,58,32,100,,
NTC,58,52,30,,
NTC,58,57,133,,
NTC,58,22,30,,
NTC,58,38,50,,
NTC,58,45,200,,
NTC,58,26,10,,
NTC,58,22,30,,
NTC,58,40,150,,
NTC,58,19,200,,
NTC,58,57,100,,
NTC,58,48,200,,
NTC,58,28,100,,
NTC,58,36,20,,
NTC,58,36,200,,
NTC,58,45,106,,
NTC,58,1,30,,
NTC,58,50,20,,
NTC,58,58,500,,
NTC,58,57,10,,
NTC,58,21,500,,
NTC,58,11,250,,
NTC,58,59,10,,
NTC,58,22,305,,
NMFBS,48,58,10,,
NRIC,51,58,29,,
NRIC,49,58,20,,
AHPC,55,7,184,,
AHPC,55,42,16,,
AHPC,20,38,44,,
AHPC,20,38,96,,
NUBL,16,45,100,,
NLIC,33,29,10,,
SJCL,25,21,40,,
GUFL,42,50,100,,
ADBL,58,14,23,,
GUFL,49,50,55,,
GUFL,49,14,45,,
NICLBSL,34,58,20,,
NICLBSL,34,43,80,,
NFS,38,41,68,,
SRBL,56,41,50,,
NYADI,38,58,10,,
CFCL,17,49,200,,
CFCL,17,6,1000,,
SANIMA,52,43,425,,
SANIMA,52,32,355,,
SANIMA,52,38,220,,
SGI,7,34,10,,
HDL,44,43,36,,
NABIL,8,13,70,,
GUFL,32,14,200,,
GUFL,57,14,200,,
GUFL,46,14,25,,
GUFL,38,14,200,,
GUFL,50,14,50,,
GUFL,25,14,100,,
GUFL,45,14,10,,
NMB,10,32,50,,
NBF2,59,58,100,,
NICA,58,58,10,,
UPCL,22,11,85,,
UPCL,34,11,10,,
MFIL,49,10,310,,
SHEL,50,46,20,,
SHEL,50,21,540,,
SHEL,50,14,200,,
SHEL,50,28,10,,
SHEL,50,35,10,,
SHEL,50,58,200,,
SHEL,50,57,50,,
