As of 2022-01-16,1,2,3,4,5
HIDCL,49,43,594,,
GLICL,38,43,400,,
GLICL,36,43,100,,
NSLB,28,34,10,,
HURJA,1,42,50,,
HDHPC,20,7,200,,
SPC,45,49,30,,
GFCL,57,6,10,,
RSDC,38,57,10,,
RSDC,38,57,10,,
AHPC,55,18,200,,
SLICL,21,54,10,,
HIDCL,49,21,20,,
HIDCL,35,52,10,,
RADHI,54,45,50,,
MERO,49,25,15,,
GBLBS,58,49,200,,
SLICL,4,49,30,,
AIL,59,49,10,,
HIDCL,49,49,235,,
LBBL,32,57,10,,
MDB,37,59,300,,
NICLBSL,58,22,15,,
NICLBSL,58,38,10,,
NICLBSL,58,53,300,,
NICLBSL,58,4,10,,
SGI,57,58,100,,
NICLBSL,58,35,65,,
NHPC,58,35,40,,
UPPER,34,26,70,,
CLBSL,34,48,10,,
UPPER,34,50,30,,
UPCL,10,13,20,,
PCBL,17,52,80,,
PCBL,17,49,18,,
SLI,52,57,80,,
RLI,49,14,14,,
RLI,42,14,36,,
AKJCL,19,32,100,,
UNHPL,50,41,110,,
UPCL,1,13,10,,
SHIVM,39,20,100,,
SHIVM,39,7,100,,
UPPER,26,50,20,,
UPPER,26,55,80,,
MBL,39,45,603,,
MBL,39,45,97,,
NLIC,38,34,65,,
NLIC,38,42,135,,
LEC,43,4,120,,
MHNL,50,50,500,,
MHNL,50,58,350,,
MHNL,50,25,20,,
GMFIL,50,45,100,,
MHNL,50,42,130,,
HIDCL,49,16,101,,
HIDCL,57,16,159,,
LBBL,58,59,100,,
PRVU,28,34,50,,
AHPC,34,34,100,,
MNBBL,28,5,25,,
NMB,52,28,90,,
MNBBL,28,42,100,,
MNBBL,28,42,225,,
NMB,57,28,10,,
SDLBSL,52,13,21,,
SDLBSL,41,13,19,,
GFCL,21,41,100,,
MLBS,26,47,70,,
CBBL,58,25,10,,
LICN,25,6,40,,
NHPC,38,49,50,,
SHIVM,39,48,50,,
GUFL,37,34,50,,
PLIC,42,45,250,,
ICFC,18,17,70,,
AKPL,57,17,45,,
ICFC,32,17,30,,
AKPL,8,17,35,,
BOKL,52,52,81,,
BOKL,52,39,19,,
KSBBL,52,45,280,,
KSBBL,52,48,420,,
BOKL,52,37,200,,
UMHL,33,48,50,,
NHPC,35,35,200,,
SPDL,13,34,10,,
SRBL,52,7,965,,
NABIL,28,45,207,,
PMHPL,19,38,260,,
MEGA,40,51,50,,
MEGA,40,58,157,,
GBIME,21,21,10,,
GBIME,54,21,152,,
UMRH,50,53,10,,
GBIME,54,16,198,,
SHL,37,45,100,,
AKJCL,38,58,250,,
ULI,38,58,10,,
JLI,39,58,10,,
NLBBL,59,25,20,,
NLBBL,59,38,60,,
CGH,55,29,10,,
CGH,55,25,50,,
SHINE,10,56,300,,
SHINE,10,34,75,,
BFC,10,42,10,,
NLIC,16,16,4,,
CIT,56,33,10,,
SIC,33,56,33,,
NIFRA,32,8,100,,
GBLBS,58,34,15,,
GBLBS,58,46,15,,
GBLBS,58,14,20,,
GBLBS,58,29,10,,
GBLBS,58,58,25,,
GBLBS,58,35,100,,
GBLBS,58,38,25,,
GBLBS,58,51,100,,
GBLBS,58,36,80,,
GBLBS,58,7,100,,
GBLBS,58,20,50,,
GBLBS,58,52,100,,
GBLBS,58,58,49,,
GBLBS,58,13,61,,
GBLBS,58,54,10,,
GBLBS,58,39,50,,
GBLBS,58,17,75,,
SHL,55,35,187,,
GBLBS,58,58,50,,
GBLBS,58,41,25,,
GBLBS,58,34,100,,
UIC,32,5,10,,
GBLBS,58,45,100,,
UIC,32,5,290,,
GBLBS,58,48,10,,
GBLBS,58,57,500,,
GBLBS,58,42,15,,
GBLBS,58,14,100,,
GBLBS,58,34,100,,
GBLBS,58,59,10,,
GBLBS,58,43,35,,
GBLBS,58,16,10,,
GBLBS,58,11,50,,
GBLBS,58,17,50,,
GBLBS,58,49,20,,
GBLBS,58,48,25,,
GBLBS,58,21,15,,
GBLBS,58,42,50,,
GBLBS,58,35,300,,
GBLBS,58,38,25,,
GBLBS,58,58,20,,
GBLBS,58,34,50,,
GBLBS,58,56,10,,
GBLBS,58,34,20,,
GBLBS,58,49,15,,
GBLBS,58,54,100,,
GBLBS,58,34,1000,,
GBLBS,58,10,50,,
GBLBS,58,47,10,,
GBLBS,58,38,30,,
GBLBS,58,33,1000,,
GBLBS,58,42,100,,
GBLBS,58,38,20,,
GBLBS,58,25,10,,
GBLBS,58,55,100,,
GBLBS,58,59,100,,
GBLBS,58,49,250,,
GBLBS,58,42,300,,
GBLBS,58,26,100,,
GBLBS,58,36,200,,
GBLBS,58,26,20,,
GBLBS,58,49,75,,
NGPL,58,16,10,,
NGPL,58,14,40,,
GBLBS,58,39,100,,
JBBL,58,40,200,,
PMHPL,19,25,40,,
NICL,14,28,20,,
API,41,10,31,,
MBL,28,45,150,,
API,41,35,200,,
API,41,35,10,,
API,41,53,283,,
API,41,32,200,,
API,41,6,200,,
API,41,42,100,,
API,41,49,250,,
API,41,33,1000,,
API,41,44,1900,,
API,41,26,100,,
API,41,51,50,,
API,41,58,40,,
API,41,51,30,,
API,41,21,400,,
API,41,17,23,,
API,41,48,22,,
JFL,39,50,18,,
API,41,58,50,,
API,41,47,111,,
SAHAS,56,57,10,,
NGPL,14,40,50,,
UPPER,47,38,186,,
UPPER,6,38,130,,
UPPER,48,38,184,,
ICFC,38,49,300,,
AKPL,8,58,15,,
AKJCL,38,21,10,,
AKJCL,58,21,90,,
JBLB,50,55,40,,
JBLB,50,58,10,,
UNHPL,51,40,65,,
JSLBB,42,14,15,,
UNHPL,51,16,25,,
JSLBB,58,14,10,,
ICFC,34,49,200,,
AKPL,17,34,500,,
HDL,45,35,10,,
HDL,16,35,40,,
HDL,16,45,10,,
RSDC,28,17,90,,
CCBL,14,42,50,,
CCBL,14,57,40,,
RSDC,21,17,100,,
RSDC,21,17,10,,
CBL,14,17,250,,
HIDCL,57,32,100,,
RMDC,42,32,250,,
RMDC,42,32,250,,
HGI,48,32,2364,,
RMDC,28,32,20,,
HGI,51,32,100,,
RMDC,1,32,30,,
HGI,29,32,500,,
RMDC,37,32,50,,
HGI,42,32,260,,
RMDC,32,32,150,,
HGI,26,32,85,,
HPPL,26,16,10,,
HDL,4,45,10,,
GBIME,25,16,1230,,
SANIMA,38,21,10,,
AHPC,21,38,123,,
AHPC,21,29,50,,
JFL,32,50,100,,
AHPC,21,41,50,,
JFL,17,50,100,,
AHPC,21,11,77,,
JFL,35,50,36,,
JFL,58,50,11,,
JFL,58,50,35,,
GUFL,50,34,120,,
MFIL,35,59,10,,
GLH,58,50,180,,
GLH,58,34,10,,
GLH,58,29,10,,
GLH,58,34,100,,
GLH,58,41,10,,
AKPL,50,57,10,,
NSLB,50,45,10,,
NICLBSL,58,34,10,,
RSDC,34,57,20,,
UPCL,10,13,10,,
HGI,10,34,10,,
MMFDB,49,52,10,,
RMDC,49,32,40,,
ICFC,26,41,15,,
JSLBB,54,58,20,,
FOWAD,32,5,10,,
BNT,57,17,10,,
SHIVM,39,19,50,,
SHIVM,43,19,50,,
GLH,5,50,10,,
MFIL,4,57,60,,
MFIL,4,59,240,,
SHINE,4,21,10,,
JLI,13,48,170,,
JLI,13,34,10,,
JLI,13,10,10,,
JLI,13,17,20,,
JLI,13,11,10,,
JLI,13,22,70,,
JLI,13,17,10,,
PMHPL,42,38,60,,
LBBL,42,57,10,,
AKPL,49,42,15,,
NMB,8,42,50,,
RHPL,58,58,450,,
RHPL,7,58,50,,
HDHPC,14,45,10,,
SHIVM,43,48,100,,
SHIVM,43,20,100,,
HDHPC,28,45,10,,
HIDCL,28,43,100,,
SKBBL,11,17,10,,
UPCL,38,53,345,,
UPCL,45,53,55,,
GIMES1,39,56,10000,,
NCCB,56,36,10,,
GIMES1,39,56,4700,,
CHDC,39,4,23,,
CHDC,39,51,34,,
CHDC,39,33,16,,
CHDC,39,4,10,,
CHDC,39,42,360,,
CHDC,39,58,500,,
CHDC,39,5,257,,
CHCL,7,22,361,,
CHCL,7,54,300,,
MFIL,42,7,1100,,
UPPER,33,42,20,,
UPPER,33,55,1000,,
UPPER,33,16,50,,
UPPER,33,26,930,,
SPDL,45,57,20,,
GMFBS,44,45,43,,
GMFBS,33,45,28,,
PMHPL,45,38,50,,
KEF,57,33,1960,,
KEF,57,56,300,,
AHPC,55,57,62,,
UIC,38,5,200,,
UIC,38,34,150,,
GRDBL,38,42,20,,
SBL,48,47,16,,
SBL,48,32,100,,
BPCL,48,17,10,,
SBL,48,6,100,,
BPCL,48,58,55,,
SBL,48,11,240,,
KBL,58,16,64,,
KBL,58,16,36,,
IGI,21,39,100,,
PROFL,50,26,100,,
NABIL,51,48,115,,
NIFRA,42,58,63,,
NIFRA,58,58,50,,
NIFRA,34,58,10,,
NIFRA,38,58,377,,
MDB,39,58,200,,
NIFRA,34,46,20,,
NIFRA,34,51,200,,
NIFRA,34,42,50,,
NIFRA,34,32,100,,
NIFRA,34,47,100,,
NIFRA,34,4,40,,
PIC,58,49,20,,
NIFRA,34,49,500,,
NIFRA,34,41,300,,
NIFRA,34,21,100,,
NIFRA,34,43,40,,
NIFRA,34,41,50,,
MBL,14,38,230,,
MBL,14,38,70,,
NIFRA,34,37,10,,
NIFRA,34,29,50,,
NIFRA,34,26,60,,
NIFRA,34,44,50,,
NIFRA,34,41,60,,
NIFRA,34,35,500,,
MBL,39,34,11,,
NIFRA,34,7,50,,
NIFRA,34,8,100,,
MEGA,34,48,50,,
NIL,11,49,50,,
ULI,1,38,10,,
HPPL,36,39,50,,
GBLBS,58,14,20,,
GBLBS,58,57,120,,
GBLBS,58,48,10,,
AKJCL,58,38,100,,
SICL,58,7,20,,
MLBL,58,45,10,,
NABIL,51,53,41,,
ULI,59,28,30,,
NHPC,11,35,50,,
DDBL,41,5,50,,
NHPC,11,13,50,,
SLCF,1,33,100,,
FOWAD,33,5,10,,
MLBL,34,39,593,,
MLBL,48,39,500,,
MLBL,26,39,100,,
MLBL,46,39,257,,
MLBL,48,39,430,,
UMRH,39,26,10,,
UMRH,39,38,10,,
MLBL,16,39,50,,
ALICL,7,35,100,,
NGPL,3,16,20,,
NGPL,3,32,80,,
PMHPL,36,38,70,,
SHPC,7,54,195,,
SHPC,45,54,805,,
AKPL,49,49,27,,
AKPL,54,49,10,,
AKPL,34,49,30,,
AKPL,35,49,100,,
NICA,D01,49,24,,
AKPL,39,49,173,,
AKPL,57,49,55,,
GBLBS,58,25,10,,
GBLBS,58,22,57,,
RADHI,45,45,440,,
RHPL,58,38,3095,,
NABIL,38,48,50,,
SFCL,57,33,20,,
NHPC,38,13,100,,
SAPDBL,16,40,200,,
NBL,58,16,50,,
SAPDBL,16,48,50,,
SGI,57,19,10,,
GBIME,21,58,190,,
NABIL,51,58,15,,
GUFL,58,34,100,,
RLI,13,41,60,,
UMRH,50,41,10,,
GBBL,26,44,19,,
GBBL,45,44,100,,
MNBBL,42,56,50,,
RMDC,46,32,10,,
SPDL,35,57,341,,
SPDL,35,28,10,,
SPDL,35,47,59,,
SPDL,35,14,250,,
SPDL,35,1,90,,
SPDL,35,41,160,,
SPDL,35,34,90,,
ULI,36,52,27,,
ULI,45,52,30,,
ULI,42,52,403,,
ULI,38,52,140,,
GUFL,35,17,50,,
NGPL,17,32,20,,
SBI,5,39,200,,
SAHAS,19,54,10,,
NLIC,16,13,50,,
NLIC,14,13,200,,
NLIC,52,13,50,,
SABSL,48,58,28,,
NLG,7,44,25,,
AHPC,55,7,20,,
SMB,39,22,20,,
API,7,41,100,,
API,7,45,80,,
RHPL,45,25,72,,
RHPL,45,14,40,,
RHPL,45,34,10,,
RHPL,45,25,78,,
GUFL,45,34,10,,
MLBS,45,32,10,,
TPC,49,58,10,,
PIC,45,58,10,,
PRVU,57,10,20,,
PRVU,57,22,40,,
AKJCL,38,38,90,,
IGI,38,38,200,,
GUFL,35,38,300,,
IGI,26,38,300,,
NGPL,20,16,10,,
UNHPL,25,49,35,,
UNHPL,25,38,40,,
UNHPL,25,40,235,,
PIC,58,25,1992,,
PRVU,59,22,10,,
SHPC,45,59,195,,
PRVU,22,59,44,,
RMDC,50,32,100,,
SHPC,7,59,355,,
PRVU,26,59,500,,
SLICL,4,34,50,,
PRVU,28,59,56,,
SLICL,4,58,50,,
SLICL,4,54,490,,
SLICL,4,49,100,,
ACLBSL,34,39,10,,
ACLBSL,34,58,10,,
AHPC,34,47,387,,
AHPC,34,11,50,,
ACLBSL,34,1,10,,
AHPC,34,49,100,,
ACLBSL,34,51,30,,
AHPC,34,47,86,,
AHPC,34,38,377,,
LBBL,34,57,10,,
JBBL,35,40,30,,
MNBBL,41,40,25,,
MNBBL,41,5,225,,
LBBL,26,57,150,,
NBL,58,54,286,,
CORBL,49,3,50,,
NBL,13,54,32,,
NBL,37,54,682,,
CORBL,5,6,60,,
CORBL,5,19,30,,
SHINE,53,21,300,,
SHINE,53,44,100,,
FMDBL,42,34,50,,
HIDCL,57,43,1000,,
HIDCL,56,43,80,,
HIDCL,49,43,594,,
GLICL,38,43,400,,
GLICL,36,43,100,,
NSLB,28,34,10,,
HURJA,1,42,50,,
HDHPC,20,7,200,,
SPC,45,49,30,,
GFCL,57,6,10,,
RSDC,38,57,10,,
RSDC,38,57,10,,
AHPC,55,18,200,,
SLICL,21,54,10,,
HIDCL,49,21,20,,
HIDCL,35,52,10,,
RADHI,54,45,50,,
MERO,49,25,15,,
GBLBS,58,49,200,,
SLICL,4,49,30,,
AIL,59,49,10,,
HIDCL,49,49,235,,
LBBL,32,57,10,,
MDB,37,59,300,,
NICLBSL,58,22,15,,
NICLBSL,58,38,10,,
NICLBSL,58,53,300,,
NICLBSL,58,4,10,,
SGI,57,58,100,,
NICLBSL,58,35,65,,
NHPC,58,35,40,,
UPPER,34,26,70,,
CLBSL,34,48,10,,
UPPER,34,50,30,,
UPCL,10,13,20,,
PCBL,17,52,80,,
PCBL,17,49,18,,
SLI,52,57,80,,
RLI,49,14,14,,
RLI,42,14,36,,
AKJCL,19,32,100,,
UNHPL,50,41,110,,
UPCL,1,13,10,,
SHIVM,39,20,100,,
SHIVM,39,7,100,,
UPPER,26,50,20,,
UPPER,26,55,80,,
MBL,39,45,603,,
MBL,39,45,97,,
NLIC,38,34,65,,
NLIC,38,42,135,,
LEC,43,4,120,,
MHNL,50,50,500,,
MHNL,50,58,350,,
MHNL,50,25,20,,
GMFIL,50,45,100,,
MHNL,50,42,130,,
HIDCL,49,16,101,,
HIDCL,57,16,159,,
LBBL,58,59,100,,
PRVU,28,34,50,,
AHPC,34,34,100,,
MNBBL,28,5,25,,
NMB,52,28,90,,
MNBBL,28,42,100,,
MNBBL,28,42,225,,
NMB,57,28,10,,
SDLBSL,52,13,21,,
SDLBSL,41,13,19,,
GFCL,21,41,100,,
MLBS,26,47,70,,
CBBL,58,25,10,,
LICN,25,6,40,,
NHPC,38,49,50,,
SHIVM,39,48,50,,
GUFL,37,34,50,,
PLIC,42,45,250,,
ICFC,18,17,70,,
AKPL,57,17,45,,
ICFC,32,17,30,,
AKPL,8,17,35,,
BOKL,52,52,81,,
BOKL,52,39,19,,
KSBBL,52,45,280,,
KSBBL,52,48,420,,
BOKL,52,37,200,,
UMHL,33,48,50,,
NHPC,35,35,200,,
SPDL,13,34,10,,
SRBL,52,7,965,,
NABIL,28,45,207,,
PMHPL,19,38,260,,
MEGA,40,51,50,,
MEGA,40,58,157,,
GBIME,21,21,10,,
GBIME,54,21,152,,
UMRH,50,53,10,,
GBIME,54,16,198,,
SHL,37,45,100,,
AKJCL,38,58,250,,
ULI,38,58,10,,
JLI,39,58,10,,
NLBBL,59,25,20,,
NLBBL,59,38,60,,
CGH,55,29,10,,
CGH,55,25,50,,
SHINE,10,56,300,,
SHINE,10,34,75,,
BFC,10,42,10,,
NLIC,16,16,4,,
CIT,56,33,10,,
SIC,33,56,33,,
NIFRA,32,8,100,,
GBLBS,58,34,15,,
GBLBS,58,46,15,,
GBLBS,58,14,20,,
GBLBS,58,29,10,,
GBLBS,58,58,25,,
GBLBS,58,35,100,,
GBLBS,58,38,25,,
GBLBS,58,51,100,,
GBLBS,58,36,80,,
GBLBS,58,7,100,,
GBLBS,58,20,50,,
GBLBS,58,52,100,,
GBLBS,58,58,49,,
GBLBS,58,13,61,,
GBLBS,58,54,10,,
GBLBS,58,39,50,,
GBLBS,58,17,75,,
SHL,55,35,187,,
GBLBS,58,58,50,,
GBLBS,58,41,25,,
GBLBS,58,34,100,,
UIC,32,5,10,,
