BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,238,ACLBSL,--,238
ADBL,--,10040,ADBL,--,10040
AHPC,--,31140,AHPC,--,31140
AKJCL,--,22358,AKJCL,--,22358
AKPL,--,47039,AKPL,--,47039
ALBSL,--,998,ALBSL,--,998
ALICL,--,4881,ALICL,--,4881
API,--,110145,API,--,110145
BARUN,--,2120,BARUN,--,2120
BBC,--,74,BBC,--,74
BFC,--,10245,BFC,--,10245
BHDC,--,3680,BHDC,--,3680
BHL,--,3131,BHL,--,3131
BNHC,--,1160,BNHC,--,1160
BNT,--,20,BNT,--,20
BPCL,--,3384,BPCL,--,3384
CBBL,--,3132,CBBL,--,3132
CFCL,--,11329,CFCL,--,11329
CGH,--,404,CGH,--,404
CHCL,--,2606,CHCL,--,2606
CHDC,--,5806,CHDC,--,5806
CHL,--,5611,CHL,--,5611
CIT,--,5378,CIT,--,5378
CLBSL,--,975,CLBSL,--,975
CMF2,--,3950,CMF2,--,3950
CORBL,--,4572,CORBL,--,4572
CZBIL,--,19938,CZBIL,--,19938
DDBL,--,2156,DDBL,--,2156
DHPL,--,2185,DHPL,--,2185
DORDI,--,8681,DORDI,--,8681
EBL,--,5354,EBL,--,5354
EDBL,--,7702,EDBL,--,7702
ENL,--,630,ENL,--,630
FMDBL,--,3743,FMDBL,--,3743
FOWAD,--,3305,FOWAD,--,3305
GBBL,--,21342,GBBL,--,21342
GBD80/81,--,330,GBD80/81,--,330
GBLBS,--,2766,GBLBS,--,2766
GFCL,--,13956,GFCL,--,13956
GHL,--,12130,GHL,--,12130
GILB,--,974,GILB,--,974
GIMES1,--,6700,GIMES1,--,6700
GLH,--,3011,GLH,--,3011
GMFIL,--,11514,GMFIL,--,11514
GRDBL,--,3282,GRDBL,--,3282
GUFL,--,34662,GUFL,--,34662
GVL,--,12138,GVL,--,12138
GWFD83,--,195,GWFD83,--,195
HBL,--,3105,HBL,--,3105
HDHPC,--,26974,HDHPC,--,26974
HDL,--,7988,HDL,--,7988
HEI,--,13675,HEI,--,13675
HEIP,--,220,HEIP,--,220
HHL,--,6505,HHL,--,6505
HIDCL,--,54370,HIDCL,--,54370
HIDCLP,--,14160,HIDCLP,--,14160
HPPL,--,1025,HPPL,--,1025
HURJA,--,1075,HURJA,--,1075
ICFC,--,22182,ICFC,--,22182
ICFCD83,--,390,ICFCD83,--,390
IGI,--,8047,IGI,--,8047
ILBS,--,1331,ILBS,--,1331
JALPA,--,1629,JALPA,--,1629
JBBL,--,27269,JBBL,--,27269
JBLB,--,5494,JBLB,--,5494
JFL,--,3490,JFL,--,3490
JOSHI,--,9485,JOSHI,--,9485
JSLBB,--,110,JSLBB,--,110
KBL,--,10736,KBL,--,10736
KDBY,--,500,KDBY,--,500
KEF,--,13500,KEF,--,13500
KKHC,--,4093,KKHC,--,4093
KLBSL,--,55,KLBSL,--,55
KMCDB,--,275,KMCDB,--,275
KPCL,--,1580,KPCL,--,1580
KRBL,--,6155,KRBL,--,6155
KSBBL,--,37400,KSBBL,--,37400
LBBL,--,35794,LBBL,--,35794
LBL,--,14922,LBL,--,14922
LEC,--,1530,LEC,--,1530
LEMF,--,23520,LEMF,--,23520
LICN,--,2793,LICN,--,2793
LLBS,--,1572,LLBS,--,1572
LUK,--,2371,LUK,--,2371
MBJC,--,7106,MBJC,--,7106
MBL,--,11401,MBL,--,11401
MDB,--,6835,MDB,--,6835
MEN,--,80,MEN,--,80
MERO,--,639,MERO,--,639
MFIL,--,10590,MFIL,--,10590
MHL,--,3590,MHL,--,3590
MHNL,--,21046,MHNL,--,21046
MKJC,--,2842,MKJC,--,2842
MKLB,--,185,MKLB,--,185
MLBBL,--,94,MLBBL,--,94
MLBL,--,36220,MLBL,--,36220
MLBS,--,290,MLBS,--,290
MLBSL,--,676,MLBSL,--,676
MMF1,--,6510,MMF1,--,6510
MMFDB,--,511,MMFDB,--,511
MNBBL,--,22337,MNBBL,--,22337
MNBBLP,--,100000,MNBBLP,--,100000
MPFL,--,9419,MPFL,--,9419
MSLB,--,52,MSLB,--,52
NABBC,--,2267,NABBC,--,2267
NABIL,--,27081,NABIL,--,27081
NBF2,--,303900,NBF2,--,303900
NBF3,--,1300,NBF3,--,1300
NBL,--,34699,NBL,--,34699
NCCB,--,28017,NCCB,--,28017
NESDO,--,2407,NESDO,--,2407
NFS,--,11242,NFS,--,11242
NGPL,--,12615,NGPL,--,12615
NHDL,--,5324,NHDL,--,5324
NHPC,--,88135,NHPC,--,88135
NIBLPF,--,600,NIBLPF,--,600
NIBSF2,--,200,NIBSF2,--,200
NICA,--,17938,NICA,--,17938
NICFC,--,5400,NICFC,--,5400
NICL,--,5622,NICL,--,5622
NICLBSL,--,2835,NICLBSL,--,2835
NICSF,--,4000,NICSF,--,4000
NIFRA,--,37854,NIFRA,--,37854
NIL,--,6523,NIL,--,6523
NLBBL,--,1208,NLBBL,--,1208
NLG,--,1237,NLG,--,1237
NLIC,--,37110,NLIC,--,37110
NLICL,--,7796,NLICL,--,7796
NMB,--,16250,NMB,--,16250
NMB50,--,20680,NMB50,--,20680
NMBMF,--,857,NMBMF,--,857
NMFBS,--,703,NMFBS,--,703
NRIC,--,20699,NRIC,--,20699
NRN,--,3578,NRN,--,3578
NSLB,--,160,NSLB,--,160
NTC,--,24296,NTC,--,24296
NUBL,--,3057,NUBL,--,3057
NYADI,--,6366,NYADI,--,6366
OHL,--,1574,OHL,--,1574
PBD88,--,100,PBD88,--,100
PBLD84,--,25,PBLD84,--,25
PCBL,--,20106,PCBL,--,20106
PFL,--,4054,PFL,--,4054
PICL,--,2681,PICL,--,2681
PMHPL,--,2615,PMHPL,--,2615
PPCL,--,12486,PPCL,--,12486
PROFL,--,6112,PROFL,--,6112
PRVU,--,17458,PRVU,--,17458
PSF,--,10400,PSF,--,10400
RADHI,--,6995,RADHI,--,6995
RBCL,--,20,RBCL,--,20
RBCLPO,--,30,RBCLPO,--,30
RFPL,--,10758,RFPL,--,10758
RHGCL,--,7646,RHGCL,--,7646
RHPL,--,4026,RHPL,--,4026
RIDI,--,73975,RIDI,--,73975
RLFL,--,15543,RLFL,--,15543
RMDC,--,2181,RMDC,--,2181
RMF1,--,1100,RMF1,--,1100
RSDC,--,796,RSDC,--,796
RULB,--,664,RULB,--,664
RURU,--,537,RURU,--,537
SABSL,--,557,SABSL,--,557
SADBL,--,26841,SADBL,--,26841
SAEF,--,63380,SAEF,--,63380
SAHAS,--,13792,SAHAS,--,13792
SANIMA,--,32389,SANIMA,--,32389
SAPDBL,--,7444,SAPDBL,--,7444
SBI,--,1282,SBI,--,1282
SBL,--,15748,SBL,--,15748
SCB,--,2399,SCB,--,2399
SDLBSL,--,275,SDLBSL,--,275
SEF,--,1000,SEF,--,1000
SFCL,--,21239,SFCL,--,21239
SFMF,--,16900,SFMF,--,16900
SGHC,--,3780,SGHC,--,3780
SHEL,--,500,SHEL,--,500
SHINE,--,40167,SHINE,--,40167
