BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,69,ACLBSL,--,69
ADBL,--,2158,ADBL,--,2158
ADBLD83,--,25,ADBLD83,--,25
AHPC,--,44716,AHPC,--,44716
AIL,--,775,AIL,--,775
AKJCL,--,17578,AKJCL,--,17578
AKPL,--,65426,AKPL,--,65426
ALBSL,--,269,ALBSL,--,269
ALICL,--,30580,ALICL,--,30580
API,--,34113,API,--,34113
BARUN,--,8902,BARUN,--,8902
BBC,--,80,BBC,--,80
BFC,--,5478,BFC,--,5478
BHL,--,1920,BHL,--,1920
BNHC,--,660,BNHC,--,660
BNT,--,20,BNT,--,20
BOKD86,--,140,BOKD86,--,140
BPCL,--,1518,BPCL,--,1518
CBBL,--,1678,CBBL,--,1678
CBL,--,43396,CBL,--,43396
CCBL,--,6945,CCBL,--,6945
CFCL,--,6536,CFCL,--,6536
CGH,--,864,CGH,--,864
CHCL,--,3373,CHCL,--,3373
CHDC,--,2852,CHDC,--,2852
CHL,--,4422,CHL,--,4422
CIT,--,2442,CIT,--,2442
CLBSL,--,1056,CLBSL,--,1056
CMF2,--,3000,CMF2,--,3000
CORBL,--,1383,CORBL,--,1383
CZBIL,--,9588,CZBIL,--,9588
DDBL,--,1862,DDBL,--,1862
DHPL,--,2885,DHPL,--,2885
EBL,--,2229,EBL,--,2229
EDBL,--,6250,EDBL,--,6250
ENL,--,1162,ENL,--,1162
FMDBL,--,1976,FMDBL,--,1976
FOWAD,--,1039,FOWAD,--,1039
GBBL,--,9208,GBBL,--,9208
GBILD86/87,--,40,GBILD86/87,--,40
GBLBS,--,1395,GBLBS,--,1395
GFCL,--,8150,GFCL,--,8150
GHL,--,5389,GHL,--,5389
GIC,--,1619,GIC,--,1619
GILB,--,274,GILB,--,274
GIMES1,--,1245,GIMES1,--,1245
GLH,--,3088,GLH,--,3088
GMFBS,--,22,GMFBS,--,22
GMFIL,--,9435,GMFIL,--,9435
GRDBL,--,779,GRDBL,--,779
GUFL,--,16081,GUFL,--,16081
GVL,--,9301,GVL,--,9301
HBL,--,2978,HBL,--,2978
HDHPC,--,15007,HDHPC,--,15007
HDL,--,6795,HDL,--,6795
HIDCL,--,24738,HIDCL,--,24738
HPPL,--,7300,HPPL,--,7300
HURJA,--,3610,HURJA,--,3610
ICFC,--,14633,ICFC,--,14633
IGI,--,7920,IGI,--,7920
ILBS,--,424,ILBS,--,424
JALPA,--,1825,JALPA,--,1825
JBBL,--,12588,JBBL,--,12588
JBLB,--,1800,JBLB,--,1800
JFL,--,1885,JFL,--,1885
JOSHI,--,2070,JOSHI,--,2070
JSLBB,--,493,JSLBB,--,493
KBL,--,8514,KBL,--,8514
KEF,--,200,KEF,--,200
KKHC,--,3909,KKHC,--,3909
KLBSL,--,400,KLBSL,--,400
KMCDB,--,660,KMCDB,--,660
KPCL,--,3275,KPCL,--,3275
KRBL,--,7909,KRBL,--,7909
KSBBL,--,12213,KSBBL,--,12213
LBBL,--,13548,LBBL,--,13548
LBL,--,2490,LBL,--,2490
LEC,--,3220,LEC,--,3220
LGIL,--,5828,LGIL,--,5828
LICN,--,28328,LICN,--,28328
LLBS,--,1510,LLBS,--,1510
MBJC,--,8808,MBJC,--,8808
MBL,--,6005,MBL,--,6005
MDB,--,1960,MDB,--,1960
MEN,--,919,MEN,--,919
MERO,--,1506,MERO,--,1506
MFIL,--,6997,MFIL,--,6997
MHNL,--,23887,MHNL,--,23887
MKJC,--,1920,MKJC,--,1920
MKLB,--,591,MKLB,--,591
MLBBL,--,110,MLBBL,--,110
MLBL,--,19480,MLBL,--,19480
MLBS,--,380,MLBS,--,380
MLBSL,--,399,MLBSL,--,399
MMF1,--,300,MMF1,--,300
MMFDB,--,131,MMFDB,--,131
MNBBL,--,8635,MNBBL,--,8635
MPFL,--,3517,MPFL,--,3517
MSLB,--,34,MSLB,--,34
NABBC,--,144,NABBC,--,144
NABIL,--,12280,NABIL,--,12280
NBF3,--,100,NBF3,--,100
NBL,--,101832,NBL,--,101832
NCCB,--,25144,NCCB,--,25144
NCCD86,--,40,NCCD86,--,40
NEF,--,500,NEF,--,500
NESDO,--,4090,NESDO,--,4090
NFS,--,3492,NFS,--,3492
NGPL,--,21820,NGPL,--,21820
NHDL,--,5689,NHDL,--,5689
NHPC,--,36764,NHPC,--,36764
NIBD2082,--,100,NIBD2082,--,100
NIBSF2,--,200,NIBSF2,--,200
NICA,--,9432,NICA,--,9432
NICBF,--,5000,NICBF,--,5000
NICGF,--,1350,NICGF,--,1350
NICL,--,1075,NICL,--,1075
NICLBSL,--,1974,NICLBSL,--,1974
NICSF,--,2025,NICSF,--,2025
NIFRA,--,21249,NIFRA,--,21249
NIL,--,2244,NIL,--,2244
NLBBL,--,540,NLBBL,--,540
NLG,--,2635,NLG,--,2635
NLIC,--,12734,NLIC,--,12734
NLICL,--,13052,NLICL,--,13052
NMB,--,57882,NMB,--,57882
