BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,11,32,ACLBSL,1,11.0
ACLBSL,13,10,ACLBSL,13,210.0
ACLBSL,16,277,ACLBSL,16,32.0
ACLBSL,17,20,ACLBSL,19,11.0
ACLBSL,25,100,ACLBSL,22,10.0
ACLBSL,32,200,ACLBSL,33,11.0
ACLBSL,34,110,ACLBSL,35,80.0
ACLBSL,36,21,ACLBSL,37,160.0
ACLBSL,41,20,ACLBSL,38,11.0
ACLBSL,42,10,ACLBSL,39,28.0
ACLBSL,44,1,ACLBSL,4,69.0
ACLBSL,45,70,ACLBSL,41,11.0
ACLBSL,46,24,ACLBSL,44,18.0
ACLBSL,47,19,ACLBSL,45,127.0
ACLBSL,48,106,ACLBSL,48,100.0
ACLBSL,50,10,ACLBSL,52,84.0
ACLBSL,54,10,ACLBSL,55,150.0
ACLBSL,56,20,ACLBSL,57,51.0
ACLBSL,57,51,ACLBSL,59,10.0
ACLBSL,58,50,ACLBSL,6,13.0
ACLBSL,6,2,ACLBSL,7,10.0
ACLBSL,8,44,ADBL,1,60.0
ADBL,1,170,ADBL,10,67.0
ADBL,11,300,ADBL,11,110.0
ADBL,13,1120,ADBL,13,100.0
ADBL,14,1910,ADBL,17,53.0
ADBL,17,50,ADBL,19,720.0
ADBL,19,170,ADBL,21,950.0
ADBL,21,60,ADBL,22,100.0
ADBL,22,440,ADBL,25,307.0
ADBL,25,233,ADBL,28,50.0
ADBL,28,10,ADBL,29,1600.0
ADBL,29,860,ADBL,3,1374.0
ADBL,32,755,ADBL,32,380.0
ADBL,33,200,ADBL,33,111.0
ADBL,34,608,ADBL,34,2140.0
ADBL,35,700,ADBL,35,990.0
ADBL,36,130,ADBL,38,486.0
ADBL,37,100,ADBL,4,100.0
ADBL,38,800,ADBL,41,400.0
ADBL,39,200,ADBL,42,477.0
ADBL,4,587,ADBL,44,100.0
ADBL,40,69,ADBL,45,1064.0
ADBL,41,540,ADBL,47,410.0
ADBL,42,1882,ADBL,49,3149.0
ADBL,43,150,ADBL,5,30.0
ADBL,44,500,ADBL,50,816.0
ADBL,45,640,ADBL,52,100.0
ADBL,46,185,ADBL,53,60.0
ADBL,47,30,ADBL,56,301.0
ADBL,48,220,ADBL,57,1072.0
ADBL,49,575,ADBL,58,1144.0
ADBL,5,50,ADBL,59,15.0
ADBL,50,385,ADBL,8,100.0
ADBL,51,195,AHPC,1,700.0
ADBL,52,115,AHPC,10,800.0
ADBL,53,30,AHPC,11,60.0
ADBL,54,340,AHPC,13,1620.0
ADBL,55,230,AHPC,14,360.0
ADBL,56,510,AHPC,16,3100.0
