Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,10,28,ACLBSL,16,10.0
ACLBSL,11,20,ACLBSL,19,10.0
ACLBSL,22,10,ACLBSL,21,110.0
ACLBSL,26,10,ACLBSL,32,20.0
ACLBSL,34,60,ACLBSL,35,250.0
ACLBSL,35,60,ACLBSL,39,50.0
ACLBSL,38,50,ACLBSL,45,10.0
ACLBSL,41,30,ACLBSL,48,20.0
ACLBSL,49,30,ACLBSL,52,18.0
ACLBSL,50,10,ACLBSL,55,20.0
ACLBSL,51,100,ACLBSL,7,10.0
ACLBSL,57,20,ADBL,1,75.0
ACLBSL,7,100,ADBL,13,134.0
ADBL,11,20,ADBL,14,659.0
ADBL,14,59,ADBL,16,240.0
ADBL,16,10,ADBL,17,200.0
ADBL,17,124,ADBL,19,45.0
ADBL,19,840,ADBL,20,603.0
ADBL,20,100,ADBL,22,170.0
ADBL,22,210,ADBL,28,60.0
ADBL,25,100,ADBL,29,50.0
ADBL,26,2600,ADBL,33,2288.0
ADBL,28,50,ADBL,37,40.0
ADBL,29,1477,ADBL,38,41.0
ADBL,32,360,ADBL,39,100.0
ADBL,34,1202,ADBL,42,224.0
ADBL,35,180,ADBL,43,75.0
ADBL,36,350,ADBL,44,222.0
ADBL,39,100,ADBL,45,401.0
ADBL,41,90,ADBL,46,20.0
ADBL,42,50,ADBL,48,50.0
ADBL,43,100,ADBL,49,116.0
ADBL,45,567,ADBL,5,710.0
ADBL,46,50,ADBL,52,45.0
ADBL,47,120,ADBL,55,300.0
ADBL,49,276,ADBL,56,1280.0
ADBL,51,634,ADBL,57,983.0
ADBL,52,50,ADBL,58,3100.0
ADBL,53,292,ADBL,59,442.0
ADBL,56,110,ADBL,6,200.0
ADBL,57,1050,ADBL,7,78.0
ADBL,58,312,ADBL,8,122.0
ADBL,59,100,AHPC,1,210.0
ADBL,6,160,AHPC,13,1140.0
ADBL,7,30,AHPC,14,2555.0
ADBL,8,300,AHPC,16,1110.0
ADBL,D01,1000,AHPC,17,394.0
AHPC,1,2800,AHPC,19,299.0
AHPC,10,10,AHPC,20,1000.0
AHPC,11,1300,AHPC,21,5470.0
AHPC,13,380,AHPC,22,75.0
AHPC,14,2545,AHPC,25,1500.0
AHPC,16,907,AHPC,26,650.0
AHPC,17,6142,AHPC,28,1003.0
AHPC,18,350,AHPC,29,50.0
AHPC,19,279,AHPC,3,4427.0
AHPC,20,200,AHPC,32,6851.0
AHPC,21,2420,AHPC,33,5444.0
AHPC,22,3824,AHPC,34,6266.0
AHPC,25,1215,AHPC,35,2090.0
AHPC,26,4200,AHPC,36,2245.0
AHPC,28,2910,AHPC,37,4650.0
AHPC,29,50,AHPC,38,2673.0
AHPC,3,1463,AHPC,39,3390.0
AHPC,32,1645,AHPC,40,50.0
AHPC,33,490,AHPC,41,1417.0
AHPC,34,8744,AHPC,42,12420.0
AHPC,35,3910,AHPC,43,1667.0
AHPC,36,845,AHPC,44,2875.0
AHPC,37,175,AHPC,45,1841.0
AHPC,38,4555,AHPC,46,500.0
AHPC,39,1364,AHPC,47,3265.0
AHPC,4,522,AHPC,48,6266.0
AHPC,40,50,AHPC,49,7550.0
AHPC,41,3780,AHPC,5,2000.0
AHPC,42,3994,AHPC,50,2915.0
AHPC,43,3427,AHPC,52,817.0
AHPC,44,480,AHPC,53,100.0
AHPC,45,3458,AHPC,54,1500.0
AHPC,46,669,AHPC,55,1351.0
AHPC,47,1600,AHPC,56,546.0
AHPC,48,3676,AHPC,57,2885.0
AHPC,49,6834,AHPC,58,1788.0
AHPC,5,3360,AHPC,59,200.0
AHPC,50,550,AHPC,6,370.0
AHPC,51,420,AHPC,7,203.0
AHPC,52,10,AHPC,8,320.0
