BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,17,96.0,ACLBSL,10,11
ACLBSL,20,11.0,ACLBSL,11,100
ACLBSL,25,10.0,ACLBSL,22,10
ACLBSL,41,15.0,ACLBSL,28,86
ACLBSL,48,71.0,ACLBSL,42,20
ACLBSL,49,10.0,ACLBSL,49,95
ACLBSL,5,20.0,ACLBSL,50,10
ACLBSL,54,30.0,ACLBSL,54,10
ACLBSL,57,100.0,ACLBSL,56,11
ADBL,10,142.0,ACLBSL,58,10
ADBL,11,280.0,ADBL,10,79
ADBL,14,111.0,ADBL,11,12
ADBL,16,350.0,ADBL,13,30
ADBL,17,100.0,ADBL,14,1035
ADBL,19,1000.0,ADBL,17,300
ADBL,20,100.0,ADBL,21,10
ADBL,21,315.0,ADBL,22,50
ADBL,22,817.0,ADBL,25,392
ADBL,25,100.0,ADBL,26,157
ADBL,29,595.0,ADBL,33,1000
ADBL,32,15.0,ADBL,35,614
ADBL,33,100.0,ADBL,36,130
ADBL,34,550.0,ADBL,38,212
ADBL,35,50.0,ADBL,4,109
ADBL,36,100.0,ADBL,42,214
ADBL,38,400.0,ADBL,43,700
ADBL,39,50.0,ADBL,44,15
ADBL,40,300.0,ADBL,45,1432
ADBL,41,317.0,ADBL,49,1108
ADBL,42,318.0,ADBL,51,253
ADBL,43,20.0,ADBL,52,218
ADBL,44,80.0,ADBL,53,10
ADBL,45,673.0,ADBL,54,50
ADBL,46,203.0,ADBL,58,361
ADBL,47,510.0,ADBL,59,118
ADBL,48,98.0,ADBL,6,43
ADBL,49,233.0,ADBL,7,535
ADBL,5,30.0,ADBL,8,150
ADBL,54,40.0,ADBLD83,1,50
ADBL,56,108.0,AHPC,1,1150
ADBL,57,87.0,AHPC,10,305
ADBL,58,545.0,AHPC,11,100
ADBL,59,10.0,AHPC,14,2967
ADBL,6,190.0,AHPC,16,400
ADBL,7,200.0,AHPC,17,50
ADBL,8,200.0,AHPC,18,3200
ADBLD83,4,50.0,AHPC,19,570
AHPC,1,630.0,AHPC,20,10
AHPC,11,4100.0,AHPC,21,100
AHPC,13,635.0,AHPC,22,717
AHPC,14,7210.0,AHPC,25,1770
AHPC,16,3960.0,AHPC,26,2750
AHPC,17,5130.0,AHPC,28,2120
AHPC,18,1200.0,AHPC,29,1890
AHPC,19,1660.0,AHPC,3,983
AHPC,20,1153.0,AHPC,32,500
AHPC,21,1800.0,AHPC,33,150
AHPC,22,760.0,AHPC,34,9825
AHPC,25,2340.0,AHPC,35,3700
AHPC,26,530.0,AHPC,36,1047
AHPC,28,2260.0,AHPC,37,1300
AHPC,29,360.0,AHPC,38,3134
AHPC,3,1830.0,AHPC,39,25
AHPC,32,337.0,AHPC,4,610
AHPC,33,300.0,AHPC,40,2610
AHPC,34,1105.0,AHPC,41,630
AHPC,36,2800.0,AHPC,42,10
AHPC,37,400.0,AHPC,43,1290
AHPC,38,1697.0,AHPC,44,3684
AHPC,39,660.0,AHPC,45,1230
AHPC,4,420.0,AHPC,46,1418
AHPC,40,1700.0,AHPC,47,1900
AHPC,41,600.0,AHPC,48,903
AHPC,42,580.0,AHPC,49,2800
AHPC,44,1997.0,AHPC,5,41
AHPC,45,2095.0,AHPC,50,685
AHPC,46,1310.0,AHPC,51,625
AHPC,47,6996.0,AHPC,52,523
AHPC,48,1220.0,AHPC,53,300
AHPC,49,4044.0,AHPC,54,200
AHPC,51,410.0,AHPC,55,6319
AHPC,52,210.0,AHPC,56,1340
AHPC,53,1200.0,AHPC,57,10007
AHPC,55,995.0,AHPC,58,220
AHPC,56,5692.0,AHPC,59,753
AHPC,57,1750.0,AHPC,6,3534
AHPC,58,371.0,AIL,1,10
AHPC,59,803.0,AIL,14,10
AHPC,6,415.0,AIL,22,20
AHPC,7,1780.0,AIL,25,10
AHPC,8,2950.0,AIL,34,10
AIL,19,10.0,AIL,35,10
AIL,20,30.0,AIL,36,10
AIL,33,150.0,AIL,38,360
AIL,39,10.0,AIL,39,20
AIL,41,250.0,AIL,42,20
AIL,43,20.0,AIL,43,10
AIL,49,80.0,AIL,45,30
AIL,52,20.0,AIL,46,10
AIL,58,30.0,AIL,48,10
AIL,59,10.0,AIL,50,10
AKJCL,13,250.0,AIL,56,20
AKJCL,14,300.0,AIL,57,10
AKJCL,16,450.0,AIL,58,10
AKJCL,17,1100.0,AIL,6,20
AKJCL,20,2000.0,AKJCL,1,700
AKJCL,21,245.0,AKJCL,11,160
AKJCL,22,200.0,AKJCL,16,4895
AKJCL,25,520.0,AKJCL,17,550
AKJCL,26,450.0,AKJCL,19,760
AKJCL,28,1000.0,AKJCL,26,600
AKJCL,29,510.0,AKJCL,28,590
AKJCL,33,50.0,AKJCL,32,50
AKJCL,34,1220.0,AKJCL,33,1625
AKJCL,35,10.0,AKJCL,34,750
AKJCL,38,2050.0,AKJCL,35,1090
AKJCL,39,149.0,AKJCL,36,840
AKJCL,4,1280.0,AKJCL,38,1000
AKJCL,41,115.0,AKJCL,39,100
AKJCL,42,835.0,AKJCL,4,20
AKJCL,44,300.0,AKJCL,42,300
AKJCL,45,200.0,AKJCL,45,709
AKJCL,46,480.0,AKJCL,48,1343
AKJCL,47,100.0,AKJCL,49,1658
AKJCL,48,90.0,AKJCL,5,150
AKJCL,49,3025.0,AKJCL,50,1754
AKJCL,50,10.0,AKJCL,52,350
AKJCL,51,420.0,AKJCL,53,20
AKJCL,52,900.0,AKJCL,55,1000
AKJCL,53,80.0,AKJCL,57,900
AKJCL,55,1000.0,AKJCL,58,730
AKJCL,57,225.0,AKJCL,59,90
