BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,493,ACLBSL,--,493
ADBL,--,15838,ADBL,--,15838
AHPC,--,77317,AHPC,--,77317
AKJCL,--,33459,AKJCL,--,33459
AKPL,--,84425,AKPL,--,84425
ALBSL,--,1583,ALBSL,--,1583
ALICL,--,9747,ALICL,--,9747
API,--,69753,API,--,69753
BARUN,--,5549,BARUN,--,5549
BBC,--,99,BBC,--,99
BFC,--,6517,BFC,--,6517
BHL,--,3648,BHL,--,3648
BNHC,--,669,BNHC,--,669
BNT,--,90,BNT,--,90
BOKD86,--,25,BOKD86,--,25
BPCL,--,4383,BPCL,--,4383
CBBL,--,4867,CBBL,--,4867
CBLD88,--,50,CBLD88,--,50
CCBL,--,14840,CCBL,--,14840
CFCL,--,38636,CFCL,--,38636
CGH,--,946,CGH,--,946
CHCL,--,8566,CHCL,--,8566
CHDC,--,4025,CHDC,--,4025
CHL,--,4815,CHL,--,4815
CIT,--,6855,CIT,--,6855
CLBSL,--,1941,CLBSL,--,1941
CMF1,--,300,CMF1,--,300
CORBL,--,2144,CORBL,--,2144
CZBIL,--,32085,CZBIL,--,32085
DDBL,--,1346,DDBL,--,1346
DHPL,--,5732,DHPL,--,5732
DORDI,--,7396,DORDI,--,7396
EBL,--,11513,EBL,--,11513
EDBL,--,8853,EDBL,--,8853
ENL,--,2027,ENL,--,2027
FMDBL,--,21845,FMDBL,--,21845
FOWAD,--,5678,FOWAD,--,5678
GBBL,--,10185,GBBL,--,10185
GBD80/81,--,1975,GBD80/81,--,1975
GBILD86/87,--,110,GBILD86/87,--,110
GBLBS,--,9394,GBLBS,--,9394
GFCL,--,16215,GFCL,--,16215
GHL,--,11961,GHL,--,11961
GILB,--,778,GILB,--,778
GIMES1,--,15696,GIMES1,--,15696
GLBSL,--,369,GLBSL,--,369
GLH,--,2660,GLH,--,2660
GMFBS,--,10,GMFBS,--,10
GMFIL,--,10490,GMFIL,--,10490
GRDBL,--,449,GRDBL,--,449
GUFL,--,43335,GUFL,--,43335
GVL,--,31019,GVL,--,31019
HBL,--,2043,HBL,--,2043
HDHPC,--,24392,HDHPC,--,24392
HDL,--,9091,HDL,--,9091
HIDCL,--,87274,HIDCL,--,87274
HPPL,--,3858,HPPL,--,3858
HURJA,--,2750,HURJA,--,2750
ICFC,--,33058,ICFC,--,33058
ICFCD83,--,500,ICFCD83,--,500
IGI,--,10278,IGI,--,10278
ILBS,--,263,ILBS,--,263
JALPA,--,2369,JALPA,--,2369
JBBL,--,18419,JBBL,--,18419
JBLB,--,3142,JBLB,--,3142
JFL,--,5153,JFL,--,5153
JOSHI,--,5978,JOSHI,--,5978
JSLBB,--,1705,JSLBB,--,1705
KBL,--,35255,KBL,--,35255
KEF,--,11700,KEF,--,11700
KKHC,--,7211,KKHC,--,7211
KLBSL,--,1600,KLBSL,--,1600
KMCDB,--,2651,KMCDB,--,2651
KPCL,--,520,KPCL,--,520
KRBL,--,5911,KRBL,--,5911
KSBBL,--,10730,KSBBL,--,10730
LBBL,--,54374,LBBL,--,54374
LBBLPO,--,28626,LBBLPO,--,28626
LBL,--,18749,LBL,--,18749
LEC,--,2599,LEC,--,2599
LEMF,--,19100,LEMF,--,19100
LICN,--,10918,LICN,--,10918
LLBS,--,660,LLBS,--,660
LUK,--,800,LUK,--,800
MBJC,--,6819,MBJC,--,6819
MBL,--,16195,MBL,--,16195
MDB,--,12109,MDB,--,12109
MEN,--,2715,MEN,--,2715
MERO,--,6455,MERO,--,6455
MFIL,--,10774,MFIL,--,10774
MHNL,--,9445,MHNL,--,9445
MKJC,--,1270,MKJC,--,1270
MKLB,--,660,MKLB,--,660
MLBBL,--,534,MLBBL,--,534
MLBL,--,30696,MLBL,--,30696
MLBS,--,115,MLBS,--,115
MLBSL,--,482,MLBSL,--,482
MMF1,--,2220,MMF1,--,2220
MMFDB,--,4035,MMFDB,--,4035
MNBBL,--,12919,MNBBL,--,12919
MPFL,--,11602,MPFL,--,11602
MSLB,--,194,MSLB,--,194
NABBC,--,1292,NABBC,--,1292
NABIL,--,19075,NABIL,--,19075
NBF2,--,16150,NBF2,--,16150
NBF3,--,4420,NBF3,--,4420
NBL,--,26995,NBL,--,26995
NBLD85,--,500,NBLD85,--,500
NCCB,--,84187,NCCB,--,84187
NEF,--,2914,NEF,--,2914
NESDO,--,2019,NESDO,--,2019
NFS,--,6472,NFS,--,6472
NGPL,--,23052,NGPL,--,23052
NHDL,--,6257,NHDL,--,6257
NHPC,--,26416,NHPC,--,26416
NIBD84,--,450,NIBD84,--,450
NIBLPF,--,7100,NIBLPF,--,7100
NIBSF2,--,1100,NIBSF2,--,1100
NICA,--,59981,NICA,--,59981
NICGF,--,1200,NICGF,--,1200
NICL,--,4318,NICL,--,4318
NICLBSL,--,7838,NICLBSL,--,7838
NICSF,--,5000,NICSF,--,5000
NIFRA,--,54777,NIFRA,--,54777
NIL,--,2698,NIL,--,2698
NLBBL,--,2721,NLBBL,--,2721
NLG,--,1841,NLG,--,1841
NLIC,--,15269,NLIC,--,15269
NLICL,--,6148,NLICL,--,6148
NMB,--,6974,NMB,--,6974
NMB50,--,400,NMB50,--,400
NMBMF,--,960,NMBMF,--,960
NMFBS,--,2448,NMFBS,--,2448
NMFBSP,--,6335,NMFBSP,--,6335
NRIC,--,31628,NRIC,--,31628
NRN,--,15723,NRN,--,15723
NSLB,--,2333,NSLB,--,2333
NTC,--,10025,NTC,--,10025
NUBL,--,6754,NUBL,--,6754
NYADI,--,1825,NYADI,--,1825
OHL,--,159,OHL,--,159
PBD85,--,625,PBD85,--,625
PBLD86,--,200,PBLD86,--,200
PCBL,--,23759,PCBL,--,23759
PFL,--,5467,PFL,--,5467
PICL,--,2095,PICL,--,2095
PMHPL,--,2417,PMHPL,--,2417
PPCL,--,11872,PPCL,--,11872
PROFL,--,26600,PROFL,--,26600
PRVU,--,219549,PRVU,--,219549
PSF,--,21600,PSF,--,21600
RADHI,--,5561,RADHI,--,5561
RBCL,--,90,RBCL,--,90
RFPL,--,10544,RFPL,--,10544
RHPL,--,6847,RHPL,--,6847
RLFL,--,20970,RLFL,--,20970
RMDC,--,15906,RMDC,--,15906
RMF1,--,4200,RMF1,--,4200
