BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,1085,ACLBSL,--,1085
ADBL,--,1896,ADBL,--,1896
AHPC,--,6258,AHPC,--,6258
AKJCL,--,6949,AKJCL,--,6949
AKPL,--,7274,AKPL,--,7274
ALBSL,--,205,ALBSL,--,205
ALICL,--,220,ALICL,--,220
API,--,35853,API,--,35853
BARUN,--,1481,BARUN,--,1481
BFC,--,805,BFC,--,805
BHDC,--,1180,BHDC,--,1180
BHL,--,1710,BHL,--,1710
BNHC,--,60,BNHC,--,60
BNT,--,250,BNT,--,250
BPCL,--,20,BPCL,--,20
CBBL,--,60,CBBL,--,60
CBLD88,--,25,CBLD88,--,25
CFCL,--,1345,CFCL,--,1345
CHCL,--,130,CHCL,--,130
CHDC,--,120,CHDC,--,120
CHL,--,823,CHL,--,823
CIT,--,1385,CIT,--,1385
CMF1,--,2000,CMF1,--,2000
CMF2,--,100,CMF2,--,100
CORBL,--,85,CORBL,--,85
CZBIL,--,2338,CZBIL,--,2338
DDBL,--,2465,DDBL,--,2465
DORDI,--,13870,DORDI,--,13870
EBL,--,810,EBL,--,810
EDBL,--,2476,EDBL,--,2476
ENL,--,150,ENL,--,150
FMDBL,--,2081,FMDBL,--,2081
FOWAD,--,929,FOWAD,--,929
GBBL,--,3162,GBBL,--,3162
GBLBS,--,96,GBLBS,--,96
GFCL,--,1182,GFCL,--,1182
GHL,--,740,GHL,--,740
GILB,--,45,GILB,--,45
GLH,--,446,GLH,--,446
GMFIL,--,600,GMFIL,--,600
GRDBL,--,650,GRDBL,--,650
GUFL,--,1375,GUFL,--,1375
GVL,--,640,GVL,--,640
HBL,--,410,HBL,--,410
HDHPC,--,3014,HDHPC,--,3014
HDL,--,731,HDL,--,731
HEI,--,600,HEI,--,600
HHL,--,5190,HHL,--,5190
HIDCL,--,6468,HIDCL,--,6468
HPPL,--,260,HPPL,--,260
HURJA,--,463,HURJA,--,463
ICFC,--,1784,ICFC,--,1784
IGI,--,329,IGI,--,329
ILBS,--,69,ILBS,--,69
JALPA,--,269,JALPA,--,269
JBBL,--,845,JBBL,--,845
JBLB,--,720,JBLB,--,720
JFL,--,600,JFL,--,600
JOSHI,--,2783,JOSHI,--,2783
JSLBB,--,157,JSLBB,--,157
KBL,--,7055,KBL,--,7055
KDBY,--,1550,KDBY,--,1550
KKHC,--,20,KKHC,--,20
KLBSL,--,192,KLBSL,--,192
KMCDB,--,238,KMCDB,--,238
KPCL,--,910,KPCL,--,910
KRBL,--,4698,KRBL,--,4698
KSBBL,--,3932,KSBBL,--,3932
LBBL,--,1960,LBBL,--,1960
LBL,--,673,LBL,--,673
LEC,--,205,LEC,--,205
LEMF,--,4000,LEMF,--,4000
LICN,--,2216,LICN,--,2216
LLBS,--,148,LLBS,--,148
LUK,--,5000,LUK,--,5000
