BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,49,11.0,ACLBSL,50,11
ACLBSL,6,1.0,ACLBSL,6,1
ADBL,25,74.0,ADBL,26,150
ADBL,42,32.0,ADBL,4,106
ADBL,46,27.0,ADBL,45,25
ADBL,51,88.0,ADBL,49,70
ADBL,57,40.0,AHPC,1,100
ADBL,58,90.0,AHPC,19,100
AHPC,1,100.0,AHPC,22,20
AHPC,20,20.0,AHPC,3,110
AHPC,21,510.0,AHPC,33,235
AHPC,29,60.0,AHPC,45,250
AHPC,34,50.0,AHPC,48,570
AHPC,38,253.0,AHPC,49,510
AHPC,40,350.0,AHPC,54,100
AHPC,42,62.0,AHPC,55,115
AHPC,45,215.0,AHPC,57,100
AHPC,49,210.0,AIL,26,10
AHPC,59,380.0,AIL,39,20
AIL,19,10.0,AKJCL,29,2000
AIL,48,20.0,AKJCL,36,400
AKJCL,13,58.0,AKJCL,38,58
AKJCL,22,295.0,AKJCL,48,750
AKJCL,35,150.0,AKJCL,55,495
AKJCL,40,1000.0,AKJCL,56,1050
AKJCL,41,100.0,AKJCL,58,500
AKJCL,43,3100.0,AKJCL,6,400
AKJCL,44,200.0,AKPL,1,74
AKJCL,49,500.0,AKPL,11,200
AKJCL,53,100.0,AKPL,19,20
AKJCL,56,50.0,AKPL,21,13
AKJCL,58,100.0,AKPL,28,1000
AKPL,13,200.0,AKPL,29,250
AKPL,21,100.0,AKPL,34,340
AKPL,28,60.0,AKPL,4,270
AKPL,32,855.0,AKPL,45,30
AKPL,34,10.0,AKPL,52,30
AKPL,4,100.0,AKPL,55,960
AKPL,40,125.0,ALBSL,26,10
AKPL,42,50.0,API,13,200
AKPL,44,300.0,API,14,1210
AKPL,47,100.0,API,17,200
AKPL,52,200.0,API,19,1000
AKPL,54,87.0,API,21,200
AKPL,57,1000.0,API,26,40
ALBSL,14,10.0,API,28,4354
API,1,2050.0,API,3,267
API,14,750.0,API,33,800
API,17,600.0,API,34,200
API,19,79.0,API,38,500
API,21,10.0,API,39,80
API,22,10.0,API,43,350
API,25,1470.0,API,45,300
API,26,420.0,API,47,1000
API,29,200.0,API,48,1000
API,32,100.0,API,53,382
API,34,669.0,API,55,910
API,35,100.0,API,57,500
API,4,30.0,API,58,1892
API,42,60.0,BARUN,14,100
API,45,300.0,BARUN,20,50
API,46,1000.0,BARUN,22,200
API,47,1980.0,BARUN,32,40
API,48,19.0,BARUN,35,500
API,49,2451.0,BFC,3,85
API,51,295.0,BFC,47,15
API,52,150.0,BNHC,11,100
API,53,632.0,BNHC,26,10
API,55,500.0,BOKL,1,10
API,57,1450.0,BOKL,17,1010
API,58,60.0,BOKL,38,72
BARUN,14,500.0,BOKL,58,28
BARUN,45,390.0,BPCL,35,14
BFC,41,90.0,CBBL,14,200
BFC,58,10.0,CBBL,22,80
BNHC,17,90.0,CBBL,34,200
BNHC,52,20.0,CBBL,47,42
BOKL,34,110.0,CBBL,6,96
BOKL,5,1000.0,CBL,33,390
BOKL,58,10.0,CBL,34,800
BPCL,58,14.0,CBL,44,500
CBBL,16,200.0,CBL,45,700
CBBL,19,200.0,CBL,58,20
CBBL,38,80.0,CCBL,16,700
CBBL,54,10.0,CCBL,22,20
CBBL,58,96.0,CCBL,33,200
CBBL,7,32.0,CCBL,35,50
CBL,43,2000.0,CCBL,45,1000
CBL,45,400.0,CCBL,55,580
CBL,48,10.0,CCBL,6,111
CCBL,43,2000.0,CFCL,34,10
CCBL,45,661.0,CFCL,57,150
CFCL,49,100.0,CFCL,58,100
CFCL,51,250.0,CFCL,59,100
CFCL,58,10.0,CHCL,34,485
CHCL,17,400.0,CHCL,43,140
CHCL,37,100.0,CHDC,11,160
CHCL,39,15.0,CHDC,26,10
CHCL,42,10.0,CHDC,33,200
CHCL,56,100.0,CHL,14,200
CHDC,38,60.0,CIT,22,10
CHDC,42,25.0,CIT,28,10
CHDC,45,85.0,CIT,47,116
CHDC,51,200.0,CLBSL,55,60
CHL,1,200.0,CMF2,20,200
CIT,21,76.0,CZBIL,26,160
CIT,35,10.0,CZBIL,34,436
CIT,45,20.0,CZBIL,35,50
CIT,52,30.0,DDBL,48,110
CLBSL,19,10.0,DHPL,16,1200
CLBSL,47,50.0,DHPL,26,100
CMF2,55,200.0,EBL,51,100
CZBIL,14,600.0,EBL,59,11
CZBIL,18,36.0,EDBL,45,20
CZBIL,34,10.0,EIC,38,60
DDBL,10,100.0,ENL,16,290
DDBL,49,10.0,ENL,19,20
DHPL,32,1000.0,ENL,35,40
DHPL,49,200.0,ENL,38,10
DHPL,58,100.0,ENL,4,10
EBL,33,100.0,ENL,41,20
EBL,41,11.0,ENL,45,10
EDBL,34,20.0,ENL,49,10
EIC,51,60.0,ENL,55,50
ENL,22,10.0,ENL,58,10
ENL,32,20.0,FMDBL,5,33
ENL,35,20.0,FOWAD,3,298
ENL,38,100.0,FOWAD,52,22
ENL,41,100.0,GBBL,26,500
ENL,45,20.0,GBBL,34,50
ENL,49,90.0,GBBL,35,500
ENL,50,10.0,GBBL,36,95
ENL,6,100.0,GBBL,4,500
FMDBL,17,33.0,GBBL,51,100
FOWAD,16,60.0,GBBL,55,500
FOWAD,21,60.0,GBILD86/87,58,10
FOWAD,52,200.0,GBIME,19,53
GBBL,11,1900.0,GBIME,44,700
GBBL,13,100.0,GBIME,55,593
GBBL,17,20.0,GBIME,58,280
GBBL,21,10.0,GFCL,3,20
GBBL,35,165.0,GHL,1,20
GBBL,58,50.0,GHL,21,990
GBILD86/87,4,10.0,GHL,49,100
GBIME,17,206.0,GHL,55,1580
GBIME,18,200.0,GHL,56,820
GBIME,21,100.0,GHL,57,300
GBIME,34,10.0,GHL,7,200
GBIME,38,30.0,GIC,13,20
GBIME,42,940.0,GIC,18,10
GBIME,47,40.0,GIC,20,20
GBIME,49,100.0,GIC,26,10
GFCL,21,20.0,GIC,52,10
GHL,19,2010.0,GILB,50,11
GHL,58,2000.0,GIMES1,4,850
GIC,14,40.0,GLBSL,57,2
GIC,42,30.0,GLH,20,20
GILB,8,11.0,GLH,58,20
GIMES1,29,850.0,GLH,8,10
GLBSL,45,2.0,GLICL,28,2700
GLH,29,50.0,GLICL,33,50
GLICL,38,200.0,GLICL,44,200
GLICL,45,500.0,GMFBS,41,100
GLICL,49,1140.0,GMFIL,49,10
GLICL,57,1000.0,GRDBL,45,40
GLICL,59,110.0,GRDBL,50,260
GMFBS,45,100.0,GUFL,14,100
GMFIL,51,10.0,GUFL,22,100
GRDBL,34,100.0,GUFL,28,650
GRDBL,44,200.0,GUFL,45,100
GUFL,34,300.0,HDHPC,16,725
GUFL,4,100.0,HDHPC,29,2100
GUFL,50,450.0,HDHPC,34,520
GUFL,59,100.0,HDHPC,45,420
HDHPC,11,50.0,HDHPC,57,20
HDHPC,13,100.0,HDL,1,310
HDHPC,32,100.0,HDL,11,10
HDHPC,35,2000.0,HDL,17,140
HDHPC,42,1170.0,HDL,26,30
HDHPC,49,315.0,HDL,29,47
HDHPC,52,20.0,HDL,32,19
HDHPC,56,30.0,HDL,33,20
HDL,13,10.0,HDL,34,10
HDL,14,15.0,HDL,38,419
HDL,17,130.0,HDL,49,20
HDL,21,40.0,HDL,53,73
