BStock,Buyer,BQty,SStock,Seller,SQty
SAPDBL,--,6464,SAPDBL,--,6464
SBCF,--,1200,SBCF,--,1200
SBI,--,7686,SBI,--,7686
SBL,--,15022,SBL,--,15022
SCB,--,5707,SCB,--,5707
SDLBSL,--,435,SDLBSL,--,435
SFCL,--,7618,SFCL,--,7618
SFMF,--,19000,SFMF,--,19000
SGHC,--,5855,SGHC,--,5855
SHEL,--,839,SHEL,--,839
SHINE,--,5647,SHINE,--,5647
SHIVM,--,16777,SHIVM,--,16777
SHL,--,10120,SHL,--,10120
SHPC,--,17547,SHPC,--,17547
SICL,--,3064,SICL,--,3064
SIFC,--,2425,SIFC,--,2425
SIGS2,--,400,SIGS2,--,400
SINDU,--,2572,SINDU,--,2572
SJCL,--,2102,SJCL,--,2102
SLBBL,--,1952,SLBBL,--,1952
SLBSL,--,199,SLBSL,--,199
SLCF,--,900,SLCF,--,900
SMATA,--,13,SMATA,--,13
SMFBS,--,146,SMFBS,--,146
SMFDB,--,295,SMFDB,--,295
SPC,--,7426,SPC,--,7426
SPDL,--,14062,SPDL,--,14062
SRBL,--,3815,SRBL,--,3815
SRD80,--,25,SRD80,--,25
SSHL,--,4298,SSHL,--,4298
STC,--,226,STC,--,226
SWBBL,--,3290,SWBBL,--,3290
SWMF,--,885,SWMF,--,885
TPC,--,471,TPC,--,471
TRH,--,40,TRH,--,40
UHEWA,--,1690,UHEWA,--,1690
UIC,--,810,UIC,--,810
ULBSL,--,410,ULBSL,--,410
UMHL,--,25767,UMHL,--,25767
UMRH,--,4020,UMRH,--,4020
UNHPL,--,11450,UNHPL,--,11450
UNL,--,10,UNL,--,10
UPCL,--,19308,UPCL,--,19308
UPPER,--,19681,UPPER,--,19681
USHEC,--,7020,USHEC,--,7020
VLBS,--,270,VLBS,--,270
