BStock,Buyer,BQty,SStock,Seller,SQty
ADBL,37,100.0,ADBL,57,100
AHPC,34,20.0,AHPC,19,20
ALICL,14,100.0,ALICL,16,20
ALICL,28,100.0,ALICL,17,2000
ALICL,58,5920.0,ALICL,41,620
API,34,20.0,ALICL,43,3000
BNHC,41,20.0,ALICL,45,200
CCBL,48,80.0,ALICL,51,140
GUFL,3,20.0,ALICL,52,100
JLI,4,382.0,ALICL,57,40
KBL,11,100.0,API,1,20
KBL,22,100.0,BNHC,40,20
KMCDB,26,20.0,CCBL,49,80
KMCDB,41,70.0,GUFL,54,20
LEC,34,20.0,JLI,5,382
MHNL,34,20.0,KBL,45,200
MLBL,58,100.0,KMCDB,55,90
MMFDB,54,28.0,LEC,34,20
NBL,42,26.0,MHNL,57,20
NIBSF2,8,1000.0,MLBL,49,100
NICA,58,20.0,MMFDB,25,28
NIFRA,58,200.0,NBL,57,26
NLIC,21,100.0,NIBSF2,8,1000
NLICL,34,20.0,NICA,45,20
PFL,14,20.0,NIFRA,36,200
PFL,34,80.0,NLIC,45,100
RSDC,34,20.0,NLICL,45,20
SCB,42,20.0,PFL,58,100
SHEL,34,20.0,RSDC,34,20
,,,SCB,29,20
,,,SHEL,57,20
