0,1,2,3,4,5
HDL,--,--,10,,
API,--,--,15,,
API,--,--,50,,
API,--,--,435,,
SHL,--,--,500,,
NIFRA,--,--,22,,
NIFRA,--,--,12,,
API,--,--,100,,
JSLBB,--,--,10,,
NBF2,--,--,100,,
HIDCL,--,--,580,,
HIDCL,--,--,120,,
RMDC,--,--,10,,
RHGCL,--,--,150,,
NFS,--,--,300,,
JBLB,--,--,13,,
PROFL,--,--,100,,
NLIC,--,--,50,,
UNHPL,--,--,55,,
UNHPL,--,--,1500,,
UNHPL,--,--,645,,
JOSHI,--,--,312,,
MHL,--,--,10,,
MHL,--,--,10,,
JBBL,--,--,10,,
MMFDB,--,--,10,,
NTC,--,--,45,,
NTC,--,--,10,,
NIFRA,--,--,30,,
GUFL,--,--,10,,
GUFL,--,--,490,,
NABIL,--,--,30,,
HEI,--,--,10,,
BHL,--,--,10,,
SHIVM,--,--,70,,
NICL,--,--,36,,
NICL,--,--,200,,
NICL,--,--,64,,
SHINE,--,--,250,,
GUFL,--,--,10,,
ULBSL,--,--,10,,
ULBSL,--,--,10,,
ULBSL,--,--,90,,
NIFRA,--,--,54,,
BPCL,--,--,127,,
BPCL,--,--,14,,
BPCL,--,--,222,,
NRIC,--,--,11,,
NRIC,--,--,28,,
NBF2,--,--,100,,
GILB,--,--,10,,
HDL,--,--,20,,
NIFRA,--,--,50,,
CHDC,--,--,10,,
CHDC,--,--,10,,
NLIC,--,--,50,,
NRIC,--,--,10,,
NLIC,--,--,11,,
BARUN,--,--,50,,
RADHI,--,--,100,,
GVL,--,--,10,,
NMB,--,--,200,,
NMB,--,--,100,,
JALPA,--,--,10,,
API,--,--,200,,
LBBL,--,--,86,,
UPPER,--,--,50,,
NHDL,--,--,50,,
SSHL,--,--,10,,
HDL,--,--,10,,
NFS,--,--,32,,
API,--,--,200,,
MMFDB,--,--,90,,
NLIC,--,--,10,,
RADHI,--,--,100,,
RADHI,--,--,50,,
RADHI,--,--,200,,
NBF2,--,--,100,,
MLBL,--,--,500,,
SHIVM,--,--,19,,
MLBL,--,--,100,,
PPCL,--,--,70,,
DORDI,--,--,10,,
IGI,--,--,16,,
HDHPC,--,--,500,,
HDHPC,--,--,100,,
SHEL,--,--,10,,
AKJCL,--,--,222,,
AKJCL,--,--,498,,
AKJCL,--,--,150,,
AKJCL,--,--,100,,
AKJCL,--,--,30,,
JBLB,--,--,10,,
UHEWA,--,--,10,,
HDHPC,--,--,14,,
NHPC,--,--,27,,
NHPC,--,--,423,,
NHPC,--,--,50,,
PCBL,--,--,73,,
PCBL,--,--,152,,
RFPL,--,--,10,,
GRDBL,--,--,20,,
GRDBL,--,--,10,,
JBBL,--,--,50,,
NCCB,--,--,10,,
LBBL,--,--,200,,
SAHAS,--,--,10,,
NHDL,--,--,90,,
NIFRA,--,--,50,,
NBF2,--,--,100,,
OHL,--,--,10,,
LBBL,--,--,20,,
HDL,--,--,10,,
MHL,--,--,10,,
AKPL,--,--,511,,
AKPL,--,--,330,,
AKPL,--,--,48,,
NTC,--,--,10,,
SJCL,--,--,20,,
NHPC,--,--,100,,
NHPC,--,--,172,,
RHGCL,--,--,40,,
PROFL,--,--,100,,
USHEC,--,--,20,,
BHL,--,--,10,,
DDBL,--,--,40,,
SPDL,--,--,10,,
NLIC,--,--,48,,
NLIC,--,--,52,,
FOWAD,--,--,10,,
FOWAD,--,--,10,,
NICL,--,--,36,,
NICL,--,--,64,,
LBBL,--,--,200,,
LBBL,--,--,300,,
LBL,--,--,100,,
DORDI,--,--,10,,
CFCL,--,--,93,,
CFCL,--,--,350,,
CFCL,--,--,57,,
GUFL,--,--,100,,
UMHL,--,--,11,,
BHDC,--,--,10,,
SFCL,--,--,14,,
NLIC,--,--,50,,
RIDI,--,--,100,,
RFPL,--,--,14,,
API,--,--,65,,
API,--,--,35,,
UMHL,--,--,1100,,
UMHL,--,--,500,,
UMHL,--,--,200,,
UMHL,--,--,30,,
UMHL,--,--,50,,
CORBL,--,--,10,,
KMCDB,--,--,10,,
ICFC,--,--,100,,
SBL,--,--,60,,
SBL,--,--,140,,
NICA,--,--,70,,
LBL,--,--,27,,
PRVU,--,--,70,,
PRVU,--,--,20,,
PRVU,--,--,10,,
JBLB,--,--,17,,
HDL,--,--,95,,
SWBBL,--,--,19,,
BHDC,--,--,10,,
SIFC,--,--,50,,
SFCL,--,--,36,,
RADHI,--,--,10,,
KSBBL,--,--,455,,
NIFRA,--,--,50,,
SAEF,--,--,1000,,
RHPL,--,--,40,,
SFCL,--,--,110,,
API,--,--,500,,
SBL,--,--,1000,,
NBF2,--,--,100,,
NLIC,--,--,113,,
NTC,--,--,38,,
NTC,--,--,22,,
NICA,--,--,10,,
NICA,--,--,50,,
NICA,--,--,30,,
NICA,--,--,10,,
MBJC,--,--,22,,
MBJC,--,--,28,,
JBBL,--,--,55,,
JBBL,--,--,100,,
RHGCL,--,--,10,,
NLIC,--,--,285,,
ACLBSL,--,--,42,,
SANIMA,--,--,500,,
CFCL,--,--,50,,
KBL,--,--,12,,
UPCL,--,--,16,,
UPCL,--,--,90,,
HDL,--,--,10,,
API,--,--,465,,
HIDCL,--,--,10,,
HIDCL,--,--,15,,
HIDCL,--,--,44,,
HIDCL,--,--,50,,
HIDCL,--,--,26,,
ICFC,--,--,100,,
NHPC,--,--,77,,
NICL,--,--,10,,
KSBBL,--,--,45,,
SFCL,--,--,10,,
SICL,--,--,50,,
UNHPL,--,--,55,,
NBL,--,--,50,,
GVL,--,--,330,,
GVL,--,--,100,,
GVL,--,--,100,,
GVL,--,--,10,,
GVL,--,--,10,,
GVL,--,--,10,,
GVL,--,--,10,,
GVL,--,--,10,,
GVL,--,--,10,,
GVL,--,--,10,,
SAHAS,--,--,60,,
GFCL,--,--,40,,
FOWAD,--,--,10,,
DORDI,--,--,100,,
KSBBL,--,--,72,,
NTC,--,--,100,,
NLIC,--,--,10,,
EBL,--,--,17,,
EBL,--,--,100,,
NLG,--,--,90,,
NHPC,--,--,75,,
NHPC,--,--,100,,
NHPC,--,--,20,,
NHPC,--,--,13,,
NHPC,--,--,200,,
NHPC,--,--,15,,
LBBL,--,--,1000,,
LBBL,--,--,500,,
LBBL,--,--,20,,
LBBL,--,--,100,,
LBBL,--,--,50,,
LBBL,--,--,24,,
API,--,--,200,,
API,--,--,335,,
ACLBSL,--,--,19,,
UPPER,--,--,50,,
API,--,--,1000,,
SANIMA,--,--,40,,
SANIMA,--,--,150,,
SANIMA,--,--,100,,
SANIMA,--,--,25,,
SANIMA,--,--,10,,
JOSHI,--,--,10,,
RADHI,--,--,23,,
NMB,--,--,10,,
NMB,--,--,1000,,
NMB,--,--,50,,
NMB,--,--,10,,
NMB,--,--,150,,
NMB,--,--,478,,
NMB,--,--,100,,
UPCL,--,--,500,,
RFPL,--,--,15,,
NABIL,--,--,100,,
JBBL,--,--,100,,
ICFC,--,--,100,,
PFL,--,--,40,,
NLIC,--,--,383,,
MDB,--,--,10,,
MBJC,--,--,30,,
NLG,--,--,18,,
NLG,--,--,64,,
NLIC,--,--,100,,
HDHPC,--,--,61,,
SHINE,--,--,160,,
SHINE,--,--,40,,
SHINE,--,--,50,,
RHPL,--,--,460,,
HURJA,--,--,250,,
HURJA,--,--,20,,
NTC,--,--,24,,
SFCL,--,--,10,,
NMFBS,--,--,10,,
NLICL,--,--,100,,
GHL,--,--,700,,
GHL,--,--,50,,
GHL,--,--,50,,
NBL,--,--,20,,
NABIL,--,--,198,,
NABIL,--,--,30,,
AHPC,--,--,44,,
AHPC,--,--,50,,
AHPC,--,--,100,,
PROFL,--,--,86,,
PROFL,--,--,14,,
HDHPC,--,--,200,,
HDL,--,--,10,,
MLBL,--,--,230,,
MLBL,--,--,70,,
VLBS,--,--,12,,
UPCL,--,--,150,,
MNBBL,--,--,10,,
UMHL,--,--,345,,
UMHL,--,--,20,,
NMFBS,--,--,10,,
NMFBS,--,--,20,,
EDBL,--,--,21,,
SGHC,--,--,10,,
SGHC,--,--,10,,
UNHPL,--,--,20,,
SBL,--,--,10,,
RADHI,--,--,91,,
NTC,--,--,12,,
GUFL,--,--,25,,
UPPER,--,--,25,,
USHEC,--,--,10,,
USHEC,--,--,210,,
USHEC,--,--,20,,
NLIC,--,--,117,,
NLIC,--,--,83,,
NMFBS,--,--,10,,
SANIMA,--,--,63,,
KBL,--,--,180,,
UPCL,--,--,100,,
NLIC,--,--,45,,
ACLBSL,--,--,10,,
NLIC,--,--,19,,
NMB,--,--,81,,
NRIC,--,--,22,,
NRIC,--,--,24,,
ICFC,--,--,120,,
ICFC,--,--,30,,
NTC,--,--,10,,
EBL,--,--,490,,
EBL,--,--,30,,
MNBBL,--,--,100,,
MNBBL,--,--,50,,
CIT,--,--,10,,
API,--,--,65,,
NLIC,--,--,100,,
MFIL,--,--,90,,
MFIL,--,--,10,,
SBL,--,--,91,,
SBL,--,--,200,,
SBL,--,--,109,,
UMRH,--,--,10,,
CIT,--,--,10,,
CIT,--,--,40,,
CIT,--,--,10,,
SJCL,--,--,130,,
LBL,--,--,100,,
