BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,643,ACLBSL,--,643
ADBL,--,8067,ADBL,--,8067
ADBLD83,--,100,ADBLD83,--,100
AHPC,--,48192,AHPC,--,48192
AIL,--,1373,AIL,--,1373
AKBSL,--,110,AKBSL,--,110
AKJCL,--,9130,AKJCL,--,9130
AKPL,--,26053,AKPL,--,26053
ALBSL,--,396,ALBSL,--,396
ALICL,--,12110,ALICL,--,12110
API,--,45714,API,--,45714
BARUN,--,6566,BARUN,--,6566
BBC,--,35,BBC,--,35
BFC,--,7975,BFC,--,7975
BHL,--,3790,BHL,--,3790
BNHC,--,270,BNHC,--,270
BNT,--,30,BNT,--,30
BPCL,--,5152,BPCL,--,5152
CBBL,--,4241,CBBL,--,4241
CBL,--,19923,CBL,--,19923
CCBL,--,13147,CCBL,--,13147
CFCL,--,7381,CFCL,--,7381
CGH,--,769,CGH,--,769
CHCL,--,13860,CHCL,--,13860
CHDC,--,2068,CHDC,--,2068
CHL,--,8168,CHL,--,8168
CIT,--,4242,CIT,--,4242
CLBSL,--,1411,CLBSL,--,1411
CMF1,--,5300,CMF1,--,5300
CMF2,--,700,CMF2,--,700
CORBL,--,3107,CORBL,--,3107
CYCL,--,20,CYCL,--,20
CZBIL,--,11213,CZBIL,--,11213
DDBL,--,1648,DDBL,--,1648
DHPL,--,3955,DHPL,--,3955
EBL,--,6588,EBL,--,6588
EDBL,--,1547,EDBL,--,1547
ENL,--,320,ENL,--,320
FMDBL,--,6164,FMDBL,--,6164
FOWAD,--,734,FOWAD,--,734
GBBL,--,7312,GBBL,--,7312
GBLBS,--,365,GBLBS,--,365
GFCL,--,1504,GFCL,--,1504
GHL,--,10950,GHL,--,10950
GIC,--,2140,GIC,--,2140
GILB,--,4664,GILB,--,4664
GIMES1,--,13303,GIMES1,--,13303
GLBSL,--,70,GLBSL,--,70
GLH,--,970,GLH,--,970
GMFBS,--,250,GMFBS,--,250
GMFIL,--,3427,GMFIL,--,3427
GRDBL,--,2953,GRDBL,--,2953
GUFL,--,9601,GUFL,--,9601
GVL,--,8969,GVL,--,8969
HBL,--,4880,HBL,--,4880
HDHPC,--,25823,HDHPC,--,25823
HDL,--,5847,HDL,--,5847
HIDCL,--,61353,HIDCL,--,61353
HPPL,--,2269,HPPL,--,2269
HURJA,--,2139,HURJA,--,2139
ICFC,--,13444,ICFC,--,13444
IGI,--,5779,IGI,--,5779
ILBS,--,587,ILBS,--,587
JALPA,--,1630,JALPA,--,1630
JBBL,--,20345,JBBL,--,20345
JBLB,--,744,JBLB,--,744
JFL,--,2251,JFL,--,2251
JLI,--,3698,JLI,--,3698
JOSHI,--,7237,JOSHI,--,7237
JSLBB,--,104,JSLBB,--,104
KBL,--,19918,KBL,--,19918
KEF,--,400,KEF,--,400
KKHC,--,3746,KKHC,--,3746
KLBSL,--,106,KLBSL,--,106
KMCDB,--,719,KMCDB,--,719
KPCL,--,3980,KPCL,--,3980
KRBL,--,1430,KRBL,--,1430
KSBBL,--,13617,KSBBL,--,13617
LBBL,--,15710,LBBL,--,15710
LBL,--,17002,LBL,--,17002
LEC,--,2767,LEC,--,2767
LEMF,--,5200,LEMF,--,5200
LGIL,--,2695,LGIL,--,2695
LICN,--,10528,LICN,--,10528
LLBS,--,305,LLBS,--,305
LUK,--,1000,LUK,--,1000
MBJC,--,5579,MBJC,--,5579
MBL,--,12249,MBL,--,12249
MDB,--,3690,MDB,--,3690
MEN,--,1790,MEN,--,1790
MERO,--,1241,MERO,--,1241
MFIL,--,6750,MFIL,--,6750
MHNL,--,11145,MHNL,--,11145
MKJC,--,700,MKJC,--,700
MKLB,--,110,MKLB,--,110
MLBBL,--,70,MLBBL,--,70
MLBL,--,13931,MLBL,--,13931
MLBS,--,120,MLBS,--,120
MLBSL,--,503,MLBSL,--,503
MMF1,--,34775,MMF1,--,34775
MMFDB,--,713,MMFDB,--,713
MNBBL,--,15071,MNBBL,--,15071
MPFL,--,4280,MPFL,--,4280
MSLB,--,195,MSLB,--,195
NABBC,--,1315,NABBC,--,1315
NABIL,--,27154,NABIL,--,27154
NBF2,--,7200,NBF2,--,7200
NBF3,--,6725,NBF3,--,6725
NBL,--,50215,NBL,--,50215
NCCB,--,83614,NCCB,--,83614
NCCBPO,--,94322,NCCBPO,--,94322
NEF,--,12339,NEF,--,12339
NESDO,--,1420,NESDO,--,1420
NFS,--,4422,NFS,--,4422
