BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,263,ACLBSL,--,263
ADBL,--,36014,ADBL,--,36014
ADBLD83,--,25,ADBLD83,--,25
AHPC,--,30452,AHPC,--,30452
AIL,--,1529,AIL,--,1529
AKJCL,--,9817,AKJCL,--,9817
AKPL,--,44462,AKPL,--,44462
ALBSL,--,658,ALBSL,--,658
ALICL,--,23379,ALICL,--,23379
API,--,40915,API,--,40915
BARUN,--,2801,BARUN,--,2801
BBC,--,565,BBC,--,565
BFC,--,5394,BFC,--,5394
BHL,--,90,BHL,--,90
BNHC,--,2383,BNHC,--,2383
BNT,--,10,BNT,--,10
BOKL,--,29400,BOKL,--,29400
BPCL,--,4617,BPCL,--,4617
CBBL,--,4235,CBBL,--,4235
CBL,--,18867,CBL,--,18867
CCBL,--,33434,CCBL,--,33434
CFCL,--,13801,CFCL,--,13801
CGH,--,2337,CGH,--,2337
CHCL,--,27722,CHCL,--,27722
CHDC,--,7256,CHDC,--,7256
CHL,--,2905,CHL,--,2905
CIT,--,4298,CIT,--,4298
CLBSL,--,1024,CLBSL,--,1024
CMF1,--,2200,CMF1,--,2200
CMF2,--,1300,CMF2,--,1300
CORBL,--,11730,CORBL,--,11730
CZBIL,--,26382,CZBIL,--,26382
CZBILP,--,26358,CZBILP,--,26358
DDBL,--,3577,DDBL,--,3577
DHPL,--,2371,DHPL,--,2371
EBL,--,7487,EBL,--,7487
EDBL,--,247,EDBL,--,247
ENL,--,696,ENL,--,696
FMDBL,--,3036,FMDBL,--,3036
FOWAD,--,1784,FOWAD,--,1784
GBBL,--,12692,GBBL,--,12692
GBIME,--,39137,GBIME,--,39137
GBIMEP,--,7740,GBIMEP,--,7740
GBLBS,--,926,GBLBS,--,926
GFCL,--,6597,GFCL,--,6597
GHL,--,4900,GHL,--,4900
GIC,--,490,GIC,--,490
GILB,--,1790,GILB,--,1790
GIMES1,--,43800,GIMES1,--,43800
GLBSL,--,317,GLBSL,--,317
GLH,--,398,GLH,--,398
GMFBS,--,130,GMFBS,--,130
GMFIL,--,8537,GMFIL,--,8537
GRDBL,--,4384,GRDBL,--,4384
GUFL,--,17917,GUFL,--,17917
GVL,--,4280,GVL,--,4280
HBL,--,2799,HBL,--,2799
HDHPC,--,30568,HDHPC,--,30568
HDL,--,8220,HDL,--,8220
HIDCL,--,49420,HIDCL,--,49420
HPPL,--,4238,HPPL,--,4238
HURJA,--,2390,HURJA,--,2390
ICFC,--,10138,ICFC,--,10138
IGI,--,37835,IGI,--,37835
ILBS,--,1983,ILBS,--,1983
JALPA,--,2074,JALPA,--,2074
JBBL,--,26459,JBBL,--,26459
JBLB,--,817,JBLB,--,817
JFL,--,1795,JFL,--,1795
JLI,--,3423,JLI,--,3423
JOSHI,--,2870,JOSHI,--,2870
JSLBB,--,189,JSLBB,--,189
KBL,--,248222,KBL,--,248222
KBLD86,--,100,KBLD86,--,100
KEF,--,2000,KEF,--,2000
KKHC,--,5370,KKHC,--,5370
KLBSL,--,927,KLBSL,--,927
KMCDB,--,619,KMCDB,--,619
KPCL,--,6455,KPCL,--,6455
KRBL,--,1050,KRBL,--,1050
KSBBL,--,36844,KSBBL,--,36844
LBBL,--,14262,LBBL,--,14262
LBL,--,8239,LBL,--,8239
LEC,--,3980,LEC,--,3980
LEMF,--,6500,LEMF,--,6500
LGIL,--,1049,LGIL,--,1049
LICN,--,11913,LICN,--,11913
LLBS,--,1450,LLBS,--,1450
LUK,--,300,LUK,--,300
MBJC,--,4930,MBJC,--,4930
MBL,--,24602,MBL,--,24602
MDB,--,3363,MDB,--,3363
MEGA,--,22748,MEGA,--,22748
MEN,--,1837,MEN,--,1837
MERO,--,1577,MERO,--,1577
MFIL,--,5495,MFIL,--,5495
MFLD85,--,150,MFLD85,--,150
MHNL,--,23123,MHNL,--,23123
MKJC,--,1180,MKJC,--,1180
MKLB,--,70,MKLB,--,70
MLBBL,--,10,MLBBL,--,10
MLBL,--,23804,MLBL,--,23804
MLBS,--,180,MLBS,--,180
MLBSL,--,412,MLBSL,--,412
MMF1,--,2800,MMF1,--,2800
MMFDB,--,1408,MMFDB,--,1408
MNBBL,--,7162,MNBBL,--,7162
MPFL,--,7786,MPFL,--,7786
MSLB,--,72,MSLB,--,72
NABBC,--,20691,NABBC,--,20691
NABIL,--,20897,NABIL,--,20897
NBF2,--,20000,NBF2,--,20000
NBF3,--,32479,NBF3,--,32479
NBL,--,38452,NBL,--,38452
NBLD85,--,200,NBLD85,--,200
NCCB,--,65464,NCCB,--,65464
NEF,--,17000,NEF,--,17000
NESDO,--,3258,NESDO,--,3258
NFS,--,2877,NFS,--,2877
NGPL,--,24057,NGPL,--,24057
NHDL,--,10231,NHDL,--,10231
NHPC,--,18793,NHPC,--,18793
NIB,--,52134,NIB,--,52134
NIBD84,--,30,NIBD84,--,30
NIBPO,--,50143,NIBPO,--,50143
NIBSF2,--,1790,NIBSF2,--,1790
NICA,--,71580,NICA,--,71580
NICBF,--,29700,NICBF,--,29700
NICGF,--,39645,NICGF,--,39645
NICL,--,4788,NICL,--,4788
NICLBSL,--,2251,NICLBSL,--,2251
NICSF,--,4687,NICSF,--,4687
NIFRA,--,40239,NIFRA,--,40239
NIL,--,3723,NIL,--,3723
NLBBL,--,1093,NLBBL,--,1093
NLG,--,4502,NLG,--,4502
NLIC,--,20588,NLIC,--,20588
NLICL,--,4221,NLICL,--,4221
NMB,--,28105,NMB,--,28105
NMB50,--,1200,NMB50,--,1200
NMBHF1,--,1248,NMBHF1,--,1248
NMBMF,--,1396,NMBMF,--,1396
