0,1,2,3,4,5
RSDC,--,--,10,,
FOWAD,--,--,10,,
NTC,--,--,10,,
SGHC,--,--,10,,
CFCL,--,--,17,,
CFCL,--,--,250,,
UNHPL,--,--,40,,
RFPL,--,--,10,,
DDBL,--,--,30,,
MFIL,--,--,50,,
MFIL,--,--,110,,
MFIL,--,--,400,,
MFIL,--,--,500,,
MFIL,--,--,50,,
MFIL,--,--,145,,
MFIL,--,--,50,,
MFIL,--,--,25,,
MFIL,--,--,16,,
SRBL,--,--,200,,
SHIVM,--,--,45,,
SHIVM,--,--,100,,
SHIVM,--,--,75,,
LBBL,--,--,25,,
NLBBL,--,--,10,,
RSDC,--,--,15,,
SPDL,--,--,10,,
RSDC,--,--,10,,
RSDC,--,--,10,,
MHNL,--,--,51,,
MHNL,--,--,10,,
UNHPL,--,--,34,,
UNHPL,--,--,10,,
HEI,--,--,128,,
HEI,--,--,912,,
HEI,--,--,20,,
HEI,--,--,40,,
PFL,--,--,200,,
PFL,--,--,46,,
HDHPC,--,--,100,,
NFS,--,--,100,,
NFS,--,--,220,,
NFS,--,--,100,,
CFCL,--,--,30,,
CIT,--,--,30,,
NIL,--,--,10,,
ICFC,--,--,100,,
NTC,--,--,10,,
GUFL,--,--,10,,
RHGCL,--,--,10,,
NGPL,--,--,276,,
NGPL,--,--,200,,
NGPL,--,--,24,,
NIFRA,--,--,16,,
MLBL,--,--,99,,
MLBL,--,--,100,,
MLBL,--,--,152,,
LEC,--,--,200,,
SICL,--,--,100,,
SICL,--,--,10,,
SICL,--,--,500,,
SICL,--,--,20,,
SICL,--,--,20,,
SICL,--,--,50,,
SICL,--,--,10,,
SICL,--,--,100,,
SICL,--,--,10,,
SHINE,--,--,54,,
SHINE,--,--,446,,
RIDI,--,--,50,,
GMFBS,--,--,75,,
HDHPC,--,--,200,,
HDHPC,--,--,10,,
HDHPC,--,--,500,,
HDHPC,--,--,50,,
HDHPC,--,--,500,,
HDHPC,--,--,200,,
HDHPC,--,--,200,,
HDHPC,--,--,300,,
HDHPC,--,--,50,,
HDHPC,--,--,500,,
HDHPC,--,--,1937,,
NESDO,--,--,10,,
NLIC,--,--,160,,
NLIC,--,--,40,,
ENL,--,--,45,,
ENL,--,--,20,,
ENL,--,--,15,,
SWMF,--,--,10,,
DDBL,--,--,10,,
GFCL,--,--,50,,
HDL,--,--,90,,
HDL,--,--,10,,
SADBL,--,--,350,,
SADBL,--,--,100,,
SADBL,--,--,50,,
SADBL,--,--,200,,
SADBL,--,--,200,,
SADBL,--,--,100,,
MLBL,--,--,20,,
MLBL,--,--,137,,
NHDL,--,--,350,,
NHDL,--,--,10,,
NHDL,--,--,50,,
NHDL,--,--,40,,
NTC,--,--,10,,
NESDO,--,--,10,,
SHIVM,--,--,35,,
LBL,--,--,12,,
JBBL,--,--,26,,
JBBL,--,--,10,,
JBBL,--,--,215,,
JBBL,--,--,10,,
JBBL,--,--,239,,
USHEC,--,--,10,,
NIFRA,--,--,40,,
JBLB,--,--,100,,
ACLBSL,--,--,20,,
ACLBSL,--,--,19,,
ACLBSL,--,--,16,,
EBL,--,--,99,,
HDL,--,--,70,,
FOWAD,--,--,10,,
MLBL,--,--,101,,
ADBL,--,--,10,,
SHINE,--,--,54,,
SHINE,--,--,124,,
SHINE,--,--,102,,
SHINE,--,--,20,,
GILB,--,--,10,,
NFS,--,--,20,,
NFS,--,--,134,,
HDL,--,--,40,,
HDL,--,--,60,,
HDL,--,--,10,,
HDL,--,--,20,,
NRN,--,--,100,,
NRN,--,--,754,,
NTC,--,--,10,,
GBBL,--,--,60,,
PMHPL,--,--,200,,
SHL,--,--,150,,
NTC,--,--,80,,
PPCL,--,--,200,,
PICL,--,--,20,,
UMRH,--,--,100,,
UMRH,--,--,10,,
UMRH,--,--,105,,
ADBL,--,--,20,,
SHIVM,--,--,30,,
RADHI,--,--,50,,
NTC,--,--,150,,
SHIVM,--,--,10,,
SHIVM,--,--,30,,
SHIVM,--,--,70,,
SJCL,--,--,10,,
NLICL,--,--,122,,
NLICL,--,--,500,,
NLICL,--,--,100,,
PPL,--,--,10,,
EBL,--,--,224,,
EBL,--,--,400,,
RLFL,--,--,150,,
RLFL,--,--,441,,
SADBL,--,--,434,,
SADBL,--,--,50,,
SADBL,--,--,11,,
SADBL,--,--,25,,
NESDO,--,--,10,,
PPL,--,--,10,,
GFCL,--,--,10,,
GFCL,--,--,50,,
GFCL,--,--,300,,
GFCL,--,--,200,,
GFCL,--,--,300,,
GFCL,--,--,100,,
GFCL,--,--,48,,
SBL,--,--,1000,,
FMDBL,--,--,37,,
UPCL,--,--,70,,
NTC,--,--,10,,
GVL,--,--,40,,
CZBIL,--,--,281,,
ALICL,--,--,100,,
SINDU,--,--,670,,
SINDU,--,--,10,,
SINDU,--,--,20,,
SINDU,--,--,50,,
SINDU,--,--,10,,
SINDU,--,--,440,,
SINDU,--,--,100,,
SINDU,--,--,200,,
GBBL,--,--,600,,
NRN,--,--,246,,
NRN,--,--,10,,
NRN,--,--,50,,
NRN,--,--,93,,
NRN,--,--,200,,
NRN,--,--,10,,
GHL,--,--,300,,
RHPL,--,--,10,,
NBL,--,--,100,,
NBL,--,--,10,,
NBL,--,--,20,,
USHEC,--,--,60,,
USHEC,--,--,30,,
USHEC,--,--,40,,
USHEC,--,--,70,,
PPL,--,--,10,,
NMB,--,--,200,,
NTC,--,--,500,,
NTC,--,--,340,,
SWBBL,--,--,10,,
SSHL,--,--,1000,,
SSHL,--,--,500,,
SSHL,--,--,100,,
API,--,--,500,,
AKPL,--,--,824,,
AKPL,--,--,100,,
