Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,21,41,ACLBSL,17,10.0
ACLBSL,26,200,ACLBSL,22,45.0
ACLBSL,35,290,ACLBSL,26,160.0
ACLBSL,47,10,ACLBSL,29,10.0
ACLBSL,49,15,ACLBSL,34,10.0
ACLBSL,56,10,ACLBSL,37,100.0
ACLBSL,57,160,ACLBSL,38,155.0
ACLBSL,8,10,ACLBSL,4,10.0
ADBL,1,50,ACLBSL,41,10.0
ADBL,11,90,ACLBSL,43,21.0
ADBL,13,20,ACLBSL,44,100.0
ADBL,14,5065,ACLBSL,45,10.0
ADBL,16,300,ACLBSL,49,10.0
ADBL,17,110,ACLBSL,51,10.0
ADBL,19,45,ACLBSL,52,10.0
ADBL,20,8107,ACLBSL,58,65.0
ADBL,21,302,ADBL,1,411.0
ADBL,22,140,ADBL,11,327.0
ADBL,25,100,ADBL,13,1238.0
ADBL,26,1000,ADBL,14,1999.0
ADBL,28,750,ADBL,16,100.0
ADBL,29,25,ADBL,17,220.0
ADBL,33,1175,ADBL,20,46.0
ADBL,34,151,ADBL,21,210.0
ADBL,35,330,ADBL,22,331.0
ADBL,36,300,ADBL,26,36.0
ADBL,38,590,ADBL,28,100.0
ADBL,39,3917,ADBL,29,600.0
ADBL,42,1835,ADBL,32,2020.0
ADBL,43,50,ADBL,33,226.0
ADBL,44,50,ADBL,34,828.0
ADBL,45,1215,ADBL,35,293.0
ADBL,48,1205,ADBL,38,396.0
ADBL,49,50,ADBL,39,308.0
ADBL,50,350,ADBL,4,281.0
ADBL,51,275,ADBL,40,1225.0
ADBL,53,226,ADBL,41,500.0
ADBL,54,220,ADBL,42,975.0
ADBL,56,270,ADBL,43,2010.0
ADBL,57,81,ADBL,45,990.0
ADBL,58,1305,ADBL,47,684.0
ADBL,59,150,ADBL,48,1456.0
ADBL,7,30,ADBL,50,1442.0
ADBL,8,200,ADBL,51,2721.0
AHPC,1,800,ADBL,52,542.0
AHPC,10,50,ADBL,54,107.0
AHPC,11,559,ADBL,55,1000.0
AHPC,13,2079,ADBL,56,185.0
AHPC,14,982,ADBL,57,572.0
AHPC,16,4070,ADBL,58,630.0
AHPC,17,3735,ADBL,59,10.0
AHPC,18,1090,ADBL,6,5010.0
AHPC,19,760,ADBL,7,50.0
AHPC,20,7750,AHPC,1,250.0
AHPC,21,5938,AHPC,10,1577.0
AHPC,22,11797,AHPC,13,2334.0
