0,1,2,3,4,5
NICA,--,--,50,,
ALICL,--,--,28,,
CBBL,--,--,500,,
NABIL,--,--,10,,
NICA,--,--,50,,
HIDCL,--,--,880,,
HIDCL,--,--,100,,
HIDCL,--,--,20,,
CIT,--,--,18,,
NICA,--,--,60,,
EDBL,--,--,146,,
EDBL,--,--,54,,
PFL,--,--,20,,
BHDC,--,--,10,,
PMHPL,--,--,55,,
PMHPL,--,--,2360,,
PMHPL,--,--,85,,
MBJC,--,--,10,,
SANIMA,--,--,150,,
MLBL,--,--,40,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,40,,
BHL,--,--,10,,
BHL,--,--,10,,
NHPC,--,--,200,,
MLBL,--,--,500,,
HPPL,--,--,10,,
NABIL,--,--,301,,
NABIL,--,--,99,,
CHCL,--,--,130,,
CHCL,--,--,268,,
PCBL,--,--,163,,
PCBL,--,--,245,,
PCBL,--,--,192,,
BHDC,--,--,10,,
BHDC,--,--,10,,
BHDC,--,--,10,,
BHDC,--,--,10,,
NIL,--,--,75,,
NIL,--,--,25,,
UNHPL,--,--,100,,
SADBL,--,--,30,,
GVL,--,--,10,,
KSBBL,--,--,20,,
KSBBL,--,--,200,,
NYADI,--,--,10,,
NABBC,--,--,100,,
BFC,--,--,51,,
BFC,--,--,49,,
ICFC,--,--,40,,
SLBBL,--,--,20,,
DHPL,--,--,850,,
DHPL,--,--,50,,
JBBL,--,--,792,,
MBJC,--,--,10,,
BNHC,--,--,10,,
KBL,--,--,31,,
AHPC,--,--,30,,
JBBL,--,--,377,,
JBBL,--,--,63,,
JBBL,--,--,60,,
MDB,--,--,47,,
MDB,--,--,53,,
MDB,--,--,100,,
MDB,--,--,200,,
RFPL,--,--,10,,
HDL,--,--,60,,
HDL,--,--,40,,
PROFL,--,--,25,,
HDL,--,--,140,,
GFCL,--,--,10,,
SHIVM,--,--,200,,
BNHC,--,--,10,,
NIFRA,--,--,100,,
SHEL,--,--,10,,
NABIL,--,--,121,,
NIFRA,--,--,31,,
HDHPC,--,--,75,,
UMRH,--,--,10,,
SAHAS,--,--,10,,
NCCB,--,--,500,,
NCCB,--,--,500,,
NCCB,--,--,11,,
NCCB,--,--,50,,
NCCB,--,--,1000,,
NCCB,--,--,200,,
NCCB,--,--,1000,,
NCCB,--,--,300,,
KKHC,--,--,200,,
BNHC,--,--,10,,
SANIMA,--,--,100,,
HDL,--,--,20,,
HDL,--,--,20,,
HDL,--,--,60,,
BHL,--,--,10,,
NCCB,--,--,50,,
PCBL,--,--,53,,
NICLBSL,--,--,10,,
BHL,--,--,10,,
BHL,--,--,10,,
NUBL,--,--,20,,
EDBL,--,--,30,,
SSHL,--,--,10,,
SICL,--,--,15,,
DORDI,--,--,10,,
DORDI,--,--,10,,
NABIL,--,--,30,,
NABBC,--,--,1000,,
NABBC,--,--,40,,
MLBL,--,--,1000,,
UPCL,--,--,100,,
UPCL,--,--,190,,
NCCB,--,--,92,,
LICN,--,--,71,,
LICN,--,--,19,,
LICN,--,--,10,,
UPCL,--,--,100,,
ENL,--,--,20,,
ENL,--,--,10,,
ENL,--,--,10,,
ENL,--,--,10,,
SAHAS,--,--,10,,
HIDCL,--,--,60,,
RFPL,--,--,10,,
RFPL,--,--,10,,
PPCL,--,--,90,,
GFCL,--,--,487,,
GFCL,--,--,100,,
RHPL,--,--,20,,
NRIC,--,--,294,,
NRIC,--,--,41,,
NRIC,--,--,40,,
NRIC,--,--,100,,
NRIC,--,--,25,,
UPPER,--,--,200,,
GUFL,--,--,70,,
CZBIL,--,--,12,,
HEI,--,--,50,,
JBBL,--,--,208,,
JBBL,--,--,92,,
NCCB,--,--,109,,
JOSHI,--,--,310,,
JOSHI,--,--,10,,
JOSHI,--,--,180,,
MERO,--,--,38,,
GFCL,--,--,10,,
NHDL,--,--,500,,
NHDL,--,--,150,,
NHDL,--,--,200,,
HDL,--,--,10,,
HDL,--,--,40,,
HDL,--,--,10,,
JSLBB,--,--,10,,
NHPC,--,--,23,,
NHPC,--,--,730,,
NHPC,--,--,25,,
NHPC,--,--,68,,
NCCB,--,--,50,,
KRBL,--,--,25,,
SICL,--,--,10,,
UMHL,--,--,50,,
MLBL,--,--,50,,
GFCL,--,--,50,,
NABIL,--,--,35,,
NABIL,--,--,14,,
NABIL,--,--,30,,
SKBBL,--,--,50,,
JBLB,--,--,10,,
CIT,--,--,20,,
CIT,--,--,10,,
NIFRA,--,--,50,,
MBJC,--,--,70,,
MBJC,--,--,10,,
MBJC,--,--,10,,
MBJC,--,--,100,,
MBJC,--,--,10,,
MBJC,--,--,10,,
BHDC,--,--,10,,
BHDC,--,--,10,,
EBL,--,--,99,,
EBL,--,--,500,,
EBL,--,--,101,,
GLH,--,--,10,,
KSBBL,--,--,400,,
NABIL,--,--,50,,
SPC,--,--,10,,
SPC,--,--,10,,
SPC,--,--,10,,
SPC,--,--,10,,
RFPL,--,--,10,,
RFPL,--,--,10,,
RFPL,--,--,10,,
RFPL,--,--,10,,
SHIVM,--,--,430,,
SHIVM,--,--,64,,
KBL,--,--,11,,
GBLBS,--,--,60,,
GBLBS,--,--,100,,
HIDCL,--,--,30,,
KEF,--,--,100,,
ULBSL,--,--,30,,
NHPC,--,--,35,,
NBL,--,--,400,,
NICA,--,--,500,,
NICA,--,--,100,,
NICA,--,--,100,,
NICA,--,--,419,,
NICA,--,--,39,,
NICA,--,--,100,,
NICA,--,--,50,,
NICA,--,--,50,,
NICA,--,--,45,,
SBL,--,--,100,,
SBL,--,--,78,,
