0,1,2,3,4,5
STC,50,33,10,,
NEF,17,4,5000,,
AKPL,6,21,90,,
AKPL,7,21,25,,
GLICL,53,49,253,,
CCBL,16,59,10,,
KMCDB,58,39,50,,
JBLB,17,58,20,,
CHDC,22,41,10,,
RULB,57,34,5,,
SLCF,52,57,200,,
PRVU,7,22,100,,
PRVU,59,22,100,,
GIC,33,59,10,,
CCBL,19,41,200,,
UMHL,47,32,10,,
SAHAS,38,58,10,,
JBLB,1,58,10,,
API,20,48,10,,
JBBL,5,14,12,,
JBBL,5,45,41,,
SHINE,58,46,13,,
JBLB,41,58,10,,
JBLB,45,58,10,,
JBLB,45,58,10,,
JBBL,4,45,15,,
JBBL,57,45,20,,
JBBL,45,45,24,,
SHIVM,49,49,80,,
NLIC,45,5,31,,
JBLB,34,25,10,,
JBLB,34,59,30,,
JBLB,41,59,10,,
SBL,33,17,1359,,
SBL,57,17,50,,
SBL,58,17,100,,
SBL,4,17,125,,
SBL,45,17,100,,
SBL,38,17,150,,
SBL,6,17,100,,
SBL,47,17,20,,
SBL,41,17,200,,
SBL,45,17,400,,
SBL,59,17,215,,
SBL,45,17,81,,
SBL,7,17,100,,
API,28,48,1200,,
PRVU,7,32,100,,
ENL,20,34,10,,
UPPER,17,38,48,,
NYADI,22,32,10,,
SANIMA,49,17,70,,
SLICL,13,4,275,,
CIT,35,41,10,,
AKPL,34,45,30,,
AKPL,34,52,20,,
SGI,5,1,12,,
MBJC,56,42,10,,
PPCL,21,45,150,,
GFCL,45,50,81,,
PPCL,38,45,50,,
GHL,29,51,1001,,
GHL,29,51,729,,
LBL,49,39,216,,
MMF1,28,58,100,,
JBLB,49,40,10,,
MLBSL,57,45,10,,
JBLB,5,59,10,,
PIC,29,6,30,,
PIC,48,6,25,,
NIFRA,1,34,54,,
SIL,28,57,40,,
SIL,40,57,10,,
JBLB,6,58,10,,
ENL,20,6,10,,
SABSL,41,33,10,,
SABSL,41,22,12,,
MBJC,47,32,10,,
ENL,20,57,10,,
JBLB,45,45,30,,
SLICL,25,4,20,,
JBLB,14,49,10,,
JBLB,42,42,10,,
HIDCL,41,33,50,,
HIDCL,32,33,10,,
JBLB,49,13,5,,
API,45,48,100,,
NGPL,38,41,475,,
NGPL,51,41,25,,
CBBL,51,58,10,,
CBBL,13,58,40,,
ICFC,22,45,40,,
JLI,38,32,10,,
NHPC,22,41,100,,
MEGA,58,26,105,,
MEGA,28,26,151,,
API,4,48,10,,
HIDCL,33,29,17,,
HIDCL,1,29,83,,
