BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,549,ACLBSL,--,549
ADBL,--,1899,ADBL,--,1899
AHPC,--,1945,AHPC,--,1945
AKJCL,--,4391,AKJCL,--,4391
AKPL,--,1947,AKPL,--,1947
ALICL,--,679,ALICL,--,679
API,--,7664,API,--,7664
AVYAN,--,590,AVYAN,--,590
BARUN,--,60,BARUN,--,60
BBC,--,20,BBC,--,20
BFC,--,710,BFC,--,710
BHDC,--,292,BHDC,--,292
BHL,--,2000,BHL,--,2000
BNT,--,20,BNT,--,20
BPCL,--,414,BPCL,--,414
CBBL,--,956,CBBL,--,956
CFCL,--,1910,CFCL,--,1910
CGH,--,20,CGH,--,20
CHCL,--,1097,CHCL,--,1097
CHDC,--,60,CHDC,--,60
CHL,--,920,CHL,--,920
CIT,--,551,CIT,--,551
CMF2,--,700,CMF2,--,700
CORBL,--,766,CORBL,--,766
CZBIL,--,7261,CZBIL,--,7261
DDBL,--,546,DDBL,--,546
DORDI,--,450,DORDI,--,450
EBL,--,1715,EBL,--,1715
EDBL,--,1271,EDBL,--,1271
ENL,--,80,ENL,--,80
FMDBL,--,1850,FMDBL,--,1850
FOWAD,--,540,FOWAD,--,540
GBBD85,--,25,GBBD85,--,25
GBBL,--,2435,GBBL,--,2435
GBLBS,--,480,GBLBS,--,480
GFCL,--,210,GFCL,--,210
GHL,--,1750,GHL,--,1750
GILB,--,127,GILB,--,127
GLBSL,--,40,GLBSL,--,40
GLH,--,215,GLH,--,215
GRDBL,--,192,GRDBL,--,192
GUFL,--,9414,GUFL,--,9414
GVL,--,130,GVL,--,130
HDHPC,--,47731,HDHPC,--,47731
HDL,--,1060,HDL,--,1060
HEI,--,210,HEI,--,210
HEIP,--,10,HEIP,--,10
HHL,--,225,HHL,--,225
HIDCL,--,10080,HIDCL,--,10080
HIDCLP,--,200,HIDCLP,--,200
HPPL,--,60,HPPL,--,60
HURJA,--,15,HURJA,--,15
ICFC,--,835,ICFC,--,835
ILBS,--,10,ILBS,--,10
JALPA,--,1732,JALPA,--,1732
JBBL,--,3250,JBBL,--,3250
JBLB,--,364,JBLB,--,364
JFL,--,830,JFL,--,830
JOSHI,--,736,JOSHI,--,736
JSLBB,--,32,JSLBB,--,32
KDBY,--,2200,KDBY,--,2200
KEF,--,650,KEF,--,650
KMCDB,--,382,KMCDB,--,382
KPCL,--,10,KPCL,--,10
KRBL,--,1150,KRBL,--,1150
KSBBL,--,1082,KSBBL,--,1082
LBBL,--,356,LBBL,--,356
LBL,--,40,LBL,--,40
LEC,--,508,LEC,--,508
LEMF,--,17875,LEMF,--,17875
LICN,--,110,LICN,--,110
LLBS,--,13,LLBS,--,13
LUK,--,300,LUK,--,300
MBJC,--,3820,MBJC,--,3820
MBL,--,695,MBL,--,695
MEN,--,100,MEN,--,100
MERO,--,52,MERO,--,52
MFIL,--,4898,MFIL,--,4898
MHL,--,150,MHL,--,150
MHNL,--,7300,MHNL,--,7300
MKLB,--,22,MKLB,--,22
MLBBL,--,30,MLBBL,--,30
MLBL,--,1459,MLBL,--,1459
MLBS,--,40,MLBS,--,40
MLBSL,--,86,MLBSL,--,86
MNBBL,--,1020,MNBBL,--,1020
MPFL,--,30,MPFL,--,30
NABBC,--,10,NABBC,--,10
NABIL,--,3376,NABIL,--,3376
NBL,--,2121,NBL,--,2121
NESDO,--,1742,NESDO,--,1742
NFS,--,2700,NFS,--,2700
NGPL,--,210,NGPL,--,210
NHDL,--,10,NHDL,--,10
NHPC,--,2620,NHPC,--,2620
NIBD84,--,25,NIBD84,--,25
NICA,--,3136,NICA,--,3136
NICBF,--,200,NICBF,--,200
NICGF,--,200,NICGF,--,200
NICLBSL,--,120,NICLBSL,--,120
NICSF,--,400,NICSF,--,400
NIFRA,--,5216,NIFRA,--,5216
NIL,--,230,NIL,--,230
NLIC,--,4015,NLIC,--,4015
NLICL,--,1305,NLICL,--,1305
NMB,--,1078,NMB,--,1078
NMB50,--,400,NMB50,--,400
NRIC,--,9182,NRIC,--,9182
NRN,--,10,NRN,--,10
NTC,--,2516,NTC,--,2516
NYADI,--,40,NYADI,--,40
OHL,--,90,OHL,--,90
PCBL,--,4385,PCBL,--,4385
PCBLP,--,2000,PCBLP,--,2000
PFL,--,1198,PFL,--,1198
PICL,--,200,PICL,--,200
PPCL,--,960,PPCL,--,960
PPL,--,880,PPL,--,880
PROFL,--,920,PROFL,--,920
PRVU,--,831,PRVU,--,831
PSF,--,300,PSF,--,300
RADHI,--,100,RADHI,--,100
RBCL,--,20,RBCL,--,20
RBCLPO,--,40,RBCLPO,--,40
RFPL,--,3118,RFPL,--,3118
RHGCL,--,620,RHGCL,--,620
RIDI,--,5570,RIDI,--,5570
RLFL,--,800,RLFL,--,800
RMF1,--,1300,RMF1,--,1300
RSDC,--,1383,RSDC,--,1383
SADBL,--,1737,SADBL,--,1737
SAHAS,--,1110,SAHAS,--,1110
SANIMA,--,281,SANIMA,--,281
SAPDBL,--,30,SAPDBL,--,30
SBI,--,664,SBI,--,664
SBL,--,104,SBL,--,104
SBLD84,--,25,SBLD84,--,25
SCB,--,768,SCB,--,768
SFCL,--,2042,SFCL,--,2042
SGHC,--,230,SGHC,--,230
SHEL,--,840,SHEL,--,840
SHINE,--,1026,SHINE,--,1026
SHIVM,--,23209,SHIVM,--,23209
SHL,--,2100,SHL,--,2100
SHPC,--,7956,SHPC,--,7956
SICL,--,573,SICL,--,573
SIFC,--,4987,SIFC,--,4987
