  12:04:01,1,2,3,4,5
MBJC,48,56,10,,
PMHPL,59,14,150,,
PRVU,45,42,640,,
PRVU,35,42,20,,
PRVU,35,42,110,,
PRVU,26,42,500,,
PRVU,32,42,380,,
PRVU,56,42,200,,
PRVU,3,42,10,,
PRVU,43,42,500,,
PRVU,34,42,500,,
PRVU,6,42,50,,
PRVU,47,42,1000,,
PRVU,52,42,500,,
PRVU,48,42,200,,
PRVU,43,42,100,,
PRVU,58,42,20,,
PRVU,38,42,100,,
PRVU,29,42,10,,
PRVU,45,42,20,,
PRVU,57,42,100,,
PRVU,58,42,10,,
PRVU,58,42,30,,
PRVU,1,42,920,,
PRVU,6,42,80,,
GBLBS,37,51,45,,
HIDCL,37,28,500,,
MBJC,48,49,10,,
LBL,49,26,20,,
MLBL,57,25,50,,
MBJC,48,38,10,,
SAHAS,48,55,10,,
ULI,35,58,10,,
MBJC,48,26,10,,
MEGA,21,47,10,,
MEGA,22,47,75,,
MEGA,47,47,65,,
LEC,56,4,10,,
LEC,56,7,235,,
LEC,56,49,198,,
LEC,56,53,10,,
LEC,56,1,100,,
LEC,56,42,305,,
LEC,56,58,15,,
LEC,56,34,160,,
AHPC,25,17,137,,
AHPC,25,58,25,,
AHPC,25,3,500,,
AHPC,25,52,50,,
AHPC,25,38,10,,
AHPC,25,22,30,,
PRVU,6,57,20,,
AHPC,25,17,10,,
PRVU,6,42,400,,
AHPC,25,35,100,,
AHPC,25,43,50,,
AHPC,25,50,1000,,
AHPC,25,21,930,,
AHPC,25,4,132,,
AHPC,25,47,300,,
AHPC,25,40,50,,
AHPC,25,41,400,,
AHPC,25,57,200,,
AHPC,25,43,200,,
AHPC,25,59,34,,
AHPC,25,38,500,,
AHPC,25,51,500,,
AHPC,25,7,100,,
AHPC,25,58,100,,
AHPC,25,29,500,,
AHPC,25,57,111,,
AHPC,25,42,20,,
AHPC,25,53,11,,
JOSHI,25,8,100,,
JOSHI,25,59,300,,
MBJC,48,11,10,,
SBL,49,43,38,,
SBL,49,41,62,,
NIFRA,57,6,180,,
NIFRA,57,17,160,,
NIFRA,57,11,160,,
JLI,28,22,10,,
HIDCL,26,28,27,,
HIDCL,26,45,173,,
NRN,41,59,10,,
KBL,18,54,176,,
ICFC,7,41,48,,
ICFC,7,52,250,,
ICFC,7,59,119,,
ICFC,7,49,83,,
SAHAS,48,33,10,,
UPPER,35,45,500,,
UPPER,51,45,2940,,
RHPL,50,44,110,,
RHPL,50,58,20,,
HIDCL,19,45,100,,
SLI,55,58,10,,
SLI,55,28,110,,
SLI,55,54,10,,
SLI,55,42,10,,
SLI,55,58,10,,
SLI,55,39,10,,
SLI,55,57,10,,
UPPER,51,58,1000,,
KRBL,58,45,20,,
UPPER,1,58,500,,
ICFC,25,17,18,,
NLG,34,34,411,,
NLG,34,46,25,,
NLG,34,49,250,,
NLG,34,35,29,,
NLG,34,58,97,,
NLG,34,29,190,,
NYADI,39,17,10,,
ULI,35,49,10,,
MBJC,48,41,10,,
MEGA,47,45,235,,
MEGA,42,45,15,,
NABIL,57,40,40,,
MBJC,48,58,10,,
SHIVM,59,32,500,,
SHIVM,59,19,500,,
PROFL,14,45,50,,
MBJC,48,8,10,,
JOSHI,56,34,10,,
PCBL,19,42,12,,
HDHPC,59,32,990,,
MBJC,48,49,10,,
DHPL,41,41,80,,
API,58,22,46,,
API,58,6,400,,
API,58,32,100,,
API,58,25,185,,
API,58,6,100,,
API,58,58,30,,
API,58,22,500,,
API,58,41,50,,
API,58,49,500,,
API,58,47,500,,
API,58,6,400,,
API,58,29,15,,
API,58,4,300,,
API,58,55,50,,
API,58,47,16,,
AHPC,36,10,50,,
AHPC,36,32,163,,
SHEL,47,22,10,,
NIFRA,1,42,50,,
NIFRA,1,16,50,,
NIFRA,1,58,20,,
NIFRA,1,34,50,,
NIFRA,1,49,50,,
NIFRA,1,6,60,,
NIFRA,1,55,50,,
NIFRA,1,25,10,,
NHPC,57,1,30,,
NIFRA,1,39,257,,
SANIMA,28,42,435,,
SANIMA,17,42,50,,
SANIMA,43,42,500,,
SANIMA,16,42,50,,
SANIMA,51,42,30,,
SANIMA,17,42,100,,
SANIMA,33,42,200,,
SANIMA,42,42,100,,
SANIMA,43,42,165,,
SANIMA,17,42,70,,
UMHL,5,57,23,,
MBJC,48,32,10,,
SAHAS,50,10,10,,
LEC,14,29,100,,
MBJC,48,52,10,,
CBL,46,56,10,,
GBBL,4,53,77,,
GBBL,16,53,200,,
KSBBL,14,38,180,,
PRVU,39,42,100,,
MBJC,48,16,10,,
SFCL,45,57,200,,
NICLBSL,45,51,10,,
MBJC,48,49,10,,
MBJC,48,7,10,,
CMF1,58,7,300,,
SCB,44,22,50,,
NCCB,19,46,42,,
NCCB,19,57,11,,
MBJC,48,55,10,,
MBJC,48,58,10,,
MBJC,48,26,10,,
SINDU,34,53,120,,
MBJC,48,16,10,,
LGIL,39,35,30,,
NGPL,48,46,100,,
AKPL,19,49,500,,
NLIC,48,6,40,,
API,43,52,150,,
NLIC,48,42,10,,
ULI,6,47,10,,
SHEL,47,58,10,,
MBJC,49,58,10,,
ADBL,58,11,200,,
PCBL,35,22,19,,
HIDCL,53,57,112,,
MBL,57,55,100,,
PSF,14,51,300,,
SCB,59,22,25,,
SAHAS,52,22,10,,
SCB,58,22,100,,
JOSHI,56,45,264,,
JOSHI,56,26,300,,
NLIC,53,42,70,,
MHNL,16,39,15,,
SANIMA,46,42,46,,
SANIMA,26,42,100,,
SANIMA,32,42,258,,
NHPC,32,45,458,,
NHPC,4,45,25,,
RADHI,49,47,10,,
ICFC,33,35,250,,
ALICL,4,44,30,,
ALICL,14,44,10,,
SABSL,50,35,10,,
SPC,45,51,10,,
GIC,6,11,75,,
GUFL,8,57,500,,
GUFL,8,58,75,,
HIDCL,53,16,50,,
HIDCL,53,28,303,,
PLI,34,34,10,,
CHCL,7,58,155,,
CHCL,7,38,20,,
CHCL,7,34,50,,
CHCL,7,11,10,,
CHCL,7,16,265,,
CHL,28,59,94,,
CHL,28,49,73,,
LLBS,50,47,10,,
SLICL,38,17,60,,
MBJC,49,26,10,,
JBBL,20,7,1000,,
MBJC,49,8,10,,
HIDCL,40,28,200,,
BFC,22,45,100,,
NYADI,50,46,10,,
LGIL,28,6,10,,
LGIL,28,44,105,,
PROFL,21,45,200,,
MBJC,49,19,10,,
PLI,34,58,10,,
JBLB,45,58,10,,
JBLB,45,10,20,,
NLIC,49,42,20,,
MBJC,49,35,10,,
MBJC,49,52,10,,
RHPL,57,22,80,,
GLH,34,48,10,,
ULI,6,36,10,,
NABIL,29,59,270,,
NABIL,57,59,90,,
NABIL,6,59,250,,
NABIL,22,59,10,,
NABIL,54,59,50,,
NABIL,34,59,30,,
SBL,34,43,1960,,
SBL,34,11,40,,
UPPER,13,45,50,,
LGIL,39,44,80,,
LGIL,38,44,35,,
MBJC,49,16,10,,
LBBL,1,49,200,,
MBJC,49,7,10,,
MBJC,49,29,10,,
KBL,50,54,390,,
KSBBL,42,38,50,,
UMHL,21,57,177,,
UMHL,21,39,23,,
SKBBL,57,44,40,,
MBJC,48,44,10,,
NIFRA,47,51,76,,
API,43,45,65,,
API,43,21,10,,
API,43,58,11,,
SHEL,47,47,10,,
MPFL,52,58,80,,
ULI,6,58,10,,
SPC,45,56,10,,
SAHAS,52,38,10,,
MBJC,48,38,10,,
MHNL,25,22,200,,
MBJC,48,26,10,,
ICFC,6,35,83,,
ICFC,6,41,17,,
CHDC,20,17,180,,
CHDC,20,44,10,,
CHDC,20,51,10,,
SHEL,47,8,10,,
MBJC,48,13,10,,
ULI,6,49,10,,
MBJC,48,49,10,,
AHPC,21,32,37,,
AHPC,21,40,50,,
AHPC,21,49,300,,
AHPC,21,21,50,,
AHPC,21,49,63,,
AHPC,21,34,200,,
SLI,33,55,10,,
BOKL,43,37,900,,
BOKL,43,42,100,,
PLI,34,59,10,,
CBBL,28,35,50,,
NLIC,29,56,5,,
NLIC,29,16,70,,
MBJC,48,50,10,,
CFCL,19,19,92,,
PCBL,19,22,11,,
MBJC,48,52,10,,
PIC,37,22,100,,
MBJC,48,56,10,,
MBJC,48,40,10,,
MBJC,48,34,10,,
GBBL,13,53,150,,
NICLBSL,14,22,20,,
HDL,4,11,50,,
HDL,4,49,100,,
HDL,4,40,28,,
SHPC,42,8,7,,
MBJC,48,46,10,,
LEC,56,16,61,,
NIFRA,45,39,100,,
NIFRA,45,6,90,,
NIFRA,45,47,60,,
AHPC,22,57,20,,
AHPC,51,49,37,,
AHPC,51,17,13,,
API,34,44,400,,
SAHAS,52,58,62,,
SAHAS,48,58,200,,
SAHAS,48,58,60,,
SAHAS,32,58,20,,
SAHAS,48,58,200,,
SAHAS,35,58,150,,
SAHAS,28,58,490,,
SAHAS,26,58,20,,
SAHAS,41,58,150,,
SAHAS,41,58,10,,
SAHAS,35,58,300,,
SAHAS,42,58,300,,
SAHAS,36,58,160,,
SAHAS,58,58,170,,
SAHAS,48,58,180,,
SAHAS,48,58,60,,
MBJC,48,8,10,,
ULI,35,17,10,,
MHNL,54,57,200,,
GLBSL,38,41,10,,
HDL,51,40,32,,
HDL,51,41,20,,
HDL,51,16,50,,
HDL,51,39,10,,
HDL,51,49,50,,
HDL,51,4,38,,
MBJC,48,19,10,,
RHPL,56,58,10,,
RHPL,56,44,90,,
SLI,33,36,10,,
MDB,34,45,250,,
AHPC,22,53,350,,
AHPC,42,53,50,,
SPDL,4,56,100,,
SICL,10,4,30,,
MEGA,57,50,28,,
NRIC,21,4,200,,
KSBBL,21,48,400,,
KSBBL,7,48,42,,
MBJC,48,56,10,,
PMHPL,59,14,150,,
PRVU,45,42,640,,
PRVU,35,42,20,,
PRVU,35,42,110,,
PRVU,26,42,500,,
PRVU,32,42,380,,
PRVU,56,42,200,,
PRVU,3,42,10,,
PRVU,43,42,500,,
PRVU,34,42,500,,
PRVU,6,42,50,,
PRVU,47,42,1000,,
PRVU,52,42,500,,
PRVU,48,42,200,,
PRVU,43,42,100,,
PRVU,58,42,20,,
PRVU,38,42,100,,
PRVU,29,42,10,,
PRVU,45,42,20,,
PRVU,57,42,100,,
PRVU,58,42,10,,
PRVU,58,42,30,,
PRVU,1,42,920,,
PRVU,6,42,80,,
GBLBS,37,51,45,,
HIDCL,37,28,500,,
MBJC,48,49,10,,
LBL,49,26,20,,
MLBL,57,25,50,,
MBJC,48,38,10,,
SAHAS,48,55,10,,
ULI,35,58,10,,
MBJC,48,26,10,,
MEGA,21,47,10,,
MEGA,22,47,75,,
MEGA,47,47,65,,
LEC,56,4,10,,
LEC,56,7,235,,
LEC,56,49,198,,
LEC,56,53,10,,
LEC,56,1,100,,
LEC,56,42,305,,
LEC,56,58,15,,
LEC,56,34,160,,
AHPC,25,17,137,,
AHPC,25,58,25,,
AHPC,25,3,500,,
AHPC,25,52,50,,
AHPC,25,38,10,,
AHPC,25,22,30,,
PRVU,6,57,20,,
AHPC,25,17,10,,
PRVU,6,42,400,,
AHPC,25,35,100,,
AHPC,25,43,50,,
AHPC,25,50,1000,,
AHPC,25,21,930,,
AHPC,25,4,132,,
AHPC,25,47,300,,
AHPC,25,40,50,,
AHPC,25,41,400,,
AHPC,25,57,200,,
AHPC,25,43,200,,
AHPC,25,59,34,,
AHPC,25,38,500,,
AHPC,25,51,500,,
AHPC,25,7,100,,
AHPC,25,58,100,,
AHPC,25,29,500,,
AHPC,25,57,111,,
AHPC,25,42,20,,
AHPC,25,53,11,,
JOSHI,25,8,100,,
JOSHI,25,59,300,,
MBJC,48,11,10,,
SBL,49,43,38,,
SBL,49,41,62,,
NIFRA,57,6,180,,
NIFRA,57,17,160,,
NIFRA,57,11,160,,
JLI,28,22,10,,
HIDCL,26,28,27,,
HIDCL,26,45,173,,
NRN,41,59,10,,
KBL,18,54,176,,
ICFC,7,41,48,,
ICFC,7,52,250,,
ICFC,7,59,119,,
ICFC,7,49,83,,
SAHAS,48,33,10,,
UPPER,35,45,500,,
UPPER,51,45,2940,,
RHPL,50,44,110,,
RHPL,50,58,20,,
HIDCL,19,45,100,,
SLI,55,58,10,,
SLI,55,28,110,,
SLI,55,54,10,,
SLI,55,42,10,,
SLI,55,58,10,,
SLI,55,39,10,,
SLI,55,57,10,,
UPPER,51,58,1000,,
KRBL,58,45,20,,
UPPER,1,58,500,,
ICFC,25,17,18,,
NLG,34,34,411,,
NLG,34,46,25,,
NLG,34,49,250,,
NLG,34,35,29,,
NLG,34,58,97,,
NLG,34,29,190,,
NYADI,39,17,10,,
ULI,35,49,10,,
MBJC,48,41,10,,
MEGA,47,45,235,,
MEGA,42,45,15,,
NABIL,57,40,40,,
MBJC,48,58,10,,
SHIVM,59,32,500,,
SHIVM,59,19,500,,
PROFL,14,45,50,,
MBJC,48,8,10,,
JOSHI,56,34,10,,
PCBL,19,42,12,,
HDHPC,59,32,990,,
MBJC,48,49,10,,
DHPL,41,41,80,,
DHPL,48,41,20,,
UPPER,22,49,200,,
HIDCL,48,45,300,,
MBJC,48,26,10,,
NBL,56,35,13,,
JBLB,17,10,10,,
CCBL,41,54,10,,
NRIC,45,4,100,,
MBJC,48,50,10,,
ADBL,29,11,40,,
MBJC,48,38,10,,
MBJC,48,6,10,,
PRVU,1,36,80,,
PRVU,19,36,1000,,
PRVU,19,36,1000,,
PRVU,49,36,1000,,
PRVU,25,36,700,,
PRVU,8,36,200,,
PRVU,45,36,1000,,
PRVU,18,36,200,,
PRVU,48,36,100,,
PRVU,1,36,100,,
PRVU,57,36,70,,
PRVU,50,36,500,,
PRVU,45,36,50,,
NIFRA,28,11,200,,
NIFRA,34,11,40,,
NIFRA,25,11,50,,
NIFRA,33,11,50,,
EBL,58,39,90,,
EBL,25,39,110,,
KKHC,39,41,20,,
NLIC,53,58,30,,
SHIVM,53,36,30,,
KBL,18,54,10,,
BOKL,43,28,141,,
MBJC,48,45,10,,
AKPL,57,26,50,,
NIFRA,21,6,30,,
KRBL,59,21,74,,
MBJC,48,19,10,,
MBJC,48,26,10,,
NIL,44,56,40,,
GBIME,59,44,30,,
GBIME,14,44,100,,
NIFRA,34,6,200,,
NLIC,16,58,20,,
MBJC,48,38,10,,
RSDC,42,19,22,,
NYADI,50,55,10,,
NIL,56,56,50,,
API,34,35,100,,
UMHL,1,39,100,,
MBJC,48,16,10,,
JBBL,33,7,50,,
MBJC,48,32,10,,
NABIL,54,38,50,,
NABIL,6,38,85,,
NABIL,54,38,25,,
NABIL,19,38,10,,
PLI,34,51,10,,
NMB,19,3,291,,
NMB,57,3,80,,
CFCL,19,19,47,,
NMB,41,3,30,,
MBJC,48,35,10,,
MBJC,48,58,10,,
MBJC,48,26,10,,
JLI,28,36,10,,
SAHAS,48,5,10,,
NIL,51,13,300,,
NFS,58,33,13,,
NFS,28,33,67,,
LBBL,43,57,250,,
LBBL,43,11,20,,
SLI,33,29,10,,
NLIC,33,58,10,,
RLI,18,45,45,,
NIFRA,22,39,100,,
DHPL,10,56,500,,
UPPER,51,45,60,,
UPPER,55,45,40,,
SPC,45,21,10,,
PLIC,43,53,100,,
UPPER,55,42,50,,
LEC,35,57,100,,
ULI,35,21,10,,
AHPC,52,53,500,,
MBJC,48,52,10,,
AHPC,52,19,500,,
API,36,39,100,,
ICFC,7,17,182,,
ICFC,7,26,49,,
ICFC,7,10,69,,
HIDCL,57,45,20,,
MBJC,48,19,10,,
MBJC,48,8,10,,
MBJC,48,8,10,,
KSBBL,49,11,80,,
PIC,46,58,82,,
MBJC,48,45,10,,
GIC,6,21,100,,
SAPDBL,21,48,10,,
GHL,29,58,807,,
GHL,29,34,1000,,
GHL,29,21,40,,
GHL,29,34,10,,
GHL,29,58,1000,,
GHL,29,59,1000,,
GHL,29,37,20,,
GHL,29,34,823,,
GHL,29,34,300,,
RADHI,19,47,10,,
NIFRA,26,39,43,,
NIFRA,26,34,457,,
NIFRA,33,59,30,,
NIFRA,8,59,30,,
NABBC,14,25,100,,
HIDCL,37,45,400,,
MBJC,48,58,10,,
HDL,26,35,50,,
HDL,26,33,20,,
MBJC,48,26,10,,
HDL,26,17,30,,
MBJC,48,55,10,,
AKPL,53,5,81,,
MLBL,49,18,4000,,
ICFC,54,16,10,,
ICFC,45,16,90,,
MDB,16,45,390,,
MBJC,48,16,10,,
MLBL,41,33,100,,
MLBL,57,33,100,,
ULI,35,17,10,,
CBL,37,38,671,,
CBL,50,38,200,,
CBL,14,38,50,,
CBL,26,38,100,,
LGIL,38,35,50,,
CBL,39,38,100,,
LGIL,38,58,15,,
CBL,11,38,290,,
MBJC,48,38,10,,
CBL,45,38,257,,
NMFBS,14,33,50,,
MBJC,48,36,10,,
NABIL,36,40,20,,
UPCL,46,39,100,,
BOKL,43,28,594,,
JOSHI,56,38,20,,
PMHPL,50,13,100,,
PMHPL,50,58,10,,
PMHPL,50,22,300,,
NLIC,41,3,27,,
NLIC,8,3,107,,
NLIC,34,3,26,,
GIC,6,45,10,,
GIC,34,45,10,,
DDBL,22,39,56,,
NYADI,50,53,30,,
NIFRA,5,34,10,,
JBBL,16,7,300,,
HIDCL,38,22,250,,
UPPER,55,48,10,,
GBLBS,51,14,55,,
GBLBS,51,56,45,,
MBJC,48,6,10,,
SICL,44,58,50,,
MBJC,48,16,10,,
KBL,18,21,14,,
LBBL,43,47,10,,
SCB,26,48,15,,
SCB,26,16,328,,
UPPER,55,45,500,,
ALICL,14,20,20,,
ALICL,14,11,20,,
GBBL,53,25,150,,
SPC,56,42,10,,
PRVU,14,42,300,,
PRVU,42,42,123,,
LEC,56,1,300,,
HIDCL,13,45,10,,
MBL,45,55,472,,
MBL,45,50,500,,
MBL,45,55,28,,
CFCL,19,58,20,,
CFCL,19,14,247,,
DDBL,19,39,10,,
SLI,33,58,10,,
JOSHI,56,28,406,,
MNBBL,54,35,100,,
SJCL,29,35,30,,
SJCL,50,35,120,,
GBIME,58,42,100,,
PLI,34,36,10,,
SGI,6,42,10,,
GLH,5,17,10,,
JOSHI,38,28,174,,
JOSHI,38,58,10,,
JOSHI,38,11,316,,
CFCL,45,14,50,,
MBJC,48,43,10,,
MBJC,48,26,10,,
MBL,47,55,62,,
MBJC,5,52,10,,
UPPER,51,52,100,,
MBJC,5,42,10,,
CHL,28,34,101,,
CHL,28,41,330,,
CHL,28,39,300,,
CHL,28,57,27,,
CHL,28,58,75,,
MBJC,46,8,10,,
NICA,17,35,35,,
MBJC,46,57,10,,
HIDCL,41,45,19,,
LBBL,54,7,2768,,
NTC,50,42,200,,
MEGA,22,50,150,,
MEGA,22,45,50,,
NLIC,34,45,24,,
ICFC,45,22,10,,
MBJC,46,42,10,,
DDBL,37,39,34,,
BFC,54,47,50,,
ICFC,45,53,50,,
ICFC,45,34,200,,
ICFC,45,28,28,,
MBJC,46,55,10,,
PRVU,42,22,377,,
MBJC,46,39,10,,
PRVU,1,22,23,,
NIFRA,33,57,50,,
NYADI,50,38,10,,
RADHI,45,57,50,,
RADHI,45,21,100,,
NIFRA,33,48,10,,
MBJC,46,58,10,,
SAHAS,48,58,10,,
HIDCL,38,58,70,,
MBJC,46,58,10,,
MSLB,6,51,10,,
NICLBSL,54,59,10,,
NYADI,50,57,10,,
NCCB,57,17,50,,
MBJC,46,45,10,,
MBJC,46,47,10,,
SLI,33,35,10,,
NIFRA,33,51,50,,
MBJC,46,49,10,,
MBJC,46,26,10,,
MBJC,46,35,10,,
ALICL,7,20,30,,
MBJC,46,53,10,,
NLIC,44,52,10,,
JOSHI,41,11,200,,
ICFC,1,28,100,,
NGPL,35,25,20,,
NGPL,35,17,17,,
NBL,52,35,37,,
MBJC,46,38,10,,
UMRH,26,17,10,,
HIDCL,22,45,200,,
RADHI,45,26,250,,
RURU,25,47,10,,
API,36,55,300,,
NIFRA,33,36,50,,
NLIC,7,52,10,,
SIFC,28,49,120,,
SIFC,28,17,50,,
SIFC,28,5,100,,
BOKL,1,28,69,,
KSBBL,49,59,20,,
NLIC,8,53,93,,
NLIC,33,53,55,,
NLIC,39,53,25,,
NLIC,43,53,30,,
NLIC,49,53,30,,
NLIC,32,53,100,,
NLIC,47,53,50,,
NLIC,58,53,10,,
NLIC,54,53,10,,
NLIC,54,53,30,,
SICL,38,58,200,,
MBJC,46,16,10,,
KKHC,21,41,20,,
MBJC,46,19,10,,
HDL,58,11,19,,
NIFRA,33,32,50,,
MEGA,47,25,200,,
NIFRA,33,42,60,,
HIDCL,38,49,85,,
HIDCL,45,49,15,,
MLBL,6,16,20,,
MLBL,6,48,80,,
PLI,34,21,20,,
MBJC,46,8,10,,
MBJC,46,8,10,,
SAHAS,48,48,10,,
NICLBSL,54,48,10,,
SINDU,19,53,24,,
SINDU,19,46,30,,
SINDU,19,52,100,,
NBF2,43,19,200,,
MBJC,46,26,10,,
SINDU,19,42,63,,
AHPC,51,53,489,,
AHPC,51,32,200,,
AHPC,51,40,50,,
AHPC,51,49,100,,
AHPC,51,43,100,,
AHPC,51,54,61,,
SAHAS,48,17,10,,
SAHAS,48,28,10,,
SAHAS,48,45,10,,
SAHAS,48,52,10,,
SAHAS,48,22,10,,
GLICL,45,17,100,,
SAHAS,48,19,10,,
SAHAS,48,57,10,,
SAHAS,48,1,10,,
SAHAS,48,39,10,,
SAHAS,48,41,10,,
SAHAS,48,49,10,,
SAHAS,48,57,10,,
SAHAS,48,26,10,,
SAHAS,48,47,10,,
SAHAS,48,43,20,,
SAHAS,48,4,10,,
SAHAS,48,14,10,,
SAHAS,48,55,10,,
SAHAS,48,54,10,,
SAHAS,48,50,10,,
MBJC,46,58,10,,
GHL,29,34,177,,
MBJC,46,58,10,,
NBL,58,8,10,,
GHL,29,17,350,,
GHL,29,59,1000,,
GHL,29,50,30,,
GHL,29,34,300,,
GHL,29,5,723,,
GHL,29,44,500,,
GHL,29,34,300,,
GHL,29,34,1000,,
GHL,29,28,620,,
FMDBL,42,38,20,,
DHPL,10,56,690,,
DHPL,10,7,110,,
DHPL,10,41,200,,
TRH,57,44,20,,
KKHC,57,41,300,,
HIDCL,45,16,100,,
CZBIL,14,43,165,,
SSHL,50,5,30,,
SSHL,50,58,50,,
SSHL,50,46,10,,
SSHL,50,38,10,,
NLIC,40,53,100,,
NRIC,41,34,50,,
MBJC,46,52,10,,
MLBL,49,48,200,,
LEC,57,34,90,,
LEC,57,13,10,,
NIL,51,35,50,,
NYADI,50,6,10,,
NIFRA,33,58,150,,
NIFRA,7,58,100,,
JOSHI,42,11,109,,
JOSHI,42,11,300,,
JOSHI,42,21,21,,
JOSHI,42,50,20,,
JOSHI,42,57,50,,
NMFBS,49,36,50,,
NMFBS,14,36,50,,
MBJC,46,49,10,,
SAHAS,48,49,10,,
NBL,57,8,104,,
GUFL,33,38,20,,
JBLB,45,45,40,,
JLI,28,58,10,,
MDB,48,45,10,,
MBJC,46,35,10,,
UPPER,58,57,50,,
MBJC,46,38,10,,
MBJC,46,53,10,,
AKPL,17,58,700,,
JLI,28,17,10,,
AKPL,17,56,100,,
MBJC,46,26,10,,
RURU,47,57,160,,
CHDC,36,47,10,,
RURU,47,58,10,,
PROFL,34,45,100,,
GUFL,45,3,30,,
MBJC,46,32,10,,
KKHC,21,41,20,,
ULI,35,45,10,,
SCB,45,16,100,,
RLI,57,34,205,,
RLI,58,34,20,,
SAHAS,48,34,10,,
RLI,6,34,50,,
RLI,49,34,40,,
FMDBL,39,38,300,,
LEMF,4,6,28814,,
MBJC,46,49,10,,
MBJC,46,38,10,,
NIFRA,7,38,60,,
GLH,35,6,10,,
MBJC,46,19,10,,
NIFRA,7,58,50,,
API,36,58,50,,
NYADI,50,5,10,,
GBBL,32,17,42,,
KRBL,35,32,100,,
HDHPC,59,21,10,,
PLI,34,35,10,,
HURJA,21,35,10,,
JBBL,19,57,22,,
MBJC,46,8,10,,
UPPER,58,47,50,,
UPPER,58,47,20,,
MBJC,46,48,10,,
ULI,45,39,24,,
ULI,45,49,60,,
ULI,45,1,10,,
ULI,45,26,116,,
ULI,45,49,10,,
ULI,45,39,10,,
ULI,45,45,10,,
ULI,45,49,10,,
ULI,45,39,10,,
ULI,45,34,10,,
ULI,45,34,10,,
ULI,45,58,10,,
ULI,45,44,10,,
ULI,45,58,10,,
GBIME,58,33,40,,
ULI,45,55,20,,
ULI,45,38,10,,
ULI,45,7,10,,
ULI,45,7,10,,
ULI,45,52,10,,
ULI,45,58,10,,
ULI,45,22,10,,
ULI,45,34,10,,
JBBL,51,57,150,,
MBJC,46,42,10,,
SBL,18,41,50,,
RMF1,13,35,100,,
RMF1,13,35,100,,
API,16,41,100,,
CIT,56,22,20,,
MBJC,46,26,10,,
MBJC,46,58,10,,
RSDC,37,58,10,,
NLIC,33,53,20,,
MBJC,46,35,10,,
JLI,28,36,10,,
MBJC,46,47,10,,
ICFC,14,28,100,,
NABIL,49,39,18,,
NABIL,42,39,10,,
NABIL,6,39,50,,
NABIL,17,39,31,,
NABIL,38,39,50,,
NABIL,38,39,41,,
LEC,56,59,40,,
HDL,4,29,100,,
HDL,4,33,62,,
AHPC,36,54,39,,
AHPC,36,49,11,,
MBJC,46,38,10,,
AKPL,32,16,200,,
AKPL,49,16,100,,
SINDU,19,42,283,,
JBLB,34,58,10,,
EBL,34,58,110,,
KRBL,4,45,582,,
KRBL,4,34,25,,
KRBL,4,16,293,,
KRBL,4,52,100,,
GLH,41,25,50,,
NICA,17,19,40,,
MBJC,46,58,10,,
NRIC,41,45,100,,
RHPL,50,42,70,,
ADBL,54,11,30,,
MBJC,46,34,10,,
MBJC,46,8,10,,
CBL,11,16,10,,
SAHAS,48,36,10,,
SIFC,28,32,40,,
SIFC,28,17,200,,
SIFC,28,42,60,,
MBJC,46,49,10,,
GRDBL,49,47,50,,
SAHAS,48,38,10,,
MBJC,46,38,10,,
NABIL,38,32,359,,
MLBL,58,16,72,,
MLBL,58,14,100,,
MLBL,58,42,108,,
PMHPL,48,22,200,,
SHL,32,6,100,,
NIFRA,7,47,50,,
NABIL,52,32,170,,
NABIL,52,38,30,,
MBJC,46,39,10,,
HDL,1,14,10,,
ICFC,49,28,20,,
NMB,57,29,200,,
NMB,57,45,100,,
MBJC,46,21,10,,
NLIC,36,53,100,,
NLIC,52,53,14,,
HIDCL,45,45,485,,
HIDCL,54,45,15,,
MBJC,46,8,10,,
UPPER,57,47,180,,
UPPER,57,34,50,,
UPPER,57,58,100,,
UPPER,57,41,10,,
UPPER,57,38,160,,
AHPC,39,17,420,,
AHPC,58,17,190,,
AHPC,26,17,360,,
AHPC,1,17,30,,
NLBBL,34,35,20,,
HIDCL,49,45,32,,
MBJC,46,32,10,,
SANIMA,32,50,106,,
NIFRA,7,44,60,,
VLBS,58,19,25,,
VLBS,4,19,130,,
NLG,4,54,88,,
MBJC,46,45,10,,
KBL,34,44,241,,
JOSHI,13,59,20,,
MBJC,46,4,10,,
NIFRA,1,34,10,,
AHPC,51,49,389,,
AHPC,51,25,100,,
AHPC,51,49,30,,
AHPC,51,34,981,,
AHPC,51,8,500,,
SSHL,28,25,500,,
AKPL,49,28,112,,
NMB,57,49,20,,
MBJC,34,38,10,,
MBJC,14,55,10,,
MBJC,14,58,10,,
SAHAS,48,58,10,,
SAHAS,48,33,10,,
SAHAS,48,39,10,,
SAHAS,48,57,10,,
SAHAS,48,19,10,,
DDBL,37,57,16,,
ULI,35,38,10,,
LBL,32,1,70,,
MBJC,14,41,10,,
SLI,55,14,10,,
GHL,58,28,380,,
GHL,58,58,310,,
GHL,58,45,10,,
API,16,14,300,,
HIDCL,54,34,85,,
HIDCL,34,34,15,,
NIFRA,3,34,123,,
NIFRA,3,52,50,,
NIFRA,3,51,27,,
SIFC,28,16,200,,
UPCL,51,57,10,,
UPCL,56,57,40,,
GLH,44,47,20,,
PIC,45,58,40,,
PIC,22,58,330,,
SJCL,50,6,80,,
