  12:04:01,1,2,3,4,5
NUBL,32,51,380,,
MFIL,35,44,100,,
LBBL,22,57,175,,
LBBL,1,57,300,,
LBBL,56,57,100,,
LBBL,22,57,25,,
JBBL,17,20,376,,
JBBL,57,20,89,,
JBBL,7,20,100,,
JBBL,6,20,30,,
JBBL,56,20,170,,
JBBL,49,20,50,,
JBBL,42,20,40,,
JBBL,57,20,15,,
JBBL,58,20,30,,
JBBL,42,20,100,,
MBJC,10,55,10,,
GUFL,54,41,20,,
MBJC,10,16,10,,
HPPL,52,42,170,,
GUFL,6,45,50,,
MBJC,10,4,10,,
NICA,42,58,43,,
CFCL,21,42,12,,
MBJC,10,10,10,,
HDHPC,59,42,50,,
SLI,49,35,10,,
ULI,49,26,10,,
NGPL,26,17,500,,
UPPER,35,26,48,,
KMCDB,49,21,10,,
KBL,45,42,17,,
MBJC,10,50,10,,
NHDL,16,55,11,,
MBJC,10,45,10,,
AHPC,38,56,50,,
NYADI,8,4,10,,
MBJC,10,58,10,,
MBL,8,26,35,,
NLIC,17,44,10,,
AHPC,34,51,1800,,
AHPC,52,51,100,,
AHPC,39,51,100,,
NIFRA,58,39,100,,
NIFRA,48,39,110,,
GLICL,28,7,20,,
SKBBL,57,55,11,,
MBJC,10,11,10,,
MFIL,45,45,10,,
MFIL,45,49,50,,
API,35,45,90,,
MFIL,45,16,90,,
API,41,45,310,,
HIDCL,14,35,200,,
NICLBSL,35,35,87,,
NICLBSL,58,35,65,,
EBL,57,33,60,,
MBJC,10,58,10,,
ICFC,52,29,53,,
ICFC,25,29,182,,
ICFC,13,29,500,,
ICFC,56,29,100,,
ICFC,45,29,10,,
ICFC,3,29,155,,
MBJC,10,57,10,,
SIL,45,57,20,,
NMB,57,22,120,,
NLIC,25,44,40,,
CLBSL,50,53,53,,
CLBSL,5,53,50,,
CLBSL,10,53,67,,
CLBSL,58,53,90,,
CLBSL,53,53,40,,
ICFC,22,19,20,,
ICFC,57,19,100,,
JBLB,52,57,10,,
HIDCL,7,25,20,,
MBJC,10,38,10,,
SAHAS,51,6,10,,
KPCL,45,52,400,,
KPCL,43,52,50,,
KPCL,53,52,190,,
TPC,6,26,10,,
MFIL,57,16,300,,
MBJC,10,57,10,,
HIDCL,25,32,1500,,
UNHPL,22,38,70,,
MBJC,10,38,10,,
AHPC,58,56,200,,
ILBS,42,21,12,,
MBJC,10,16,10,,
SCB,26,33,25,,
PRVU,39,57,689,,
PRVU,46,57,14,,
PRVU,56,57,100,,
PRVU,10,57,95,,
MFIL,51,16,10,,
MPFL,52,35,20,,
MBJC,10,16,10,,
GIC,16,36,10,,
CLBSL,53,42,10,,
HDHPC,13,42,480,,
API,41,56,190,,
MBJC,10,46,10,,
HIDCL,29,32,500,,
LBBL,51,39,200,,
CCBL,49,43,20,,
CZBIL,26,5,50,,
CCBL,58,43,100,,
ULI,49,32,10,,
PPCL,34,36,35,,
CCBL,53,43,500,,
CCBL,26,43,1000,,
CCBL,16,43,1500,,
CCBL,26,43,1000,,
CCBL,26,43,1000,,
CCBL,26,43,1000,,
CCBL,34,43,1871,,
BOKL,47,46,120,,
EBL,57,33,85,,
NLIC,50,44,18,,
NLIC,16,44,10,,
NLIC,52,44,200,,
NLIC,4,44,80,,
NLIC,14,44,43,,
NLIC,17,47,10,,
PFL,40,14,40,,
MBJC,10,55,10,,
CCBL,34,58,18,,
MBJC,10,58,10,,
