BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,789,ACLBSL,--,789
ADBL,--,16117,ADBL,--,16117
AHPC,--,112546,AHPC,--,112546
AIL,--,1221,AIL,--,1221
AKBSL,--,4876,AKBSL,--,4876
AKJCL,--,35010,AKJCL,--,35010
AKPL,--,77896,AKPL,--,77896
ALBSL,--,1567,ALBSL,--,1567
ALICL,--,80878,ALICL,--,80878
API,--,83053,API,--,83053
BARUN,--,28426,BARUN,--,28426
BBC,--,223,BBC,--,223
BFC,--,10601,BFC,--,10601
BHL,--,12747,BHL,--,12747
BNHC,--,1465,BNHC,--,1465
BNT,--,30,BNT,--,30
BPCL,--,11091,BPCL,--,11091
CBBL,--,11355,CBBL,--,11355
CBL,--,34101,CBL,--,34101
CCBL,--,35286,CCBL,--,35286
CFCL,--,17743,CFCL,--,17743
CGH,--,1807,CGH,--,1807
CHCL,--,18011,CHCL,--,18011
CHDC,--,5075,CHDC,--,5075
CHL,--,16477,CHL,--,16477
CIT,--,52327,CIT,--,52327
CLBSL,--,2697,CLBSL,--,2697
CMF1,--,50000,CMF1,--,50000
CMF2,--,360,CMF2,--,360
CORBL,--,16442,CORBL,--,16442
CYCL,--,70,CYCL,--,70
CZBIL,--,18184,CZBIL,--,18184
DDBL,--,4378,DDBL,--,4378
DHPL,--,16466,DHPL,--,16466
EBL,--,9788,EBL,--,9788
EDBL,--,9594,EDBL,--,9594
ENL,--,3592,ENL,--,3592
FMDBL,--,13668,FMDBL,--,13668
FOWAD,--,4934,FOWAD,--,4934
GBBL,--,30365,GBBL,--,30365
GBLBS,--,3481,GBLBS,--,3481
GFCL,--,5985,GFCL,--,5985
GHL,--,24905,GHL,--,24905
GIC,--,4337,GIC,--,4337
GILB,--,2157,GILB,--,2157
GIMES1,--,17450,GIMES1,--,17450
GLBSL,--,1050,GLBSL,--,1050
GLH,--,7247,GLH,--,7247
GMFBS,--,28,GMFBS,--,28
GMFIL,--,19609,GMFIL,--,19609
GRDBL,--,5629,GRDBL,--,5629
GUFL,--,32255,GUFL,--,32255
GVL,--,10871,GVL,--,10871
HBL,--,5687,HBL,--,5687
HDHPC,--,67356,HDHPC,--,67356
HDL,--,21872,HDL,--,21872
HIDCL,--,163953,HIDCL,--,163953
HPPL,--,11257,HPPL,--,11257
HURJA,--,5010,HURJA,--,5010
ICFC,--,32021,ICFC,--,32021
IGI,--,18275,IGI,--,18275
ILBS,--,2007,ILBS,--,2007
JALPA,--,1975,JALPA,--,1975
JBBL,--,58685,JBBL,--,58685
JBLB,--,3644,JBLB,--,3644
JFL,--,6152,JFL,--,6152
JLI,--,726,JLI,--,726
JOSHI,--,23556,JOSHI,--,23556
JSLBB,--,866,JSLBB,--,866
KBL,--,73701,KBL,--,73701
KBLD86,--,50,KBLD86,--,50
KEF,--,24110,KEF,--,24110
KKHC,--,9609,KKHC,--,9609
KLBSL,--,1384,KLBSL,--,1384
KMCDB,--,1808,KMCDB,--,1808
KPCL,--,9426,KPCL,--,9426
KRBL,--,17847,KRBL,--,17847
KSBBL,--,37161,KSBBL,--,37161
LBBL,--,34905,LBBL,--,34905
LBL,--,10066,LBL,--,10066
LEC,--,5394,LEC,--,5394
LGIL,--,7714,LGIL,--,7714
LICN,--,52511,LICN,--,52511
LLBS,--,41,LLBS,--,41
LUK,--,5735,LUK,--,5735
MBJC,--,15623,MBJC,--,15623
MBL,--,15128,MBL,--,15128
MDB,--,9075,MDB,--,9075
MEN,--,1115,MEN,--,1115
MERO,--,2108,MERO,--,2108
MFIL,--,15844,MFIL,--,15844
MFLD85,--,100,MFLD85,--,100
MHNL,--,14976,MHNL,--,14976
MKJC,--,3458,MKJC,--,3458
MKLB,--,776,MKLB,--,776
MLBBL,--,510,MLBBL,--,510
MLBL,--,63890,MLBL,--,63890
MLBS,--,450,MLBS,--,450
MLBSL,--,866,MLBSL,--,866
MMF1,--,12100,MMF1,--,12100
MMFDB,--,1007,MMFDB,--,1007
MNBBL,--,35915,MNBBL,--,35915
MPFL,--,13205,MPFL,--,13205
MSLB,--,133,MSLB,--,133
NABBC,--,4625,NABBC,--,4625
NABIL,--,72490,NABIL,--,72490
NBF2,--,6100,NBF2,--,6100
NBF3,--,3765,NBF3,--,3765
NBL,--,52668,NBL,--,52668
NCCB,--,83048,NCCB,--,83048
NEF,--,5450,NEF,--,5450
NESDO,--,1875,NESDO,--,1875
NFS,--,15614,NFS,--,15614
NGPL,--,61824,NGPL,--,61824
NHDL,--,11131,NHDL,--,11131
NHPC,--,115227,NHPC,--,115227
NIBD84,--,200,NIBD84,--,200
NIBLPF,--,7500,NIBLPF,--,7500
NIBSF2,--,25500,NIBSF2,--,25500
NICA,--,38513,NICA,--,38513
NICAD8283,--,160,NICAD8283,--,160
NICBF,--,25500,NICBF,--,25500
NICD83/84,--,60,NICD83/84,--,60
NICGF,--,25375,NICGF,--,25375
NICL,--,5764,NICL,--,5764
NICLBSL,--,4890,NICLBSL,--,4890
NICSF,--,41825,NICSF,--,41825
NIFRA,--,70357,NIFRA,--,70357
NIL,--,6750,NIL,--,6750
NLBBL,--,2898,NLBBL,--,2898
NLG,--,5108,NLG,--,5108
NLIC,--,40692,NLIC,--,40692
NLICL,--,23401,NLICL,--,23401
NMB,--,17293,NMB,--,17293
NMBHF1,--,400,NMBHF1,--,400
NMBMF,--,1431,NMBMF,--,1431
NMFBS,--,2528,NMFBS,--,2528
NRIC,--,50058,NRIC,--,50058
NRN,--,7168,NRN,--,7168
NSLB,--,852,NSLB,--,852
NTC,--,19176,NTC,--,19176
NUBL,--,4811,NUBL,--,4811
NYADI,--,22625,NYADI,--,22625
OHL,--,13929,OHL,--,13929
PBD85,--,200,PBD85,--,200
PCBL,--,28709,PCBL,--,28709
PFL,--,10855,PFL,--,10855
PIC,--,3272,PIC,--,3272
PICL,--,12921,PICL,--,12921
