BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,118,ACLBSL,--,118
ADBL,--,114363,ADBL,--,114363
AHPC,--,57232,AHPC,--,57232
AIL,--,698,AIL,--,698
AKJCL,--,23774,AKJCL,--,23774
AKPL,--,77747,AKPL,--,77747
ALBSL,--,1201,ALBSL,--,1201
ALICL,--,131745,ALICL,--,131745
API,--,54487,API,--,54487
BARUN,--,13642,BARUN,--,13642
BBC,--,125,BBC,--,125
BFC,--,10635,BFC,--,10635
BHL,--,3270,BHL,--,3270
BNHC,--,2140,BNHC,--,2140
BNT,--,150,BNT,--,150
BPCL,--,5071,BPCL,--,5071
CBBL,--,5248,CBBL,--,5248
CCBL,--,30177,CCBL,--,30177
CFCL,--,20298,CFCL,--,20298
CGH,--,1434,CGH,--,1434
CHCL,--,6173,CHCL,--,6173
CHDC,--,9256,CHDC,--,9256
CHL,--,3161,CHL,--,3161
CIT,--,11045,CIT,--,11045
CLBSL,--,595,CLBSL,--,595
CMF1,--,19150,CMF1,--,19150
CMF2,--,11000,CMF2,--,11000
CORBL,--,7203,CORBL,--,7203
CZBIL,--,19196,CZBIL,--,19196
DDBL,--,3494,DDBL,--,3494
DHPL,--,5985,DHPL,--,5985
DORDI,--,111522,DORDI,--,111522
EBL,--,56781,EBL,--,56781
EBLCP,--,20,EBLCP,--,20
EDBL,--,5480,EDBL,--,5480
ENL,--,5380,ENL,--,5380
FMDBL,--,13803,FMDBL,--,13803
FOWAD,--,4964,FOWAD,--,4964
GBBL,--,27900,GBBL,--,27900
GBLBS,--,73525,GBLBS,--,73525
GFCL,--,27252,GFCL,--,27252
GHL,--,10765,GHL,--,10765
GILB,--,1421,GILB,--,1421
GIMES1,--,5890,GIMES1,--,5890
GLBSL,--,252,GLBSL,--,252
GLH,--,7188,GLH,--,7188
GMFBS,--,250,GMFBS,--,250
GMFIL,--,10274,GMFIL,--,10274
GRDBL,--,6125,GRDBL,--,6125
GUFL,--,29837,GUFL,--,29837
GUFLPO,--,70225,GUFLPO,--,70225
GVL,--,13212,GVL,--,13212
GWFD83,--,100,GWFD83,--,100
HBL,--,3987,HBL,--,3987
HDHPC,--,22497,HDHPC,--,22497
HDL,--,10826,HDL,--,10826
HIDCL,--,48240,HIDCL,--,48240
HPPL,--,3718,HPPL,--,3718
HURJA,--,7310,HURJA,--,7310
ICFC,--,25279,ICFC,--,25279
IGI,--,10816,IGI,--,10816
ILBS,--,1331,ILBS,--,1331
JALPA,--,3463,JALPA,--,3463
JBBL,--,35521,JBBL,--,35521
JBLB,--,2745,JBLB,--,2745
JFL,--,7525,JFL,--,7525
JOSHI,--,5317,JOSHI,--,5317
JSLBB,--,340,JSLBB,--,340
KBL,--,27290,KBL,--,27290
KEF,--,1100,KEF,--,1100
KKHC,--,2045,KKHC,--,2045
KLBSL,--,80,KLBSL,--,80
KLBSLP,--,16000,KLBSLP,--,16000
KMCDB,--,807,KMCDB,--,807
KPCL,--,4165,KPCL,--,4165
KRBL,--,4523,KRBL,--,4523
KSBBL,--,27514,KSBBL,--,27514
LBBL,--,41890,LBBL,--,41890
LBL,--,11557,LBL,--,11557
LEC,--,4741,LEC,--,4741
LEMF,--,100,LEMF,--,100
LICN,--,12641,LICN,--,12641
LLBS,--,1026,LLBS,--,1026
LUK,--,200,LUK,--,200
MBJC,--,6710,MBJC,--,6710
MBL,--,22052,MBL,--,22052
MDB,--,8934,MDB,--,8934
MEN,--,152,MEN,--,152
MERO,--,2811,MERO,--,2811
MFIL,--,17404,MFIL,--,17404
MHNL,--,18322,MHNL,--,18322
MKJC,--,4695,MKJC,--,4695
MKLB,--,606,MKLB,--,606
MLBBL,--,340,MLBBL,--,340
MLBL,--,44988,MLBL,--,44988
MLBS,--,100,MLBS,--,100
MLBSL,--,434,MLBSL,--,434
MMF1,--,2900,MMF1,--,2900
MMFDB,--,930,MMFDB,--,930
MNBBL,--,24727,MNBBL,--,24727
MPFL,--,6206,MPFL,--,6206
MSLB,--,228,MSLB,--,228
NABBC,--,470,NABBC,--,470
NABIL,--,24902,NABIL,--,24902
NBF2,--,2000,NBF2,--,2000
NBF3,--,6300,NBF3,--,6300
NBL,--,40649,NBL,--,40649
NBLD85,--,25,NBLD85,--,25
NCCB,--,43032,NCCB,--,43032
NEF,--,15841,NEF,--,15841
NESDO,--,2718,NESDO,--,2718
NFS,--,13091,NFS,--,13091
NGPL,--,33188,NGPL,--,33188
NHDL,--,5164,NHDL,--,5164
NHPC,--,66350,NHPC,--,66350
NIBD84,--,25,NIBD84,--,25
NIBLPF,--,6498,NIBLPF,--,6498
NIBSF2,--,5600,NIBSF2,--,5600
NICA,--,407600,NICA,--,407600
NICBF,--,300,NICBF,--,300
NICGF,--,5100,NICGF,--,5100
NICL,--,2215,NICL,--,2215
NICLBSL,--,3193,NICLBSL,--,3193
NICSF,--,4650,NICSF,--,4650
NIFRA,--,57760,NIFRA,--,57760
NIL,--,6020,NIL,--,6020
NLBBL,--,3323,NLBBL,--,3323
NLG,--,1522,NLG,--,1522
NLIC,--,20340,NLIC,--,20340
NLICL,--,8540,NLICL,--,8540
NMB,--,10737,NMB,--,10737
NMB50,--,27170,NMB50,--,27170
NMBMF,--,309,NMBMF,--,309
NMFBS,--,1120,NMFBS,--,1120
NRIC,--,16130,NRIC,--,16130
NRN,--,11814,NRN,--,11814
NSLB,--,196,NSLB,--,196
NTC,--,26062,NTC,--,26062
NUBL,--,14753,NUBL,--,14753
NYADI,--,2235,NYADI,--,2235
OHL,--,2182,OHL,--,2182
PCBL,--,24780,PCBL,--,24780
PFL,--,5351,PFL,--,5351
PICL,--,7558,PICL,--,7558
PLI,--,5259,PLI,--,5259
PMHPL,--,8197,PMHPL,--,8197
PPCL,--,11544,PPCL,--,11544
PRIN,--,3701,PRIN,--,3701
PROFL,--,7039,PROFL,--,7039
PROFLP,--,111042,PROFLP,--,111042
PRVU,--,28804,PRVU,--,28804
PRVUPO,--,9568,PRVUPO,--,9568
PSF,--,9000,PSF,--,9000
RADHI,--,11091,RADHI,--,11091
RBCL,--,100,RBCL,--,100
RBCLPO,--,190,RBCLPO,--,190
RFPL,--,7847,RFPL,--,7847
RHPL,--,23730,RHPL,--,23730
RLFL,--,27649,RLFL,--,27649
RMDC,--,5109,RMDC,--,5109
RMF1,--,3200,RMF1,--,3200
RSDC,--,1069,RSDC,--,1069
RULB,--,978,RULB,--,978
RURU,--,488,RURU,--,488
SABSL,--,132,SABSL,--,132
SADBL,--,15888,SADBL,--,15888
SAEF,--,115517,SAEF,--,115517
SAHAS,--,9619,SAHAS,--,9619
SANIMA,--,133922,SANIMA,--,133922
SAPDBL,--,5964,SAPDBL,--,5964
SBI,--,112595,SBI,--,112595
SBL,--,24059,SBL,--,24059
SBLD2082,--,25,SBLD2082,--,25
SCB,--,4403,SCB,--,4403
SDLBSL,--,256,SDLBSL,--,256
SEF,--,6699,SEF,--,6699
SFCL,--,13855,SFCL,--,13855
SFMF,--,550,SFMF,--,550
SHEL,--,5260,SHEL,--,5260
SHINE,--,24191,SHINE,--,24191
