0,1,2,3,4,5
GMFIL,56,52,10,,
CBBL,21,42,50,,
ICFC,54,7,100,,
SHIVM,54,36,50,,
NCCB,8,6,10,,
TPC,3,43,10,,
PCBL,7,21,878,,
PCBL,7,54,10,,
JALPA,46,28,10,,
PROFL,46,50,10,,
NGPL,42,19,15,,
PPCL,29,25,100,,
PPCL,58,25,10,,
MKJC,32,34,10,,
API,34,29,317,,
API,34,38,50,,
API,34,44,75,,
API,34,38,100,,
API,34,55,200,,
API,34,36,258,,
CBBL,57,49,78,,
CBBL,6,49,20,,
CBBL,35,49,140,,
CBBL,4,49,500,,
CBBL,39,49,46,,
RADHI,49,58,10,,
RFPL,46,45,10,,
GUFL,45,56,10,,
SHIVM,29,36,80,,
MKJC,17,34,10,,
SBI,8,26,20,,
SBI,8,40,21,,
UMHL,59,45,10,,
UPPER,28,42,10,,
AKPL,44,41,20,,
SHINE,4,11,100,,
NCCB,57,32,100,,
MKJC,50,34,10,,
HDHPC,50,53,10,,
CFCL,34,35,10,,
HHL,1,49,10,,
KRBL,58,49,10,,
KRBL,58,48,70,,
AKPL,38,41,940,,
AKPL,38,45,30,,
AKPL,38,58,30,,
GUFL,45,56,10,,
USHEC,14,35,10,,
USHEC,14,16,40,,
RIDI,38,29,100,,
SWBBL,35,55,100,,
RIDI,28,29,160,,
PROFL,35,50,90,,
RIDI,29,29,26,,
MKJC,17,34,10,,
NCCB,56,6,86,,
NCCB,56,36,100,,
NCCB,56,10,400,,
NCCB,56,56,14,,
EBL,19,16,50,,
SFCL,37,52,10,,
UMRH,49,53,23,,
UMRH,14,53,15,,
JBBL,54,7,22,,
UMRH,32,53,50,,
UMRH,51,53,12,,
UPCL,34,47,20,,
UPCL,3,36,10,,
UPCL,3,25,30,,
UPCL,34,25,20,,
USHEC,32,58,10,,
USHEC,32,58,10,,
USHEC,32,41,10,,
USHEC,32,57,10,,
USHEC,32,45,10,,
JOSHI,50,39,10,,
NTC,58,29,42,,
NTC,58,57,395,,
NTC,58,58,300,,
NTC,58,38,100,,
NTC,58,32,10,,
NTC,58,58,10,,
NTC,58,58,500,,
NTC,58,14,957,,
NTC,58,59,50,,
NTC,58,58,300,,
NTC,58,16,100,,
NTC,58,40,190,,
NTC,58,46,180,,
NTC,58,32,70,,
NTC,58,59,300,,
NTC,58,25,100,,
RIDI,58,38,66,,
NTC,58,28,200,,
RIDI,58,6,366,,
NTC,58,53,220,,
RIDI,58,52,63,,
NTC,58,41,94,,
NTC,58,45,50,,
API,58,36,242,,
API,58,19,20,,
NTC,58,34,100,,
API,58,45,11,,
NTC,58,8,10,,
API,58,41,100,,
NTC,58,42,290,,
API,58,32,700,,
NTC,58,42,97,,
API,58,51,60,,
NTC,58,13,95,,
API,58,59,23,,
NTC,58,19,240,,
API,58,17,344,,
SFMF,57,48,100,,
NLIC,45,38,10,,
CZBIL,29,38,50,,
NHPC,16,38,200,,
SHPC,5,17,530,,
HHL,28,58,10,,
HHL,28,39,10,,
HHL,28,58,10,,
HHL,28,45,10,,
HHL,28,45,10,,
HHL,28,58,10,,
HHL,28,58,10,,
HHL,28,53,10,,
HHL,28,59,10,,
HHL,28,44,10,,
PMHPL,28,28,10,,
MMFDB,47,4,20,,
SBI,5,40,50,,
ICFC,45,25,51,,
AHPC,41,25,10,,
ICFC,57,25,190,,
AHPC,18,25,290,,
ICFC,42,25,59,,
PICL,50,42,20,,
EDBL,38,44,39,,
SGHC,21,14,100,,
JALPA,17,28,20,,
MFIL,54,17,15,,
SSHL,54,39,10,,
CIT,59,21,10,,
CIT,59,3,100,,
CIT,59,38,25,,
RFPL,52,22,80,,
RFPL,52,53,25,,
RFPL,52,58,10,,
RFPL,52,16,10,,
RFPL,52,53,30,,
RFPL,52,58,10,,
RFPL,52,58,10,,
RFPL,52,13,10,,
RFPL,52,14,10,,
RFPL,52,6,10,,
RFPL,52,43,170,,
RFPL,52,21,10,,
RFPL,52,21,10,,
RFPL,52,13,10,,
RFPL,52,13,10,,
RFPL,52,45,10,,
RFPL,52,55,75,,
MEN,17,57,50,,
SHINE,57,46,20,,
GBBL,28,8,100,,
KLBSL,44,45,13,,
CIT,8,19,5,,
CIT,8,22,45,,
CIT,56,22,10,,
CIT,55,22,10,,
CIT,45,22,10,,
RURU,43,38,10,,
NHPC,47,40,200,,
SHPC,5,41,10,,
ICFC,42,51,200,,
ICFC,42,51,14,,
ICFC,38,51,500,,
ICFC,16,51,166,,
ICFC,26,51,100,,
ICFC,39,51,20,,
PFL,55,58,300,,
PCBL,45,54,40,,
NGPL,45,19,10,,
GMFBS,48,44,10,,
SAHAS,49,29,10,,
NTC,44,19,60,,
NTC,44,36,60,,
FMDBL,43,34,27,,
SADBL,42,35,10,,
EBL,40,16,10,,
USHEC,3,32,10,,
