BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,361,ACLBSL,--,361
ADBL,--,16644,ADBL,--,16644
AHPC,--,61753,AHPC,--,61753
AKJCL,--,42328,AKJCL,--,42328
AKPL,--,41924,AKPL,--,41924
ALBSL,--,240,ALBSL,--,240
ALICL,--,65741,ALICL,--,65741
API,--,95196,API,--,95196
BARUN,--,3645,BARUN,--,3645
BBC,--,50,BBC,--,50
BFC,--,11662,BFC,--,11662
BHDC,--,22745,BHDC,--,22745
BHL,--,32781,BHL,--,32781
BNHC,--,4577,BNHC,--,4577
BNT,--,130,BNT,--,130
BPCL,--,19493,BPCL,--,19493
CBBL,--,8967,CBBL,--,8967
CFCL,--,14604,CFCL,--,14604
CGH,--,4402,CGH,--,4402
CHCL,--,14039,CHCL,--,14039
CHDC,--,6824,CHDC,--,6824
CHL,--,18146,CHL,--,18146
CIT,--,7851,CIT,--,7851
CLBSL,--,5459,CLBSL,--,5459
CMF1,--,300,CMF1,--,300
CMF2,--,600,CMF2,--,600
CORBL,--,2468,CORBL,--,2468
CZBIL,--,14750,CZBIL,--,14750
DDBL,--,2693,DDBL,--,2693
DHPL,--,6911,DHPL,--,6911
DORDI,--,16501,DORDI,--,16501
EBL,--,25719,EBL,--,25719
EDBL,--,10577,EDBL,--,10577
ENL,--,3564,ENL,--,3564
FMDBL,--,5728,FMDBL,--,5728
FOWAD,--,27372,FOWAD,--,27372
GBBL,--,51824,GBBL,--,51824
GBLBS,--,29067,GBLBS,--,29067
GFCL,--,32291,GFCL,--,32291
GHL,--,46575,GHL,--,46575
GILB,--,1205,GILB,--,1205
GIMES1,--,9600,GIMES1,--,9600
GLBSL,--,1106,GLBSL,--,1106
GLH,--,6538,GLH,--,6538
GMFBS,--,325,GMFBS,--,325
GMFIL,--,18038,GMFIL,--,18038
GRDBL,--,2905,GRDBL,--,2905
GUFL,--,32646,GUFL,--,32646
GVL,--,18549,GVL,--,18549
GWFD83,--,125,GWFD83,--,125
HBL,--,2735,HBL,--,2735
HDHPC,--,57067,HDHPC,--,57067
