BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,77,ACLBSL,--,77
ADBL,--,7030,ADBL,--,7030
AHPC,--,9750,AHPC,--,9750
AKJCL,--,7279,AKJCL,--,7279
AKPL,--,18606,AKPL,--,18606
ALBSL,--,664,ALBSL,--,664
ALICL,--,3556,ALICL,--,3556
API,--,14674,API,--,14674
AVYAN,--,7185,AVYAN,--,7185
BARUN,--,318,BARUN,--,318
BBC,--,10,BBC,--,10
BFC,--,14292,BFC,--,14292
BHDC,--,320,BHDC,--,320
BHL,--,1120,BHL,--,1120
BNHC,--,405,BNHC,--,405
BOKD86,--,25,BOKD86,--,25
BPCL,--,2691,BPCL,--,2691
CBBL,--,3879,CBBL,--,3879
CCBD88,--,15,CCBD88,--,15
CFCL,--,6004,CFCL,--,6004
CGH,--,380,CGH,--,380
CHCL,--,3660,CHCL,--,3660
CHDC,--,480,CHDC,--,480
CHL,--,1786,CHL,--,1786
CIT,--,724,CIT,--,724
CLBSL,--,146,CLBSL,--,146
CMF1,--,1200,CMF1,--,1200
CMF2,--,6000,CMF2,--,6000
CORBL,--,270,CORBL,--,270
CZBIL,--,19740,CZBIL,--,19740
DDBL,--,149,DDBL,--,149
DHPL,--,1094,DHPL,--,1094
DLBS,--,10,DLBS,--,10
DORDI,--,1050,DORDI,--,1050
EBL,--,49781,EBL,--,49781
EDBL,--,2408,EDBL,--,2408
ENL,--,130,ENL,--,130
FMDBL,--,695,FMDBL,--,695
FOWAD,--,1293,FOWAD,--,1293
GBBD85,--,100,GBBD85,--,100
GBBL,--,7069,GBBL,--,7069
GBLBS,--,123,GBLBS,--,123
GFCL,--,7879,GFCL,--,7879
GHL,--,315,GHL,--,315
GILB,--,288,GILB,--,288
GIMES1,--,15420,GIMES1,--,15420
GLH,--,3286,GLH,--,3286
GMFBS,--,24,GMFBS,--,24
GMFIL,--,5444,GMFIL,--,5444
GRDBL,--,492,GRDBL,--,492
GUFL,--,10340,GUFL,--,10340
GVL,--,1820,GVL,--,1820
HBL,--,1951,HBL,--,1951
HDHPC,--,24291,HDHPC,--,24291
HDL,--,2331,HDL,--,2331
HEI,--,2663,HEI,--,2663
HEIP,--,100,HEIP,--,100
HHL,--,2090,HHL,--,2090
HIDCL,--,17545,HIDCL,--,17545
HPPL,--,1449,HPPL,--,1449
HURJA,--,80,HURJA,--,80
ICFC,--,1989,ICFC,--,1989
IGI,--,311,IGI,--,311
ILBS,--,230,ILBS,--,230
JALPA,--,350,JALPA,--,350
JBBL,--,25083,JBBL,--,25083
JBLB,--,2273,JBLB,--,2273
JFL,--,921,JFL,--,921
JOSHI,--,1148,JOSHI,--,1148
JSLBB,--,50,JSLBB,--,50
KDBY,--,2500,KDBY,--,2500
KEF,--,1700,KEF,--,1700
KKHC,--,1133,KKHC,--,1133
KMCDB,--,64,KMCDB,--,64
KPCL,--,277,KPCL,--,277
KRBL,--,1601,KRBL,--,1601
KSBBL,--,14545,KSBBL,--,14545
LBBL,--,17183,LBBL,--,17183
LBL,--,9581,LBL,--,9581
LEC,--,1440,LEC,--,1440
LEMF,--,11696,LEMF,--,11696
LICN,--,1694,LICN,--,1694
LLBS,--,81,LLBS,--,81
LUK,--,1000,LUK,--,1000
MBJC,--,1302,MBJC,--,1302
MBL,--,7775,MBL,--,7775
MDB,--,1005,MDB,--,1005
MEN,--,110,MEN,--,110
MERO,--,1022,MERO,--,1022
MFIL,--,4240,MFIL,--,4240
MHL,--,410,MHL,--,410
MHNL,--,827,MHNL,--,827
MKJC,--,140,MKJC,--,140
MKLB,--,40,MKLB,--,40
MLBBL,--,65,MLBBL,--,65
MLBL,--,15904,MLBL,--,15904
MLBS,--,70,MLBS,--,70
MLBSL,--,677,MLBSL,--,677
MMF1,--,1500,MMF1,--,1500
MMFDB,--,152,MMFDB,--,152
MNBBL,--,2204,MNBBL,--,2204
MPFL,--,246,MPFL,--,246
MSLB,--,94,MSLB,--,94
NABBC,--,29,NABBC,--,29
NABIL,--,25123,NABIL,--,25123
NBF2,--,10500,NBF2,--,10500
NBF3,--,4400,NBF3,--,4400
NBL,--,18239,NBL,--,18239
