BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,139,ACLBSL,--,139
ADBL,--,3928,ADBL,--,3928
AHPC,--,21348,AHPC,--,21348
AIL,--,920,AIL,--,920
AKJCL,--,13122,AKJCL,--,13122
AKPL,--,34686,AKPL,--,34686
ALBSL,--,427,ALBSL,--,427
ALICL,--,30965,ALICL,--,30965
API,--,45507,API,--,45507
BARUN,--,3651,BARUN,--,3651
BBC,--,80,BBC,--,80
BFC,--,3755,BFC,--,3755
BFCPO,--,33954,BFCPO,--,33954
BHL,--,40,BHL,--,40
BNHC,--,550,BNHC,--,550
BOKL,--,5299,BOKL,--,5299
BPCL,--,2015,BPCL,--,2015
CBBL,--,5022,CBBL,--,5022
CBL,--,11573,CBL,--,11573
CCBL,--,8198,CCBL,--,8198
CFCL,--,2992,CFCL,--,2992
CGH,--,965,CGH,--,965
CHCL,--,4802,CHCL,--,4802
CHDC,--,4152,CHDC,--,4152
CHL,--,1427,CHL,--,1427
CIT,--,3940,CIT,--,3940
CLBSL,--,2887,CLBSL,--,2887
CMF1,--,200,CMF1,--,200
CMF2,--,4200,CMF2,--,4200
CORBL,--,9690,CORBL,--,9690
CZBIL,--,4907,CZBIL,--,4907
DDBL,--,1925,DDBL,--,1925
DHPL,--,1326,DHPL,--,1326
EBL,--,5535,EBL,--,5535
EBLCP,--,4,EBLCP,--,4
EDBL,--,1879,EDBL,--,1879
ENL,--,440,ENL,--,440
FMDBL,--,1931,FMDBL,--,1931
FOWAD,--,1814,FOWAD,--,1814
GBBL,--,8966,GBBL,--,8966
GBIME,--,12789,GBIME,--,12789
GBLBS,--,775,GBLBS,--,775
GFCL,--,1738,GFCL,--,1738
GHL,--,7365,GHL,--,7365
GIC,--,808,GIC,--,808
GILB,--,466,GILB,--,466
GIMES1,--,36126,GIMES1,--,36126
GLBSL,--,82,GLBSL,--,82
GLH,--,750,GLH,--,750
GMFBS,--,182,GMFBS,--,182
GMFIL,--,3874,GMFIL,--,3874
GRDBL,--,2430,GRDBL,--,2430
GUFL,--,4040,GUFL,--,4040
GVL,--,3350,GVL,--,3350
HDHPC,--,6482,HDHPC,--,6482
HDL,--,9847,HDL,--,9847
