BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,13,110,ACLBSL,11,23.0
ACLBSL,14,10,ACLBSL,20,130.0
ACLBSL,16,161,ACLBSL,25,46.0
ACLBSL,18,10,ACLBSL,32,10.0
ACLBSL,19,395,ACLBSL,34,170.0
ACLBSL,22,64,ACLBSL,36,10.0
ACLBSL,32,50,ACLBSL,37,97.0
ACLBSL,34,47,ACLBSL,38,57.0
ACLBSL,36,61,ACLBSL,40,50.0
ACLBSL,38,50,ACLBSL,41,23.0
ACLBSL,42,83,ACLBSL,42,24.0
ACLBSL,43,10,ACLBSL,43,151.0
ACLBSL,45,60,ACLBSL,47,120.0
ACLBSL,49,120,ACLBSL,49,239.0
ACLBSL,5,10,ACLBSL,5,20.0
ACLBSL,58,50,ACLBSL,51,10.0
ACLBSL,6,10,ACLBSL,57,90.0
ACLBSL,8,21,ACLBSL,6,11.0
ADBL,1,250,ACLBSL,7,20.0
ADBL,11,10,ACLBSL,8,21.0
ADBL,13,15,ADBL,1,45.0
ADBL,14,300,ADBL,13,122.0
ADBL,16,80,ADBL,14,900.0
ADBL,17,300,ADBL,16,243.0
ADBL,18,200,ADBL,17,500.0
ADBL,19,10,ADBL,18,110.0
ADBL,21,94,ADBL,19,111.0
ADBL,22,750,ADBL,21,634.0
ADBL,26,112,ADBL,25,51.0
ADBL,28,50,ADBL,26,290.0
ADBL,29,310,ADBL,28,1661.0
ADBL,3,100,ADBL,29,361.0
ADBL,32,555,ADBL,32,30.0
ADBL,33,90,ADBL,34,520.0
ADBL,34,1129,ADBL,35,101.0
ADBL,35,430,ADBL,36,262.0
ADBL,36,1542,ADBL,38,55.0
ADBL,38,1865,ADBL,40,628.0
ADBL,39,19,ADBL,41,401.0
ADBL,4,110,ADBL,42,350.0
ADBL,40,275,ADBL,43,225.0
ADBL,41,466,ADBL,44,1085.0
ADBL,42,1360,ADBL,45,1397.0
ADBL,43,500,ADBL,46,61.0
ADBL,44,352,ADBL,47,30.0
ADBL,45,138,ADBL,49,93.0
ADBL,46,35,ADBL,5,289.0
ADBL,47,300,ADBL,50,1031.0
ADBL,48,423,ADBL,51,500.0
ADBL,49,376,ADBL,54,1768.0
ADBL,5,100,ADBL,55,600.0
ADBL,51,1469,ADBL,56,25.0
ADBL,53,571,ADBL,57,334.0
ADBL,54,30,ADBL,58,602.0
ADBL,56,336,ADBL,59,100.0
ADBL,57,340,ADBL,6,548.0
ADBL,58,1299,ADBL,7,430.0
ADBL,59,80,ADBL,8,562.0
ADBL,6,154,AHPC,1,2669.0
ADBL,7,130,AHPC,10,2000.0
AHPC,1,5567,AHPC,11,560.0
AHPC,10,1580,AHPC,13,2930.0
AHPC,11,630,AHPC,14,6125.0
