0,1,2,3,4,5
MHNL,50,21,49,,
MHNL,50,42,100,,
NRN,16,34,50,,
LBBL,57,34,152,,
JFL,57,45,20,,
NICA,45,28,596,,
GMFIL,57,26,30,,
HDL,13,57,20,,
CIT,58,41,10,,
SFCL,41,39,10,,
PFL,58,26,184,,
NYADI,45,58,10,,
PFL,58,17,40,,
PFL,58,1,26,,
SHPC,41,56,309,,
SANIMA,58,58,27,,
SHPC,38,56,11,,
HPPL,21,59,30,,
HPPL,19,59,50,,
NHPC,51,38,315,,
SADBL,16,1,25,,
HDHPC,16,11,324,,
SADBL,16,6,181,,
AHPC,16,45,300,,
TRH,6,29,60,,
PRVU,29,11,500,,
SLBSL,45,29,10,,
NCCB,55,29,20,,
MLBBL,45,28,50,,
MLBBL,45,11,14,,
MLBBL,45,50,30,,
MLBBL,45,6,30,,
MLBBL,45,22,40,,
DDBL,45,57,10,,
RMDC,17,17,40,,
RMDC,17,18,100,,
RMDC,17,26,40,,
RMDC,17,41,20,,
API,42,45,25,,
NUBL,45,57,38,,
SANIMA,17,48,100,,
MBJC,41,59,30,,
NHPC,34,38,100,,
NHPC,33,38,250,,
NHPC,45,38,100,,
HIDCL,38,45,100,,
NHPC,36,38,200,,
NHPC,41,38,35,,
JFL,38,5,100,,
TPC,38,56,10,,
KBL,38,57,500,,
PMHPL,29,38,10,,
PLIC,38,45,65,,
RLFL,35,37,300,,
SICL,35,39,10,,
PLIC,51,26,100,,
ALICL,45,51,80,,
SHEL,16,48,20,,
SADBL,16,49,294,,
SADBL,16,55,200,,
SADBL,16,48,150,,
SADBL,16,56,50,,
SADBL,16,5,100,,
HDHPC,16,35,176,,
HDHPC,19,32,100,,
HDHPC,19,6,25,,
HDHPC,19,36,700,,
HDHPC,19,5,40,,
HDHPC,19,29,759,,
HURJA,45,39,10,,
AHPC,58,45,174,,
RADHI,57,45,394,,
RADHI,49,45,10,,
GFCL,56,22,10,,
RADHI,48,45,225,,
RADHI,6,45,171,,
JFL,41,41,99,,
RADHI,45,45,100,,
RADHI,48,45,100,,
MBJC,22,58,10,,
ICFC,58,21,10,,
NTC,58,7,45,,
STC,58,35,10,,
NTC,58,1,50,,
JOSHI,58,49,100,,
API,40,3,50,,
NIL,3,29,68,,
NIL,3,50,85,,
GLH,21,39,10,,
SMFDB,14,1,130,,
HIDCL,58,7,341,,
HIDCL,34,7,130,,
NBL,48,26,50,,
JOSHI,20,49,120,,
NBL,58,26,30,,
API,49,3,110,,
SAHAS,38,50,160,,
SAHAS,49,50,10,,
SAHAS,14,50,130,,
BOKL,18,21,120,,
BOKL,18,57,10,,
BOKL,18,52,40,,
BOKL,18,4,50,,
BOKL,18,52,480,,
ICFC,34,21,100,,
AHPC,34,45,350,,
CBBL,34,49,18,,
CCBL,8,57,600,,
SAPDBL,32,47,10,,
KBL,34,57,10,,
KBL,57,57,36,,
SAPDBL,57,47,10,,
