Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,10,165,ACLBSL,1,650.0
ACLBSL,11,150,ACLBSL,11,100.0
ACLBSL,14,100,ACLBSL,14,50.0
ACLBSL,17,100,ACLBSL,16,60.0
ACLBSL,19,27,ACLBSL,17,50.0
ACLBSL,21,410,ACLBSL,21,10.0
ACLBSL,3,50,ACLBSL,33,700.0
ACLBSL,32,100,ACLBSL,34,10.0
ACLBSL,33,10,ACLBSL,35,967.0
ACLBSL,38,1000,ACLBSL,37,300.0
ACLBSL,39,200,ACLBSL,38,120.0
ACLBSL,43,50,ACLBSL,39,40.0
ACLBSL,45,870,ACLBSL,4,10.0
ACLBSL,47,130,ACLBSL,41,20.0
ACLBSL,48,100,ACLBSL,42,227.0
ACLBSL,50,65,ACLBSL,45,30.0
ACLBSL,51,40,ACLBSL,47,60.0
ACLBSL,52,200,ACLBSL,48,23.0
ACLBSL,56,40,ACLBSL,50,210.0
ACLBSL,57,130,ACLBSL,51,150.0
ACLBSL,58,120,ACLBSL,52,10.0
ADBL,1,85,ACLBSL,53,110.0
ADBL,10,37,ACLBSL,56,50.0
ADBL,13,100,ACLBSL,57,50.0
ADBL,14,950,ACLBSL,8,50.0
ADBL,16,907,ADBL,1,28.0
ADBL,17,30,ADBL,14,3855.0
ADBL,18,50,ADBL,16,456.0
ADBL,19,509,ADBL,17,101.0
ADBL,21,114,ADBL,20,60.0
ADBL,22,303,ADBL,21,200.0
ADBL,25,100,ADBL,22,40.0
ADBL,26,400,ADBL,26,107.0
ADBL,28,89,ADBL,32,12.0
ADBL,29,555,ADBL,34,147.0
ADBL,32,160,ADBL,35,25.0
ADBL,33,400,ADBL,38,150.0
ADBL,34,965,ADBL,39,95.0
ADBL,35,70,ADBL,4,2106.0
ADBL,38,185,ADBL,40,100.0
ADBL,4,100,ADBL,45,400.0
ADBL,40,20,ADBL,46,10.0
ADBL,41,360,ADBL,47,15.0
ADBL,42,490,ADBL,48,150.0
ADBL,44,95,ADBL,49,50.0
ADBL,45,1250,ADBL,52,60.0
ADBL,46,430,ADBL,54,3000.0
ADBL,47,120,ADBL,56,100.0
ADBL,48,200,ADBL,57,175.0
ADBL,49,105,ADBL,58,440.0
ADBL,5,100,ADBL,6,100.0
ADBL,50,348,ADBL,8,280.0
ADBL,51,535,ADBLD83,49,125.0
ADBL,53,65,AHPC,14,1145.0
ADBL,57,1140,AHPC,16,1626.0
ADBL,58,275,AHPC,19,200.0
ADBL,59,100,AHPC,20,2278.0
ADBL,6,510,AHPC,21,500.0
ADBL,8,10,AHPC,25,1000.0
ADBLD83,6,125,AHPC,26,700.0
AHPC,11,220,AHPC,28,2880.0
AHPC,16,300,AHPC,29,70.0
AHPC,17,210,AHPC,32,200.0
AHPC,19,1210,AHPC,33,800.0
AHPC,21,1859,AHPC,34,6379.0
AHPC,22,30,AHPC,35,245.0
AHPC,25,443,AHPC,36,400.0
AHPC,26,1118,AHPC,37,1100.0
AHPC,3,100,AHPC,38,100.0
AHPC,32,1100,AHPC,39,450.0
AHPC,33,235,AHPC,4,25.0
AHPC,34,857,AHPC,40,510.0
AHPC,35,1230,AHPC,41,537.0
AHPC,36,1100,AHPC,43,300.0
AHPC,37,1300,AHPC,45,450.0
AHPC,38,750,AHPC,47,1900.0
AHPC,39,10411,AHPC,48,538.0
AHPC,4,1095,AHPC,49,10008.0
AHPC,40,1200,AHPC,5,200.0
AHPC,41,760,AHPC,50,866.0
AHPC,42,1000,AHPC,51,3200.0
AHPC,43,550,AHPC,52,1075.0
AHPC,44,355,AHPC,53,60.0
AHPC,45,3430,AHPC,55,826.0
AHPC,46,50,AHPC,56,400.0
AHPC,47,211,AHPC,57,349.0
AHPC,48,1000,AHPC,58,4296.0
AHPC,49,1830,AHPC,6,600.0
AHPC,5,1594,AHPC,7,101.0
AHPC,50,150,AIL,1,330.0
AHPC,51,150,AIL,13,400.0
AHPC,52,80,AIL,19,20.0
AHPC,53,500,AIL,20,30.0
AHPC,55,2080,AIL,22,50.0
AHPC,57,680,AIL,25,193.0
AHPC,58,573,AIL,28,10.0
AHPC,59,5310,AIL,29,50.0
AHPC,6,1000,AIL,33,100.0
AHPC,7,243,AIL,34,10.0
AIL,19,20,AIL,36,505.0
AIL,22,100,AIL,38,110.0
AIL,26,100,AIL,4,10.0
AIL,28,180,AIL,41,537.0
AIL,32,150,AIL,44,20.0
AIL,33,120,AIL,45,130.0
AIL,35,110,AIL,47,30.0
AIL,40,10,AIL,49,120.0
AIL,41,90,AIL,50,10.0
AIL,48,100,AIL,51,10.0
AIL,49,510,AIL,53,10.0
AIL,50,300,AIL,57,150.0
AIL,53,360,AKJCL,1,190.0
AIL,55,60,AKJCL,14,10.0
AIL,57,460,AKJCL,28,70.0
AIL,58,75,AKJCL,29,100.0
AIL,6,70,AKJCL,34,60.0
AIL,7,20,AKJCL,38,35.0
AKJCL,14,10,AKJCL,4,5004.0
AKJCL,16,15,AKJCL,47,90.0
AKJCL,17,80,AKJCL,49,240.0
AKJCL,20,110,AKJCL,5,50.0
AKJCL,22,655,AKJCL,50,100.0
AKJCL,3,100,AKJCL,54,10.0
AKJCL,32,280,AKJCL,58,10.0
AKJCL,33,50,AKPL,1,1010.0
AKJCL,34,10,AKPL,10,300.0
AKJCL,35,100,AKPL,13,450.0
AKJCL,36,500,AKPL,14,200.0
AKJCL,39,80,AKPL,16,85.0
AKJCL,41,1100,AKPL,17,920.0
AKJCL,42,1690,AKPL,19,380.0
AKJCL,48,15,AKPL,21,292.0
AKJCL,50,30,AKPL,22,36.0
AKJCL,51,100,AKPL,25,1000.0
AKJCL,53,600,AKPL,28,360.0
AKJCL,54,100,AKPL,29,750.0
AKJCL,57,70,AKPL,32,1240.0
AKJCL,58,224,AKPL,33,1600.0
AKJCL,6,50,AKPL,34,845.0
AKPL,1,690,AKPL,35,550.0
AKPL,13,330,AKPL,36,4599.0
AKPL,14,500,AKPL,38,908.0
AKPL,16,420,AKPL,39,300.0
AKPL,17,540,AKPL,40,900.0
AKPL,18,248,AKPL,41,750.0
AKPL,19,2100,AKPL,42,1110.0
AKPL,21,2032,AKPL,43,275.0
AKPL,22,214,AKPL,44,1367.0
AKPL,25,370,AKPL,45,2053.0
AKPL,26,320,AKPL,46,50.0
AKPL,28,300,AKPL,47,1350.0
AKPL,29,550,AKPL,48,850.0
AKPL,3,300,AKPL,49,4348.0
AKPL,32,956,AKPL,5,510.0
AKPL,33,900,AKPL,50,250.0
AKPL,34,330,AKPL,51,580.0
AKPL,35,452,AKPL,52,1633.0
AKPL,36,1156,AKPL,54,2600.0
AKPL,38,2613,AKPL,55,1610.0
AKPL,4,900,AKPL,56,500.0
AKPL,41,870,AKPL,57,2057.0
AKPL,42,1470,AKPL,58,435.0
AKPL,43,680,AKPL,59,197.0
AKPL,44,100,AKPL,6,800.0
AKPL,45,1388,AKPL,7,100.0
AKPL,46,2650,AKPL,8,50.0
AKPL,47,625,ALBSL,10,72.0
AKPL,48,340,ALBSL,14,2447.0
AKPL,49,3180,ALBSL,17,210.0
AKPL,5,3200,ALBSL,19,52.0
AKPL,51,750,ALBSL,22,42.0
AKPL,52,1199,ALBSL,25,12.0
