0,1,2,3,4,5
NIFRA,45,49,50,,
MKJC,22,48,10,,
NIFRA,45,56,60,,
SDLBSL,35,45,70,,
SDLBSL,14,45,50,,
SABSL,49,52,27,,
SHIVM,57,35,150,,
SHIVM,35,35,50,,
ALBSL,19,14,10,,
SHIVM,1,35,20,,
SHIVM,57,35,50,,
SHIVM,58,35,20,,
SHIVM,37,35,50,,
FOWAD,19,39,50,,
SHIVM,29,35,200,,
FOWAD,19,55,13,,
SHIVM,57,35,20,,
RSDC,34,3,10,,
SHIVM,58,35,50,,
GRDBL,34,49,10,,
SHIVM,57,35,50,,
CZBIL,22,20,100,,
CHDC,34,3,10,,
MLBSL,38,14,100,,
MLBS,22,34,10,,
MKJC,28,16,10,,
MKJC,28,42,10,,
MKJC,28,39,10,,
MKJC,28,57,30,,
MKJC,28,48,10,,
MKJC,28,16,10,,
MKJC,28,35,10,,
MKJC,38,48,10,,
NIFRA,45,47,30,,
NIFRA,45,22,60,,
MKJC,22,48,10,,
HIDCL,49,42,47,,
SHIVM,25,35,10,,
SHIVM,38,35,40,,
SHIVM,57,35,30,,
GILB,19,43,86,,
SHIVM,34,35,246,,
SHIVM,34,35,54,,
GILB,3,43,14,,
SHIVM,58,35,15,,
JSLBB,25,17,10,,
SHIVM,34,35,40,,
SHIVM,58,35,20,,
SHIVM,49,35,100,,
GBLBS,14,28,30,,
SHIVM,52,35,21,,
GBLBS,59,28,50,,
SHIVM,52,49,29,,
GBLBS,4,55,100,,
SHIVM,58,49,100,,
SHIVM,49,49,150,,
SLBBL,14,25,60,,
SHIVM,58,49,20,,
SHIVM,16,49,300,,
SHIVM,58,49,10,,
MFIL,49,42,20,,
SHIVM,57,49,50,,
SHIVM,48,49,50,,
SHIVM,19,49,50,,
SADBL,38,28,10,,
SHIVM,52,49,18,,
KSBBL,33,45,100,,
KRBL,58,26,20,,
KRBL,33,26,100,,
JBBL,57,55,200,,
MDB,49,28,50,,
NBL,17,54,25,,
ADBL,34,22,18,,
ICFC,42,8,70,,
ICFC,42,45,30,,
PCBL,34,35,100,,
SHEL,54,45,120,,
PCBL,11,35,200,,
ICFC,21,45,20,,
CZBIL,38,20,55,,
UMRH,39,57,10,,
CZBIL,14,20,100,,
SWBBL,14,17,30,,
CZBIL,58,20,99,,
SWBBL,14,52,20,,
CZBIL,21,20,100,,
SWBBL,53,52,14,,
UPCL,34,3,10,,
SWBBL,53,49,36,,
GHL,50,55,10,,
SWBBL,56,49,30,,
HDL,14,33,30,,
KPCL,49,4,200,,
SWBBL,58,49,10,,
GMFIL,28,45,10,,
GMFIL,34,45,10,,
GFCL,29,35,30,,
RRHP,43,58,50,,
GFCL,45,35,10,,
BFC,25,55,100,,
AKPL,11,28,400,,
AKPL,38,28,50,,
CBBL,50,45,200,,
CBBL,50,45,100,,
SANIMA,58,36,100,,
CBBL,42,45,100,,
SANIMA,35,36,100,,
CBBL,21,45,50,,
NGPL,34,55,10,,
SANIMA,49,36,50,,
CBBL,44,45,180,,
CBBL,44,35,10,,
CBBL,44,35,10,,
API,55,28,50,,
API,55,21,30,,
MBL,54,55,100,,
API,55,55,400,,
NUBL,58,56,15,,
MBL,59,55,100,,
NUBL,17,56,15,,
NUBL,17,33,35,,
RHPC,34,33,10,,
NUBL,58,33,20,,
NUBL,58,33,15,,
NBB,21,49,50,,
JBLB,17,39,10,,
AHPC,34,28,10,,
NUBL,59,33,30,,
NBB,57,49,10,,
NUBL,59,33,200,,
NBB,11,49,127,,
JBLB,17,52,10,,
NUBL,59,33,70,,
NBB,11,54,73,,
JBLB,35,52,10,,
NUBL,49,33,30,,
NIFRA,45,49,50,,
MKJC,22,48,10,,
NIFRA,45,56,60,,
SDLBSL,35,45,70,,
SDLBSL,14,45,50,,
SABSL,49,52,27,,
SHIVM,57,35,150,,
SHIVM,35,35,50,,
ALBSL,19,14,10,,
SHIVM,1,35,20,,
SHIVM,57,35,50,,
SHIVM,58,35,20,,
SHIVM,37,35,50,,
FOWAD,19,39,50,,
SHIVM,29,35,200,,
FOWAD,19,55,13,,
SHIVM,57,35,20,,
RSDC,34,3,10,,
SHIVM,58,35,50,,
GRDBL,34,49,10,,
SHIVM,57,35,50,,
CZBIL,22,20,100,,
CHDC,34,3,10,,
MLBSL,38,14,100,,
MLBS,22,34,10,,
MKJC,28,16,10,,
MKJC,28,42,10,,
MKJC,28,39,10,,
MKJC,28,57,30,,
MKJC,28,48,10,,
MKJC,28,16,10,,
MKJC,28,35,10,,
MKJC,38,48,10,,
NIFRA,45,47,30,,
NIFRA,45,22,60,,
MKJC,22,48,10,,
HIDCL,49,42,47,,
SHIVM,25,35,10,,
SHIVM,38,35,40,,
SHIVM,57,35,30,,
GILB,19,43,86,,
SHIVM,34,35,246,,
SHIVM,34,35,54,,
GILB,3,43,14,,
SHIVM,58,35,15,,
JSLBB,25,17,10,,
SHIVM,34,35,40,,
SHIVM,58,35,20,,
SHIVM,49,35,100,,
GBLBS,14,28,30,,
SHIVM,52,35,21,,
GBLBS,59,28,50,,
SHIVM,52,49,29,,
GBLBS,4,55,100,,
SHIVM,58,49,100,,
SHIVM,49,49,150,,
SLBBL,14,25,60,,
SHIVM,58,49,20,,
SHIVM,16,49,300,,
SHIVM,58,49,10,,
MFIL,49,42,20,,
SHIVM,57,49,50,,
SHIVM,48,49,50,,
SHIVM,19,49,50,,
SADBL,38,28,10,,
SHIVM,52,49,18,,
KSBBL,33,45,100,,
KRBL,58,26,20,,
KRBL,33,26,100,,
JBBL,57,55,200,,
MDB,49,28,50,,
NBL,17,54,25,,
ADBL,34,22,18,,
ICFC,42,8,70,,
ICFC,42,45,30,,
PCBL,34,35,100,,
SHEL,54,45,120,,
PCBL,11,35,200,,
ICFC,21,45,20,,
CZBIL,38,20,55,,
UMRH,39,57,10,,
CZBIL,14,20,100,,
SWBBL,14,17,30,,
CZBIL,58,20,99,,
SWBBL,14,52,20,,
CZBIL,21,20,100,,
SWBBL,53,52,14,,
UPCL,34,3,10,,
SWBBL,53,49,36,,
GHL,50,55,10,,
SWBBL,56,49,30,,
HDL,14,33,30,,
KPCL,49,4,200,,
SWBBL,58,49,10,,
GMFIL,28,45,10,,
GMFIL,34,45,10,,
GFCL,29,35,30,,
RRHP,43,58,50,,
GFCL,45,35,10,,
BFC,25,55,100,,
AKPL,11,28,400,,
AKPL,38,28,50,,
CBBL,50,45,200,,
CBBL,50,45,100,,
SANIMA,58,36,100,,
CBBL,42,45,100,,
SANIMA,35,36,100,,
CBBL,21,45,50,,
NGPL,34,55,10,,
SANIMA,49,36,50,,
CBBL,44,45,180,,
CBBL,44,35,10,,
CBBL,44,35,10,,
API,55,28,50,,
API,55,21,30,,
MBL,54,55,100,,
API,55,55,400,,
NUBL,58,56,15,,
MBL,59,55,100,,
NUBL,17,56,15,,
NUBL,17,33,35,,
RHPC,34,33,10,,
NUBL,58,33,20,,
NUBL,58,33,15,,
NBB,21,49,50,,
JBLB,17,39,10,,
AHPC,34,28,10,,
NUBL,59,33,30,,
NBB,57,49,10,,
NUBL,59,33,200,,
NBB,11,49,127,,
JBLB,17,52,10,,
NUBL,59,33,70,,
NBB,11,54,73,,
JBLB,35,52,10,,
NUBL,49,33,30,,
