Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,35,10.0,ACLBSL,16,10
ACLBSL,42,420.0,ACLBSL,25,150
ACLBSL,45,20.0,ACLBSL,36,10
ACLBSL,49,50.0,ACLBSL,38,30
ACLBSL,57,89.0,ACLBSL,39,10
ADBL,1,420.0,ACLBSL,41,10
ADBL,11,314.0,ACLBSL,49,40
ADBL,13,68.0,ACLBSL,52,10
ADBL,14,125.0,ACLBSL,53,10
ADBL,17,720.0,ACLBSL,57,69
ADBL,19,1.0,ACLBSL,58,10
ADBL,20,500.0,ACLBSL,7,230
ADBL,22,130.0,ADBL,1,20
ADBL,28,8021.0,ADBL,14,10
ADBL,29,40.0,ADBL,16,150
ADBL,32,110.0,ADBL,17,550
ADBL,34,704.0,ADBL,19,1
ADBL,35,116.0,ADBL,20,336
ADBL,36,100.0,ADBL,22,350
ADBL,38,50.0,ADBL,26,14
ADBL,4,200.0,ADBL,29,196
ADBL,40,100.0,ADBL,3,400
ADBL,41,100.0,ADBL,32,1547
ADBL,42,10.0,ADBL,33,201
ADBL,43,195.0,ADBL,34,131
ADBL,44,200.0,ADBL,35,23
ADBL,45,150.0,ADBL,38,2688
ADBL,47,60.0,ADBL,39,4598
ADBL,48,100.0,ADBL,4,240
ADBL,49,2731.0,ADBL,40,100
ADBL,51,310.0,ADBL,41,165
ADBL,52,64.0,ADBL,42,240
ADBL,53,300.0,ADBL,43,80
ADBL,54,20.0,ADBL,44,110
ADBL,56,100.0,ADBL,45,165
ADBL,57,153.0,ADBL,47,2065
ADBL,58,155.0,ADBL,48,240
ADBL,59,210.0,ADBL,49,51
ADBL,6,30.0,ADBL,5,50
ADBL,7,383.0,ADBL,52,151
ADBL,D01,1100.0,ADBL,53,161
AHPC,1,433.0,ADBL,54,2009
AHPC,11,200.0,ADBL,56,80
AHPC,13,190.0,ADBL,58,442
AHPC,14,400.0,ADBL,6,226
AHPC,16,4282.0,ADBL,7,300
AHPC,17,3770.0,AHPC,1,350
AHPC,18,910.0,AHPC,10,1164
AHPC,19,119.0,AHPC,13,100
AHPC,21,524.0,AHPC,14,1295
AHPC,22,566.0,AHPC,16,1000
AHPC,25,1000.0,AHPC,17,1060
AHPC,26,4348.0,AHPC,18,1000
AHPC,28,4385.0,AHPC,19,130
AHPC,29,772.0,AHPC,20,200
AHPC,3,785.0,AHPC,21,2403
AHPC,32,500.0,AHPC,22,1769
AHPC,33,3415.0,AHPC,25,1500
AHPC,34,8000.0,AHPC,26,400
AHPC,35,1750.0,AHPC,28,1000
AHPC,36,995.0,AHPC,29,1500
AHPC,37,730.0,AHPC,3,4280
AHPC,38,3144.0,AHPC,32,4500
AHPC,39,2285.0,AHPC,33,5100
AHPC,4,57.0,AHPC,34,821
AHPC,40,2000.0,AHPC,35,3240
AHPC,41,450.0,AHPC,36,800
AHPC,42,4750.0,AHPC,37,780
AHPC,43,800.0,AHPC,38,4300
AHPC,44,100.0,AHPC,39,50
AHPC,45,1731.0,AHPC,4,2897
AHPC,47,250.0,AHPC,41,2937
AHPC,48,4500.0,AHPC,42,3490
AHPC,49,2864.0,AHPC,43,140
AHPC,5,1000.0,AHPC,44,350
AHPC,50,1791.0,AHPC,45,4745
AHPC,51,689.0,AHPC,46,779
AHPC,52,182.0,AHPC,47,2590
AHPC,54,470.0,AHPC,48,429
AHPC,55,350.0,AHPC,49,265
AHPC,56,900.0,AHPC,5,4690
AHPC,57,5030.0,AHPC,51,1652
AHPC,58,3497.0,AHPC,52,650
AHPC,59,1789.0,AHPC,53,2120
AHPC,6,712.0,AHPC,54,1200
AHPC,7,725.0,AHPC,55,1560
AIL,1,980.0,AHPC,56,30
AIL,16,95.0,AHPC,57,4850
AIL,18,100.0,AHPC,58,1024
AIL,26,110.0,AHPC,59,500
AIL,28,50.0,AHPC,6,2200
AIL,38,300.0,AHPC,8,300
AIL,39,50.0,AIL,1,30
AIL,4,30.0,AIL,13,50
AIL,41,240.0,AIL,14,10
AIL,42,100.0,AIL,17,10
AIL,43,60.0,AIL,21,30
AIL,44,50.0,AIL,22,10
AIL,49,93.0,AIL,25,10
AIL,58,90.0,AIL,26,10
AIL,6,100.0,AIL,28,620
AKJCL,1,1210.0,AIL,29,10
AKJCL,11,1100.0,AIL,3,10
AKJCL,14,1819.0,AIL,34,30
AKJCL,16,2658.0,AIL,35,10
AKJCL,17,387.0,AIL,36,10
AKJCL,19,1080.0,AIL,37,10
AKJCL,20,250.0,AIL,38,10
AKJCL,21,110.0,AIL,39,20
AKJCL,22,150.0,AIL,41,20
AKJCL,25,10.0,AIL,42,86
AKJCL,26,1400.0,AIL,44,417
AKJCL,28,5400.0,AIL,45,10
AKJCL,29,1160.0,AIL,47,10
AKJCL,3,2320.0,AIL,48,110
AKJCL,32,700.0,AIL,49,80
AKJCL,33,1030.0,AIL,51,10
AKJCL,34,580.0,AIL,52,10
AKJCL,35,2675.0,AIL,53,275
AKJCL,36,2410.0,AIL,54,30
AKJCL,37,50.0,AIL,55,10
AKJCL,38,1240.0,AIL,56,20
AKJCL,40,160.0,AIL,57,130
AKJCL,41,2880.0,AIL,58,110
AKJCL,42,5580.0,AIL,59,10
AKJCL,43,860.0,AIL,6,10
AKJCL,44,70.0,AIL,7,210
AKJCL,45,7210.0,AKJCL,1,1300
AKJCL,46,1390.0,AKJCL,10,60
AKJCL,47,5150.0,AKJCL,13,1340
AKJCL,48,724.0,AKJCL,14,1089
AKJCL,49,2180.0,AKJCL,16,500
AKJCL,5,50.0,AKJCL,17,430
AKJCL,50,400.0,AKJCL,18,440
AKJCL,51,1995.0,AKJCL,19,4668
AKJCL,52,402.0,AKJCL,20,300
AKJCL,53,430.0,AKJCL,21,2880
AKJCL,54,950.0,AKJCL,22,2146
AKJCL,55,200.0,AKJCL,25,500
AKJCL,56,2507.0,AKJCL,26,500
AKJCL,57,3754.0,AKJCL,28,3100
AKJCL,58,2438.0,AKJCL,29,9700
AKJCL,59,2931.0,AKJCL,32,3050
AKJCL,6,630.0,AKJCL,33,1114
AKJCL,7,110.0,AKJCL,34,3440
AKJCL,8,20.0,AKJCL,35,370
AKPL,1,893.0,AKJCL,36,600
AKPL,10,745.0,AKJCL,37,1470
AKPL,11,1603.0,AKJCL,38,760
AKPL,13,1685.0,AKJCL,39,50
AKPL,14,1678.0,AKJCL,4,410
AKPL,16,2201.0,AKJCL,40,100
AKPL,17,1057.0,AKJCL,41,4745
AKPL,18,2028.0,AKJCL,42,2240
AKPL,19,261.0,AKJCL,44,490
AKPL,20,300.0,AKJCL,45,2195
AKPL,21,810.0,AKJCL,46,1615
AKPL,22,20.0,AKJCL,47,1200
AKPL,25,100.0,AKJCL,48,4911
AKPL,26,1310.0,AKJCL,49,621
AKPL,28,4513.0,AKJCL,5,910
AKPL,29,466.0,AKJCL,50,2100
AKPL,3,4343.0,AKJCL,51,500
AKPL,32,1260.0,AKJCL,53,40
AKPL,33,940.0,AKJCL,54,600
AKPL,34,6563.0,AKJCL,55,110
AKPL,35,520.0,AKJCL,56,500
AKPL,36,1312.0,AKJCL,57,1805
AKPL,37,500.0,AKJCL,58,3054
AKPL,38,3865.0,AKJCL,6,1900
AKPL,39,13261.0,AKJCL,7,890
AKPL,4,4454.0,AKJCL,8,17
AKPL,41,2085.0,AKPL,10,100
AKPL,42,976.0,AKPL,11,567
AKPL,43,1103.0,AKPL,13,700
AKPL,44,250.0,AKPL,14,1957
AKPL,45,2341.0,AKPL,16,960
AKPL,46,725.0,AKPL,17,547
AKPL,47,630.0,AKPL,18,1518
AKPL,48,1060.0,AKPL,19,385
AKPL,49,1190.0,AKPL,20,1262
AKPL,5,900.0,AKPL,21,254
AKPL,50,1924.0,AKPL,22,3442
AKPL,51,630.0,AKPL,25,1619
AKPL,52,50.0,AKPL,26,586
AKPL,53,33.0,AKPL,28,53
AKPL,54,572.0,AKPL,29,110
AKPL,55,1014.0,AKPL,32,9196
AKPL,56,638.0,AKPL,33,3255
AKPL,57,1417.0,AKPL,34,4425
AKPL,58,6907.0,AKPL,35,2560
AKPL,59,500.0,AKPL,36,1827
AKPL,6,2619.0,AKPL,37,217
AKPL,7,165.0,AKPL,38,2205
AKPL,8,250.0,AKPL,39,270
ALBSL,10,44.0,AKPL,4,671
ALBSL,25,10.0,AKPL,40,1587
ALBSL,34,10.0,AKPL,41,4010
ALBSL,44,12.0,AKPL,42,3615
ALBSL,47,24.0,AKPL,43,2187
ALBSL,49,112.0,AKPL,44,1203
ALBSL,58,10.0,AKPL,45,5644
ALBSL,8,22.0,AKPL,46,1441
ALICL,1,50.0,AKPL,47,2644
ALICL,10,310.0,AKPL,48,1818
ALICL,11,150.0,AKPL,49,2151
ALICL,14,520.0,AKPL,5,347
