0,1,2,3,4,5
SMFBS,38,33,31,,
MLBSL,36,25,10,,
MLBSL,58,49,10,,
MLBSL,57,51,10,,
NIFRA,14,49,10,,
RSDC,34,14,10,,
MERO,46,42,50,,
GIC,21,14,10,,
JBBL,22,49,10,,
CBL,6,55,10,,
KPCL,34,4,10,,
NICA,44,35,200,,
NICA,44,35,100,,
MLBL,21,5,15,,
NICA,33,35,200,,
AHPC,34,4,10,,
TPC,13,22,10,,
TPC,13,21,10,,
EDBL,34,55,10,,
NBB,33,45,350,,
NBB,33,20,150,,
NBB,19,33,500,,
NBB,57,33,500,,
SAHAS,26,49,10,,
SIFC,38,58,50,,
NBB,57,33,500,,
SLI,42,29,10,,
NBB,57,33,500,,
NBB,57,16,500,,
NHPC,52,5,10,,
SMFBS,38,33,31,,
MLBSL,36,25,10,,
MLBSL,58,49,10,,
MLBSL,57,51,10,,
NIFRA,14,49,10,,
RSDC,34,14,10,,
MERO,46,42,50,,
GIC,21,14,10,,
JBBL,22,49,10,,
CBL,6,55,10,,
KPCL,34,4,10,,
NICA,44,35,200,,
NICA,44,35,100,,
MLBL,21,5,15,,
NICA,33,35,200,,
AHPC,34,4,10,,
TPC,13,22,10,,
TPC,13,21,10,,
EDBL,34,55,10,,
NBB,33,45,350,,
NBB,33,20,150,,
NBB,19,33,500,,
NBB,57,33,500,,
SAHAS,26,49,10,,
SIFC,38,58,50,,
NBB,57,33,500,,
SLI,42,29,10,,
NBB,57,33,500,,
NBB,57,16,500,,
NHPC,52,5,10,,
