Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,17,140.0,ACLBSL,16,40
ACLBSL,21,20.0,ACLBSL,21,13
ACLBSL,22,31.0,ACLBSL,22,48
ACLBSL,25,30.0,ACLBSL,29,10
ACLBSL,41,10.0,ACLBSL,32,20
ACLBSL,45,70.0,ACLBSL,33,10
ACLBSL,51,50.0,ACLBSL,34,10
ACLBSL,55,110.0,ACLBSL,35,20
ADBL,1,1240.0,ACLBSL,39,10
ADBL,10,1648.0,ACLBSL,4,10
ADBL,11,453.0,ACLBSL,41,70
ADBL,13,570.0,ACLBSL,47,150
ADBL,14,2351.0,ACLBSL,48,10
ADBL,16,295.0,ACLBSL,49,30
ADBL,17,215.0,ACLBSL,53,10
ADBL,19,540.0,ADBL,1,150
ADBL,21,325.0,ADBL,11,110
ADBL,22,1903.0,ADBL,13,70
ADBL,25,470.0,ADBL,14,600
ADBL,26,600.0,ADBL,16,400
ADBL,28,267.0,ADBL,17,3030
ADBL,29,1370.0,ADBL,19,500
ADBL,3,510.0,ADBL,20,75
ADBL,32,2120.0,ADBL,21,191
ADBL,33,713.0,ADBL,22,150
ADBL,34,1234.0,ADBL,26,990
ADBL,35,175.0,ADBL,32,180
ADBL,36,600.0,ADBL,33,1650
ADBL,37,616.0,ADBL,34,740
ADBL,38,473.0,ADBL,35,770
ADBL,39,20.0,ADBL,36,50
ADBL,4,200.0,ADBL,37,150
ADBL,41,693.0,ADBL,38,1910
ADBL,42,1558.0,ADBL,39,284
ADBL,44,552.0,ADBL,4,1695
ADBL,45,978.0,ADBL,40,475
ADBL,46,70.0,ADBL,41,729
ADBL,48,75.0,ADBL,42,480
ADBL,49,1892.0,ADBL,43,195
ADBL,5,90.0,ADBL,44,508
ADBL,50,5334.0,ADBL,45,1628
ADBL,51,190.0,ADBL,48,125
ADBL,52,880.0,ADBL,49,11347
ADBL,53,132.0,ADBL,51,2070
ADBL,54,6034.0,ADBL,52,549
ADBL,55,185.0,ADBL,53,733
ADBL,56,176.0,ADBL,54,560
ADBL,57,1360.0,ADBL,56,350
ADBL,58,1133.0,ADBL,57,1489
ADBL,59,415.0,ADBL,58,989
ADBL,6,305.0,ADBL,59,2150
ADBL,7,300.0,ADBL,6,1500
ADBL,8,12.0,ADBL,7,1600
AHPC,1,4005.0,ADBL,8,100
AHPC,10,210.0,AHPC,1,6160
AHPC,11,446.0,AHPC,10,800
AHPC,13,1042.0,AHPC,11,344
AHPC,14,2996.0,AHPC,13,2730
AHPC,16,1354.0,AHPC,14,4584
AHPC,17,4610.0,AHPC,16,1760
AHPC,18,500.0,AHPC,17,3150
AHPC,19,2235.0,AHPC,18,1931
AHPC,20,5600.0,AHPC,19,3512
AHPC,21,2602.0,AHPC,20,4030
AHPC,22,526.0,AHPC,21,4169
AHPC,25,8410.0,AHPC,22,1705
AHPC,26,3260.0,AHPC,25,12465
AHPC,28,4100.0,AHPC,26,3115
AHPC,29,250.0,AHPC,28,5635
AHPC,3,3700.0,AHPC,29,100
AHPC,32,13489.0,AHPC,3,2016
AHPC,33,925.0,AHPC,32,4900
AHPC,34,15750.0,AHPC,33,4158
AHPC,35,1524.0,AHPC,34,2489
AHPC,36,3950.0,AHPC,35,7303
AHPC,38,8280.0,AHPC,36,1919
AHPC,39,5100.0,AHPC,37,2750
AHPC,4,1000.0,AHPC,38,5420
AHPC,40,600.0,AHPC,39,3180
AHPC,41,2084.0,AHPC,4,754
AHPC,42,16139.0,AHPC,40,1978
AHPC,43,1100.0,AHPC,41,5094
AHPC,44,4060.0,AHPC,42,3825
AHPC,45,11074.0,AHPC,43,2582
AHPC,46,1500.0,AHPC,44,962
AHPC,47,3235.0,AHPC,45,11162
AHPC,48,2380.0,AHPC,46,400
AHPC,49,16317.0,AHPC,47,5810
AHPC,5,3300.0,AHPC,48,2598
AHPC,50,2313.0,AHPC,49,15984
AHPC,51,1365.0,AHPC,5,5965
AHPC,52,2169.0,AHPC,50,2870
AHPC,53,3070.0,AHPC,51,1809
AHPC,54,670.0,AHPC,52,6250
AHPC,55,10.0,AHPC,53,11049
AHPC,56,610.0,AHPC,54,1640
AHPC,57,9699.0,AHPC,55,4105
AHPC,58,6662.0,AHPC,56,6373
AHPC,59,6838.0,AHPC,57,3819
AHPC,6,8039.0,AHPC,58,13014
AHPC,7,4000.0,AHPC,59,3030
AHPC,8,2000.0,AHPC,6,850
AIL,10,10.0,AHPC,7,300
AIL,17,100.0,AHPC,8,2550
AIL,25,70.0,AIL,1,20
AIL,26,50.0,AIL,20,10
AIL,29,280.0,AIL,22,20
AIL,33,130.0,AIL,25,10
AIL,34,410.0,AIL,26,458
AIL,35,20.0,AIL,28,20
AIL,36,510.0,AIL,29,60
AIL,44,100.0,AIL,34,20
AIL,45,10.0,AIL,35,300
AIL,47,50.0,AIL,36,10
AIL,52,30.0,AIL,37,10
AIL,57,539.0,AIL,39,50
AIL,58,60.0,AIL,41,70
AIL,59,20.0,AIL,42,30
AKJCL,1,1000.0,AIL,43,20
AKJCL,11,325.0,AIL,45,60
AKJCL,13,1000.0,AIL,48,797
AKJCL,16,1775.0,AIL,49,10
AKJCL,17,3660.0,AIL,52,50
AKJCL,18,397.0,AIL,57,140
AKJCL,19,850.0,AIL,58,120
AKJCL,20,30.0,AIL,59,10
AKJCL,21,3213.0,AIL,6,94
AKJCL,22,10.0,AKJCL,1,1600
AKJCL,25,925.0,AKJCL,10,750
AKJCL,26,1111.0,AKJCL,13,350
AKJCL,28,2500.0,AKJCL,14,510
AKJCL,29,456.0,AKJCL,16,1620
AKJCL,3,30.0,AKJCL,17,3710
AKJCL,32,3296.0,AKJCL,19,730
AKJCL,33,330.0,AKJCL,20,935
AKJCL,34,930.0,AKJCL,21,1900
AKJCL,35,1935.0,AKJCL,22,1823
AKJCL,36,4150.0,AKJCL,25,783
AKJCL,38,3704.0,AKJCL,26,750
AKJCL,39,645.0,AKJCL,28,150
AKJCL,4,500.0,AKJCL,29,1635
AKJCL,40,100.0,AKJCL,33,1120
AKJCL,41,1140.0,AKJCL,34,4300
AKJCL,42,2442.0,AKJCL,35,3195
AKJCL,43,830.0,AKJCL,36,817
AKJCL,44,1050.0,AKJCL,37,600
AKJCL,45,2260.0,AKJCL,38,4410
AKJCL,46,500.0,AKJCL,39,800
AKJCL,47,1730.0,AKJCL,4,2994
AKJCL,48,562.0,AKJCL,40,300
AKJCL,49,1131.0,AKJCL,41,1960
AKJCL,50,2875.0,AKJCL,42,1190
AKJCL,51,902.0,AKJCL,43,370
AKJCL,52,968.0,AKJCL,44,470
AKJCL,53,562.0,AKJCL,45,4085
AKJCL,54,200.0,AKJCL,46,66
AKJCL,56,485.0,AKJCL,47,3642
AKJCL,57,5635.0,AKJCL,48,1350
AKJCL,58,6529.0,AKJCL,49,890
AKJCL,59,2600.0,AKJCL,5,300
AKJCL,6,1799.0,AKJCL,50,4710
AKJCL,8,1430.0,AKJCL,51,830
AKPL,1,1110.0,AKJCL,52,1300
AKPL,10,100.0,AKJCL,53,120
AKPL,11,700.0,AKJCL,54,780
AKPL,13,3450.0,AKJCL,55,1180
AKPL,14,665.0,AKJCL,56,100
AKPL,16,7350.0,AKJCL,57,4435
AKPL,17,2000.0,AKJCL,58,3175
AKPL,19,265.0,AKJCL,59,855
AKPL,21,1310.0,AKJCL,6,750
AKPL,22,50.0,AKJCL,7,162
AKPL,25,1793.0,AKPL,1,150
AKPL,26,1311.0,AKPL,11,3575
AKPL,28,2355.0,AKPL,13,140
AKPL,29,750.0,AKPL,14,3834
AKPL,3,400.0,AKPL,16,1482
AKPL,32,340.0,AKPL,17,3290
AKPL,33,400.0,AKPL,18,548
AKPL,34,7814.0,AKPL,19,1277
AKPL,35,1100.0,AKPL,20,1817
AKPL,36,860.0,AKPL,21,717
AKPL,37,1006.0,AKPL,22,11
AKPL,38,3992.0,AKPL,25,300
AKPL,39,1014.0,AKPL,26,2257
AKPL,4,395.0,AKPL,28,1150
AKPL,40,60.0,AKPL,29,3576
AKPL,41,1000.0,AKPL,3,357
AKPL,42,2374.0,AKPL,32,771
AKPL,44,1334.0,AKPL,33,3665
AKPL,45,2657.0,AKPL,34,1651
AKPL,46,1030.0,AKPL,35,3224
AKPL,47,5000.0,AKPL,36,2546
AKPL,48,1595.0,AKPL,37,1500
AKPL,49,6751.0,AKPL,38,3309
AKPL,5,50.0,AKPL,39,1107
AKPL,50,315.0,AKPL,4,175
AKPL,51,610.0,AKPL,40,707
AKPL,52,50.0,AKPL,41,2622
AKPL,53,370.0,AKPL,42,1424
AKPL,54,1599.0,AKPL,43,175
AKPL,55,1575.0,AKPL,44,4700
AKPL,56,1242.0,AKPL,45,2921
AKPL,57,3190.0,AKPL,46,1620
AKPL,58,15228.0,AKPL,47,540
AKPL,59,3234.0,AKPL,48,6726
AKPL,6,950.0,AKPL,49,5840
AKPL,7,368.0,AKPL,5,2790
ALBSL,17,50.0,AKPL,50,260
ALBSL,28,420.0,AKPL,51,371
ALBSL,32,194.0,AKPL,52,2517
ALBSL,36,15.0,AKPL,53,1505
ALBSL,38,10.0,AKPL,54,887
ALBSL,40,44.0,AKPL,55,810
ALBSL,43,100.0,AKPL,56,1518
ALBSL,57,50.0,AKPL,57,1280
ALICL,14,150.0,AKPL,58,5090
ALICL,17,830.0,AKPL,59,480
ALICL,19,44.0,AKPL,6,256
ALICL,25,61.0,AKPL,7,110
ALICL,26,162.0,AKPL,8,3534
ALICL,32,400.0,ALBSL,17,20
ALICL,34,1290.0,ALBSL,20,434
ALICL,35,430.0,ALBSL,26,12
ALICL,38,310.0,ALBSL,33,12
ALICL,39,200.0,ALBSL,35,150
ALICL,41,20.0,ALBSL,39,24
ALICL,43,55.0,ALBSL,40,12
ALICL,44,20.0,ALBSL,48,100
ALICL,48,300.0,ALBSL,49,12
ALICL,49,70.0,ALBSL,51,20
ALICL,5,200.0,ALBSL,53,50
ALICL,50,210.0,ALBSL,57,12
ALICL,51,30.0,ALBSL,58,15
ALICL,56,20.0,ALBSL,59,10
ALICL,57,410.0,ALICL,10,200
ALICL,58,20.0,ALICL,11,50
ALICL,59,200.0,ALICL,13,150
API,1,1319.0,ALICL,14,192
API,10,3278.0,ALICL,17,50
API,11,100.0,ALICL,19,10
API,13,1700.0,ALICL,20,20
API,14,1700.0,ALICL,22,128
API,16,5764.0,ALICL,26,100
API,17,6412.0,ALICL,33,224
API,19,350.0,ALICL,34,600
API,20,1600.0,ALICL,37,100
API,21,3252.0,ALICL,38,300
API,22,904.0,ALICL,39,200
API,25,1585.0,ALICL,40,180
API,26,651.0,ALICL,42,200
API,28,2486.0,ALICL,43,25
API,29,2050.0,ALICL,44,400
API,3,1200.0,ALICL,45,600
API,32,2046.0,ALICL,48,90
API,33,2550.0,ALICL,49,672
API,34,5169.0,ALICL,5,20
API,35,2770.0,ALICL,50,200
API,36,1254.0,ALICL,54,215
API,37,150.0,ALICL,55,200
API,38,8085.0,ALICL,57,200
API,39,6321.0,ALICL,6,86
API,4,434.0,ALICL,7,20
API,40,3544.0,API,1,1210
API,41,1760.0,API,10,195
API,42,8546.0,API,11,440
API,43,2738.0,API,13,620
API,44,810.0,API,14,783
API,45,22064.0,API,16,2095
API,46,3825.0,API,17,7146
API,47,500.0,API,18,560
API,48,7870.0,API,19,958
API,49,20586.0,API,20,8122
API,5,2300.0,API,21,5527
API,50,80.0,API,22,12881
API,51,2720.0,API,25,2238
API,52,4370.0,API,26,1182
API,53,1820.0,API,28,1177
API,54,375.0,API,29,1246
