Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,45,10.0,ACLBSL,47,10
ADBL,1,20.0,ADBL,25,130
ADBL,14,70.0,ADBL,33,50
ADBL,16,125.0,ADBL,35,1120
ADBL,17,100.0,ADBL,4,210
ADBL,21,210.0,ADBL,43,1670
ADBL,22,50.0,ADBL,44,20
ADBL,25,200.0,ADBL,45,20
ADBL,26,100.0,ADBL,52,90
ADBL,32,100.0,ADBL,57,794
ADBL,35,180.0,ADBL,58,20
ADBL,4,11.0,ADBLD83,16,50
ADBL,40,1000.0,AHPC,1,710
ADBL,41,50.0,AHPC,14,521
ADBL,48,50.0,AHPC,16,30
ADBL,5,100.0,AHPC,21,410
ADBL,55,20.0,AHPC,28,440
ADBL,56,250.0,AHPC,3,1205
ADBL,57,188.0,AHPC,33,150
ADBL,58,800.0,AHPC,35,410
ADBL,6,500.0,AHPC,36,1700
ADBLD83,45,50.0,AHPC,38,2000
AHPC,1,21.0,AHPC,4,2000
AHPC,10,240.0,AHPC,41,100
AHPC,11,60.0,AHPC,44,50
AHPC,14,80.0,AHPC,5,2400
AHPC,16,510.0,AHPC,57,200
AHPC,19,180.0,AHPC,58,2089
AHPC,21,520.0,AHPC,59,800
AHPC,22,140.0,AHPC,6,430
AHPC,26,1210.0,AHPC,7,490
AHPC,32,2000.0,AIL,17,10
AHPC,33,100.0,AIL,28,10
AHPC,34,30.0,AIL,32,10
AHPC,35,1590.0,AIL,39,200
AHPC,38,1200.0,AIL,42,10
AHPC,39,200.0,AIL,48,10
AHPC,4,680.0,AIL,52,10
AHPC,42,670.0,AIL,58,10
AHPC,43,40.0,AKJCL,1,9733
AHPC,45,420.0,AKJCL,17,40
AHPC,46,1240.0,AKJCL,21,1710
AHPC,48,720.0,AKJCL,22,300
AHPC,49,177.0,AKJCL,25,305
AHPC,5,233.0,AKJCL,26,70
AHPC,50,100.0,AKJCL,32,1800
AHPC,51,299.0,AKJCL,33,320
AHPC,52,200.0,AKJCL,34,100
AHPC,57,1050.0,AKJCL,35,1000
AHPC,58,1165.0,AKJCL,38,405
AHPC,6,500.0,AKJCL,41,680
AHPC,8,560.0,AKJCL,42,1191
AIL,25,10.0,AKJCL,45,280
AIL,42,10.0,AKJCL,47,400
AIL,48,250.0,AKJCL,50,2000
AKJCL,1,1800.0,AKJCL,52,1000
AKJCL,11,100.0,AKJCL,56,6118
AKJCL,13,1000.0,AKJCL,57,730
AKJCL,14,200.0,AKJCL,58,2170
AKJCL,16,20.0,AKJCL,6,500
AKJCL,17,1124.0,AKPL,1,200
AKJCL,19,815.0,AKPL,11,300
AKJCL,20,415.0,AKPL,13,1950
AKJCL,21,1450.0,AKPL,14,420
AKJCL,22,69.0,AKPL,16,350
AKJCL,25,22.0,AKPL,19,70
