0,1,2,3,4,5
JBLB,50,35,30,,
JBLB,50,35,20,,
ULI,1,58,10,,
HPPL,58,45,50,,
GLH,32,14,10,,
ALICL,51,50,50,,
NUBL,41,57,11,,
SLI,32,49,10,,
BFC,57,29,20,,
NFS,45,4,250,,
NFS,32,4,200,,
NFS,14,4,20,,
FOWAD,48,26,60,,
FOWAD,19,26,40,,
GBBL,17,22,100,,
PLI,25,46,10,,
UMHL,28,35,110,,
UMHL,28,26,190,,
UMHL,28,1,200,,
MKJC,58,43,10,,
KKHC,19,56,10,,
SABSL,47,38,36,,
JBLB,33,17,10,,
JBLB,33,41,10,,
JBLB,33,17,10,,
JBLB,33,25,10,,
JBLB,33,48,10,,
JBLB,33,59,10,,
JBLB,33,3,10,,
JBLB,33,49,10,,
JBLB,33,56,10,,
JBLB,33,58,10,,
JBLB,33,45,10,,
JBLB,33,45,10,,
GILB,32,35,10,,
NBB,21,5,182,,
NBB,58,5,30,,
NBB,19,5,100,,
NBB,11,5,500,,
NBB,49,5,60,,
NBB,26,5,50,,
NBB,41,5,78,,
ULI,1,14,10,,
MEGA,28,44,150,,
PRVU,58,20,81,,
PRVU,42,20,15,,
PRVU,38,20,200,,
PRVU,43,20,100,,
PRVU,49,20,100,,
PRVU,6,20,20,,
PRVU,45,20,50,,
PRVU,40,20,50,,
PRVU,6,20,20,,
PRVU,58,20,52,,
PRVU,58,20,75,,
PRVU,41,20,60,,
PRVU,58,20,10,,
PRVU,28,20,120,,
PRVU,49,20,63,,
PRVU,8,20,500,,
PRVU,34,20,100,,
PRVU,20,20,19,,
PRVU,29,20,100,,
PRVU,3,20,40,,
PRVU,35,20,50,,
PRVU,49,20,30,,
PRVU,8,20,100,,
PRVU,42,20,25,,
PRVU,14,20,20,,
JBLB,50,25,10,,
CHCL,59,17,200,,
MLBL,45,38,100,,
JBLB,37,45,30,,
PRVU,42,28,14,,
PRVU,35,28,50,,
PRVU,33,28,427,,
AHPC,4,59,50,,
MLBL,17,38,100,,
HDHPC,36,52,50,,
ADBL,45,39,33,,
AKPL,40,52,200,,
NUBL,1,57,250,,
API,58,39,50,,
CHCL,35,17,55,,
GFCL,11,38,110,,
GFCL,6,38,100,,
SLICL,52,52,7,,
SHEL,57,57,10,,
RADHI,44,50,500,,
CZBIL,41,29,20,,
AKPL,40,22,800,,
NUBL,1,22,50,,
NIFRA,21,16,50,,
SLI,32,55,10,,
PRVU,33,20,205,,
PRVU,51,20,60,,
PRVU,13,20,55,,
PRVU,16,20,10,,
PRVU,35,20,300,,
PRVU,40,20,20,,
PRVU,45,20,50,,
PRVU,49,20,250,,
PRVU,58,20,50,,
RLFL,49,13,255,,
RLFL,19,13,45,,
CHCL,25,17,10,,
PMHPL,57,32,10,,
JOSHI,50,34,161,,
NMB,35,57,70,,
GMFIL,11,42,100,,
RMDC,38,42,11,,
GLH,42,1,30,,
BFC,45,1,100,,
SBL,46,44,13,,
SLBBL,13,41,40,,
NGPL,57,50,100,,
SLI,22,57,10,,
PCBL,8,49,100,,
CZBIL,42,29,100,,
NBF2,55,14,2000,,
NBF2,52,14,5000,,
NBF2,56,14,3000,,
BFC,57,28,73,,
BFC,7,28,10,,
BFC,34,28,17,,
NLIC,17,21,30,,
UPCL,20,29,30,,
JBLB,37,6,10,,
PRVU,52,52,7,,
JFL,6,33,100,,
NABIL,48,14,10,,
RLFL,19,4,155,,
RLFL,39,4,320,,
SHINE,42,35,50,,
SHINE,42,35,450,,
SLI,32,22,10,,
NBB,58,55,14,,
RMDC,38,42,10,,
PLI,25,21,10,,
SLI,32,46,10,,
JFL,46,33,20,,
RLFL,39,39,20,,
NBL,16,56,106,,
MLBL,52,38,200,,
NICA,45,55,100,,
UPCL,20,56,82,,
JBBL,13,49,31,,
JBBL,52,49,50,,
JBBL,49,49,10,,
JBBL,50,49,200,,
JBBL,43,49,186,,
NABIL,58,57,10,,
JLI,17,59,50,,
JBLB,37,38,60,,
JBLB,4,38,40,,
NRN,58,45,10,,
NRN,58,14,50,,
NICLBSL,45,42,10,,
KSBBL,17,26,163,,
KSBBL,45,26,50,,
KSBBL,52,26,10,,
KSBBL,14,26,77,,
KSBBL,7,26,200,,
NHDL,56,32,200,,
NHDL,56,58,100,,
NHDL,56,45,60,,
NHDL,56,52,70,,
NHDL,56,14,10,,
JBBL,52,52,3,,
NICA,49,55,20,,
MPFL,32,4,162,,
MPFL,14,4,200,,
MPFL,59,4,100,,
MPFL,58,4,98,,
NLIC,56,21,14,,
UPCL,45,56,400,,
SKBBL,45,53,70,,
MNBBL,44,57,70,,
MLBL,45,38,10,,
SAPDBL,32,53,10,,
LBL,19,58,97,,
LBL,32,58,40,,
LBL,34,58,10,,
LBL,57,58,125,,
LBL,57,58,190,,
MKJC,58,6,20,,
JBLB,4,38,10,,
GFCL,45,38,10,,
KBL,54,49,155,,
JBLB,4,51,20,,
CHCL,57,17,80,,
JBLB,4,49,10,,
ALICL,7,50,274,,
ALICL,45,50,35,,
JBBL,43,49,14,,
SHIVM,58,14,40,,
PRVU,11,17,75,,
PRVU,11,17,50,,
NICLBSL,45,56,10,,
MLBL,35,25,100,,
NFS,42,54,50,,
RADHI,56,38,100,,
NABIL,34,4,100,,
NABIL,54,57,32,,
BFC,32,1,50,,
KMCDB,45,33,35,,
KMCDB,33,33,15,,
KMCDB,1,33,100,,
MEGA,11,22,50,,
NABIL,34,42,20,,
MKJC,58,1,10,,
MBL,42,49,90,,
MBL,7,49,10,,
MKJC,58,49,10,,
MBL,34,49,900,,
NIFRA,6,47,50,,
RHPL,57,38,40,,
GBBL,45,22,386,,
GBBL,45,10,14,,
NIBLPF,58,48,2525,,
SANIMA,47,46,50,,
PIC,29,13,20,,
SPDL,1,21,20,,
JLI,17,41,10,,
UPCL,20,56,200,,
ULI,1,38,10,,
NIFRA,26,21,15,,
NIFRA,26,58,40,,
NIFRA,26,36,45,,
SFCL,58,32,30,,
SFCL,6,32,500,,
SFCL,6,32,229,,
SFCL,45,32,300,,
RHPC,42,58,20,,
RHPC,36,58,250,,
RHPC,39,58,500,,
RHPC,19,58,130,,
RHPC,14,58,40,,
RHPC,3,58,10,,
RHPC,38,58,50,,
GBIME,14,39,20,,
AIL,16,33,25,,
NIBSF1,57,49,1000,,
NIBSF1,57,49,1000,,
CHCL,45,40,195,,
CHCL,50,40,500,,
CHCL,8,40,20,,
CHCL,45,40,50,,
CHCL,48,40,200,,
CHCL,16,40,500,,
CHCL,42,40,20,,
CHCL,11,40,150,,
PRVU,19,17,55,,
PRVU,19,59,85,,
LICN,25,14,10,,
NRN,58,49,10,,
NRN,58,45,10,,
NRN,58,58,10,,
HDHPC,36,58,10,,
NRN,58,49,10,,
HDHPC,45,58,190,,
GLH,42,39,10,,
RMDC,49,50,120,,
CGH,13,16,10,,
NCCB,57,29,185,,
JBLB,4,38,10,,
GMFIL,45,42,50,,
SHEL,57,17,10,,
GBIME,41,39,110,,
MLBL,45,38,360,,
MLBL,45,38,20,,
MHNL,45,17,65,,
MLBL,45,29,20,,
MHNL,45,29,65,,
RRHP,47,49,10,,
SLI,32,47,10,,
CBBL,45,26,105,,
CBBL,56,26,65,,
CBBL,28,26,30,,
SBI,5,40,65,,
NIFRA,57,36,115,,
SSHL,34,29,175,,
SSHL,26,29,100,,
SSHL,56,29,15,,
SSHL,28,29,10,,
SDLBSL,57,14,30,,
NIBLPF,58,47,4000,,
PMHPL,57,4,200,,
GBBL,36,51,200,,
JLI,21,58,20,,
JLI,57,58,20,,
UNHPL,53,29,20,,
BFC,42,1,10,,
NIFRA,8,17,50,,
SLI,32,57,180,,
GFCL,45,57,10,,
SLI,41,57,20,,
BPCL,52,52,1,,
RADHI,29,29,50,,
GUFL,58,21,10,,
FOWAD,19,14,10,,
JBLB,33,47,40,,
MLBSL,32,39,10,,
CHCL,21,17,150,,
ULI,1,14,10,,
JBLB,33,38,10,,
HIDCL,36,25,855,,
NBL,39,59,20,,
NFS,32,54,50,,
GLH,42,17,10,,
NABIL,1,42,19,,
NABIL,21,42,50,,
NABIL,49,42,31,,
ALBSL,34,25,14,,
JBLB,33,45,10,,
LBBL,41,45,40,,
ULI,1,49,20,,
UPCL,7,26,1907,,
RLFL,56,14,20,,
CCBL,38,38,2,,
