Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,22,151.0,ACLBSL,39,10
ADBL,10,330.0,ACLBSL,43,10
ADBL,11,10.0,ACLBSL,49,20
ADBL,13,10.0,ACLBSL,6,101
ADBL,14,900.0,ACLBSL,8,10
ADBL,16,260.0,ADBL,1,59
ADBL,17,310.0,ADBL,11,30
ADBL,19,400.0,ADBL,13,100
ADBL,22,104.0,ADBL,16,365
ADBL,26,24.0,ADBL,18,150
ADBL,28,65.0,ADBL,22,998
ADBL,29,100.0,ADBL,25,198
ADBL,3,300.0,ADBL,28,100
ADBL,32,1044.0,ADBL,3,355
ADBL,33,40.0,ADBL,34,50
ADBL,34,496.0,ADBL,38,856
ADBL,35,500.0,ADBL,39,500
ADBL,36,200.0,ADBL,40,1742
ADBL,37,150.0,ADBL,42,80
ADBL,4,200.0,ADBL,43,514
ADBL,40,100.0,ADBL,45,50
ADBL,41,842.0,ADBL,46,50
ADBL,42,120.0,ADBL,47,259
ADBL,43,200.0,ADBL,48,500
ADBL,45,160.0,ADBL,49,156
ADBL,46,16.0,ADBL,5,650
ADBL,48,421.0,ADBL,50,2496
ADBL,49,650.0,ADBL,56,300
ADBL,50,100.0,ADBL,57,1094
ADBL,51,100.0,ADBL,6,67
ADBL,52,200.0,AHPC,1,1100
ADBL,53,500.0,AHPC,10,5010
ADBL,55,100.0,AHPC,11,18
ADBL,57,30.0,AHPC,13,2000
ADBL,58,2158.0,AHPC,14,110
ADBL,59,314.0,AHPC,16,6184
ADBL,6,65.0,AHPC,17,5290
ADBL,8,200.0,AHPC,18,2000
AHPC,1,5150.0,AHPC,19,2000
AHPC,10,5550.0,AHPC,21,3797
AHPC,13,3175.0,AHPC,22,1235
AHPC,14,2470.0,AHPC,25,4325
AHPC,16,3400.0,AHPC,26,4424
AHPC,17,18600.0,AHPC,28,2313
AHPC,19,535.0,AHPC,29,1050
AHPC,20,2210.0,AHPC,3,605
AHPC,21,1494.0,AHPC,32,2100
AHPC,22,250.0,AHPC,33,1760
AHPC,25,369.0,AHPC,34,3417
AHPC,26,17750.0,AHPC,35,1750
AHPC,28,1050.0,AHPC,36,250
AHPC,29,7230.0,AHPC,38,425
AHPC,32,880.0,AHPC,39,2400
AHPC,33,1619.0,AHPC,4,2200
AHPC,34,6097.0,AHPC,40,2099
AHPC,35,3249.0,AHPC,41,2080
AHPC,36,1230.0,AHPC,42,2755
AHPC,37,2610.0,AHPC,43,300
AHPC,38,3424.0,AHPC,44,3058
AHPC,39,50.0,AHPC,45,7140
AHPC,4,984.0,AHPC,46,4280
AHPC,41,1995.0,AHPC,47,8444
AHPC,42,5490.0,AHPC,48,2112
AHPC,43,230.0,AHPC,49,72104
AHPC,44,13786.0,AHPC,5,10
AHPC,45,15977.0,AHPC,50,10
AHPC,46,657.0,AHPC,51,280
AHPC,47,500.0,AHPC,52,1150
AHPC,48,921.0,AHPC,53,13638
AHPC,49,13986.0,AHPC,54,100
AHPC,5,500.0,AHPC,55,1050
AHPC,50,1430.0,AHPC,56,2800
AHPC,51,1330.0,AHPC,57,2900
AHPC,52,2300.0,AHPC,58,10891
AHPC,53,2370.0,AHPC,59,1875
AHPC,54,21416.0,AHPC,6,2907
AHPC,55,2810.0,AHPC,7,17
AHPC,56,845.0,AHPC,8,2223
AHPC,57,2385.0,AIL,22,10
AHPC,58,3474.0,AIL,3,10
AHPC,59,12851.0,AIL,36,10
AHPC,6,1402.0,AIL,4,50
AHPC,7,3720.0,AIL,41,10
AHPC,8,235.0,AIL,45,20
AIL,33,130.0,AIL,49,130
AIL,34,120.0,AIL,52,20
AIL,39,30.0,AIL,55,10
AIL,45,20.0,AIL,56,100
AIL,48,250.0,AIL,57,250
AIL,51,10.0,AIL,58,10
AIL,53,10.0,AKJCL,1,500
AIL,58,30.0,AKJCL,10,796
AIL,59,30.0,AKJCL,11,100
AKJCL,14,100.0,AKJCL,13,300
AKJCL,16,1000.0,AKJCL,14,130
AKJCL,17,900.0,AKJCL,16,500
AKJCL,19,200.0,AKJCL,17,1019
AKJCL,21,200.0,AKJCL,21,196
AKJCL,22,625.0,AKJCL,22,240
AKJCL,3,200.0,AKJCL,25,551
AKJCL,32,100.0,AKJCL,26,50
AKJCL,33,1000.0,AKJCL,28,1423
AKJCL,35,647.0,AKJCL,29,100
AKJCL,36,80.0,AKJCL,3,200
AKJCL,38,1200.0,AKJCL,32,350
AKJCL,40,28.0,AKJCL,34,350
AKJCL,41,494.0,AKJCL,36,205
AKJCL,42,100.0,AKJCL,38,190
AKJCL,43,50.0,AKJCL,39,20
AKJCL,44,350.0,AKJCL,4,1010
AKJCL,45,1650.0,AKJCL,41,545
AKJCL,46,62.0,AKJCL,42,58
AKJCL,47,40.0,AKJCL,43,2280
AKJCL,48,40.0,AKJCL,44,10
AKJCL,49,8668.0,AKJCL,45,270
AKJCL,50,10.0,AKJCL,46,1090
AKJCL,53,1100.0,AKJCL,48,120
AKJCL,57,100.0,AKJCL,49,2684
AKJCL,58,183.0,AKJCL,50,460
AKJCL,7,30.0,AKJCL,51,106
AKJCL,8,2000.0,AKJCL,53,30
AKPL,1,250.0,AKJCL,54,1500
AKPL,10,750.0,AKJCL,56,20
AKPL,11,300.0,AKJCL,57,1224
AKPL,13,100.0,AKJCL,58,575
AKPL,14,1135.0,AKJCL,59,400
AKPL,16,4125.0,AKJCL,6,1425
AKPL,17,2300.0,AKJCL,7,120
AKPL,18,1000.0,AKJCL,8,10
AKPL,19,420.0,AKPL,1,4014
AKPL,20,9000.0,AKPL,10,1622
AKPL,21,1500.0,AKPL,11,111
AKPL,22,668.0,AKPL,13,382
AKPL,25,3850.0,AKPL,14,995
AKPL,26,14650.0,AKPL,16,3630
AKPL,28,1000.0,AKPL,17,15902
AKPL,29,3700.0,AKPL,18,8000
AKPL,3,12013.0,AKPL,19,510
AKPL,32,2340.0,AKPL,20,4745
AKPL,33,18846.0,AKPL,21,4860
AKPL,34,2615.0,AKPL,22,850
AKPL,35,4440.0,AKPL,25,515
AKPL,36,2430.0,AKPL,26,1200
AKPL,37,300.0,AKPL,28,5500
AKPL,38,1450.0,AKPL,29,1373
AKPL,39,6920.0,AKPL,3,19898
AKPL,4,698.0,AKPL,32,5181
AKPL,40,8744.0,AKPL,33,24122
AKPL,41,4380.0,AKPL,34,855
AKPL,42,2450.0,AKPL,35,2633
AKPL,43,930.0,AKPL,36,3365
AKPL,44,275.0,AKPL,37,1344
AKPL,45,5755.0,AKPL,38,3100
AKPL,46,3490.0,AKPL,39,666
AKPL,47,1570.0,AKPL,4,3740
AKPL,48,6101.0,AKPL,40,6477
AKPL,49,2400.0,AKPL,41,2997
AKPL,5,1200.0,AKPL,42,8265
AKPL,50,4365.0,AKPL,43,6252
AKPL,51,2441.0,AKPL,44,5038
AKPL,52,2900.0,AKPL,45,7720
AKPL,53,3910.0,AKPL,46,2600
AKPL,54,1100.0,AKPL,47,310
AKPL,55,150.0,AKPL,48,100
AKPL,56,8231.0,AKPL,49,5676
AKPL,57,2790.0,AKPL,50,1022
AKPL,58,12385.0,AKPL,51,910
AKPL,59,46886.0,AKPL,52,350
AKPL,6,1400.0,AKPL,53,1150
ALBSL,16,212.0,AKPL,54,2138
ALBSL,39,10.0,AKPL,55,15247
ALBSL,45,50.0,AKPL,56,1475
ALBSL,50,15.0,AKPL,57,6691
ALBSL,57,100.0,AKPL,58,1821
ALICL,16,15.0,AKPL,59,9303
ALICL,34,5000.0,AKPL,6,9992
ALICL,38,500.0,AKPL,7,4936
ALICL,41,200.0,AKPL,8,1070
ALICL,44,350.0,ALBSL,43,138
ALICL,46,50.0,ALBSL,45,200
ALICL,47,600.0,ALBSL,49,24
ALICL,49,700.0,ALBSL,58,12
ALICL,5,100.0,ALBSL,6,13
API,1,7600.0,ALICL,16,300
API,10,9529.0,ALICL,26,195
API,11,1850.0,ALICL,36,1272
API,13,7280.0,ALICL,38,50
API,14,14082.0,ALICL,4,28
API,16,16736.0,ALICL,45,20
API,17,5065.0,ALICL,49,50
API,18,350.0,ALICL,5,250
API,19,8270.0,ALICL,56,200
API,20,1310.0,ALICL,58,5150
API,21,13663.0,API,1,550
API,22,13067.0,API,10,6850
API,25,7863.0,API,11,551
API,26,6605.0,API,13,522
API,28,5985.0,API,14,17103
API,29,21554.0,API,16,610
API,3,3133.0,API,17,1756
API,32,11432.0,API,20,5000
API,33,8694.0,API,21,900
API,34,13526.0,API,22,1464
API,35,11020.0,API,25,8247
API,36,5100.0,API,26,258
API,37,4540.0,API,28,1150
API,38,19805.0,API,29,238
API,39,10351.0,API,3,2040
API,4,3940.0,API,32,2702
API,40,2995.0,API,33,3044
API,41,7484.0,API,34,1944
API,42,8237.0,API,35,10140
API,43,7594.0,API,36,4979
API,44,9965.0,API,38,74777
API,45,19665.0,API,39,1580
API,46,1390.0,API,4,5485
API,47,6310.0,API,40,46750
API,48,6865.0,API,41,3791
API,49,14391.0,API,42,3950
API,5,7855.0,API,43,12180
API,50,8125.0,API,44,43786
API,51,3065.0,API,45,11234
API,52,4185.0,API,46,1142
API,53,5451.0,API,47,8249
API,54,5778.0,API,48,139
API,55,5317.0,API,49,41681
API,56,5043.0,API,50,700
API,57,18998.0,API,51,3921
API,58,20865.0,API,52,940
API,59,18029.0,API,53,3721
API,6,15089.0,API,54,600
API,7,8349.0,API,55,1501
API,8,4760.0,API,56,3962
BARUN,10,200.0,API,57,8617
BARUN,14,1800.0,API,58,90001
BARUN,17,530.0,API,59,136
BARUN,21,220.0,API,6,4889
BARUN,26,200.0,API,7,2227
BARUN,34,250.0,API,8,2148
BARUN,36,300.0,BARUN,1,11
BARUN,4,25.0,BARUN,10,168
BARUN,41,585.0,BARUN,14,100
BARUN,42,1000.0,BARUN,21,870
BARUN,43,100.0,BARUN,22,317
BARUN,44,5658.0,BARUN,3,1700
BARUN,46,1000.0,BARUN,33,160
BARUN,48,1120.0,BARUN,34,350
BARUN,49,20.0,BARUN,36,200
BARUN,5,1080.0,BARUN,38,50
BARUN,50,300.0,BARUN,39,5389
BARUN,52,750.0,BARUN,40,870
BARUN,55,100.0,BARUN,41,111
BARUN,58,620.0,BARUN,42,700
BARUN,59,350.0,BARUN,43,561
BARUN,7,900.0,BARUN,45,180
BBC,19,10.0,BARUN,46,790
BBC,22,40.0,BARUN,47,150
BBC,29,10.0,BARUN,51,300
BBC,35,10.0,BARUN,53,50
BBC,37,22.0,BARUN,55,200
BBC,41,10.0,BARUN,58,3111
BBC,45,60.0,BARUN,59,220
BBC,49,30.0,BARUN,7,550
BBC,5,20.0,BBC,28,10
BBC,50,10.0,BBC,34,10
BBC,54,10.0,BBC,38,10
BBC,57,40.0,BBC,45,230
BBC,58,20.0,BBC,51,20
