0,1,2,3,4,5
NIFRA,57,26,11,,
NIFRA,51,26,150,,
MERO,48,4,10,,
MERO,48,4,10,,
MERO,48,4,10,,
MERO,45,4,50,,
MERO,45,37,150,,
SADBL,13,57,100,,
SADBL,43,57,13,,
KSBBL,48,55,55,,
KSBBL,48,4,100,,
ICFC,41,55,45,,
ICFC,41,57,10,,
ICFC,41,42,145,,
HDHPC,19,55,500,,
RADHI,45,43,500,,
BFC,14,55,300,,
RADHI,45,43,500,,
MKJC,28,4,50,,
BFC,14,8,30,,
RADHI,45,43,500,,
RADHI,45,43,500,,
SANIMA,34,34,10,,
CHL,50,55,333,,
SANIMA,59,34,58,,
SANIMA,59,57,42,,
NFS,45,55,80,,
UMHL,7,49,10,,
NFS,57,55,20,,
SBL,41,44,40,,
API,32,55,500,,
NFS,56,55,400,,
NFS,56,40,100,,
RHPC,6,36,100,,
NFS,8,40,200,,
RHPC,5,36,50,,
NICA,58,21,100,,
NIFRA,57,26,11,,
NIFRA,51,26,150,,
MERO,48,4,10,,
MERO,48,4,10,,
MERO,48,4,10,,
MERO,45,4,50,,
MERO,45,37,150,,
SADBL,13,57,100,,
SADBL,43,57,13,,
KSBBL,48,55,55,,
KSBBL,48,4,100,,
ICFC,41,55,45,,
ICFC,41,57,10,,
ICFC,41,42,145,,
HDHPC,19,55,500,,
RADHI,45,43,500,,
BFC,14,55,300,,
RADHI,45,43,500,,
MKJC,28,4,50,,
BFC,14,8,30,,
RADHI,45,43,500,,
RADHI,45,43,500,,
SANIMA,34,34,10,,
CHL,50,55,333,,
SANIMA,59,34,58,,
SANIMA,59,57,42,,
NFS,45,55,80,,
UMHL,7,49,10,,
NFS,57,55,20,,
SBL,41,44,40,,
API,32,55,500,,
NFS,56,55,400,,
NFS,56,40,100,,
RHPC,6,36,100,,
NFS,8,40,200,,
RHPC,5,36,50,,
NICA,58,21,100,,
