Stock,Buyer,Seller,Qty
ICFC,14,25,74
MBL,58,22,100
NICA,58,3,100
CZBIL,13,42,500
SHIVM,39,55,100
KKHC,35,42,10
KKHC,35,29,100
KKHC,35,48,200
GBLBS,40,33,10
GBLBS,50,33,50
GBLBS,51,33,100
GBLBS,46,33,10
MBL,50,54,26
GBLBS,1,33,50
GBLBS,49,33,20
GBLBS,51,33,100
CCBL,33,8,100
NABIL,45,32,40
NABIL,57,32,10
NABIL,57,32,215
RLFL,25,59,465
RLFL,25,45,25
RLFL,25,21,300
RLFL,25,56,10
RLFL,25,16,100
RLFL,25,57,100
SINDU,20,58,200
SINDU,20,44,25
SHINE,33,58,151
SHINE,38,58,50
LBBL,41,16,371
LBBL,38,16,1000
LBBL,45,16,466
LBBL,14,16,400
LBBL,38,16,100
LBBL,38,16,15
LBBL,17,16,290
LBBL,38,16,358
NCCB,57,8,500
NCCB,57,4,500
SJCL,57,34,30
AKPL,26,48,148
AKPL,26,17,1000
AKPL,26,49,264
AKPL,26,21,241
AKPL,26,45,300
AKPL,26,44,47
AHPC,17,6,194
AHPC,17,6,700
AHPC,17,6,106
RHPL,58,17,30
CZBIL,36,34,61
CZBIL,36,8,108
CZBIL,36,21,77
CZBIL,36,44,300
CZBIL,36,46,300
CZBIL,36,33,101
CZBIL,36,34,38
GBBL,36,59,22
CZBIL,36,45,15
NGPL,6,52,10
SHINE,54,57,100
UPPER,5,6,10
UPPER,57,6,15
UPPER,17,6,20
PIC,33,51,20
PIC,33,45,50
PIC,33,26,50
PIC,33,29,10
PIC,33,21,20
PIC,33,29,16
PIC,33,45,50
PIC,33,38,85
PIC,33,45,20
PIC,33,50,209
JBBL,4,50,50
PIC,33,45,20
PIC,33,37,50
PIC,33,22,19
NLIC,29,41,68
NTC,4,25,30
IGI,58,58,10
HIDCL,21,38,100
HIDCL,59,38,100
PROFL,38,58,150
ALICL,33,49,13
ALICL,25,49,87
SHINE,17,57,100
SHIVM,49,43,50
MLBL,20,41,100
GFCL,44,42,136
GFCL,44,35,14
GBBL,17,1,508
GBBL,17,1,492
SADBL,48,34,100
JFL,58,43,100
JFL,58,38,10
JFL,58,36,50
JFL,58,42,20
JFL,58,54,50
JFL,58,58,65
JFL,58,29,100
JFL,58,58,50
HIDCL,59,42,350
CBL,39,34,50
RRHP,38,45,400
RRHP,38,21,320
PLI,28,56,10
CHCL,50,58,105
CHCL,28,58,100
CHCL,58,58,45
CHCL,29,58,200
CHCL,57,58,50
CHCL,22,58,100
CHCL,22,28,100
BARUN,10,19,50
BARUN,10,42,150
PFL,46,53,30
JFL,58,42,10
JFL,58,42,10
JFL,58,42,85
RHPC,48,7,40
RHPC,48,39,10
KBL,48,21,200
SHEL,6,34,100
SHEL,34,34,500
SHEL,54,34,140
SHEL,45,34,100
SHEL,34,34,30
SGI,57,34,10
MBL,58,54,74
MBL,58,51,50
MBL,58,5,96
MBL,58,50,500
MBL,58,55,50
MBL,58,39,234
MBL,58,43,2000
MBL,58,19,1000
MBL,58,1,166
MBL,58,44,130
GLH,49,21,10
MFIL,21,33,130
MFIL,21,3,170
NBB,35,57,27
SIFC,29,44,10
AHPC,10,6,10
MEGA,58,47,54
MEGA,45,47,10
DDBL,11,22,10
GBIME,14,51,100
NABIL,19,14,10
NLIC,29,44,62
NLIC,22,44,100
NLIC,1,44,20
NLIC,50,44,100
NLIC,43,44,30
SHPC,50,59,100
NRIC,1,5,90
NRIC,44,5,100
NRIC,58,5,20
NRIC,40,5,50
NRIC,34,5,200
NRIC,57,5,30
NRIC,34,5,10
LBBL,21,29,150
LBBL,21,50,50
MEN,16,38,10
RLFL,42,57,150
JLI,19,35,10
CHDC,59,35,10
PFL,41,4,100
MBL,49,44,100
MFIL,26,3,10
MFIL,38,3,20
BFC,47,29,50
DDBL,51,22,10
NIFRA,48,53,50
TRH,22,38,250
PFL,5,4,50
PFL,5,45,100
PFL,5,41,150
PFL,5,13,200
PFL,39,4,32
PFL,39,58,29
PFL,39,39,39
GBBL,17,38,200
SPDL,34,57,28
SPDL,29,57,500
SPDL,29,57,422
SPDL,18,57,50
CFCL,8,49,73
CFCL,8,32,27
UPPER,40,8,50
API,40,49,10
HDHPC,36,49,400
LBBL,38,17,142
MLBL,20,19,50
GLH,49,35,10
KBL,35,21,200
NUBL,57,58,26
NUBL,11,58,50
NUBL,38,58,10
NUBL,8,58,50
NUBL,45,58,100
AKPL,57,44,80
SRBL,34,57,200
SRBL,34,19,300
ICFC,53,58,65
NICLBSL,39,18,10
SSHL,39,13,57
SSHL,39,6,80
SSHL,39,7,28
SSHL,39,41,10
SSHL,39,33,100
SSHL,39,45,100
