0,1,2,3,4,5
LBBL,51,55,50,,
HGI,38,49,10,,
API,19,40,482,,
API,19,26,18,,
SAHAS,28,29,10,,
JSLBB,42,34,47,,
NIFRA,42,58,60,,
SLBBL,58,21,50,,
SAHAS,28,28,10,,
MLBL,20,41,215,,
MLBL,54,41,30,,
MNBBL,21,38,20,,
MNBBL,41,38,50,,
SBL,17,29,500,,
SHINE,39,1,200,,
SHINE,39,28,168,,
UMHL,45,56,160,,
SAHAS,28,58,10,,
ICFC,8,48,190,,
ICFC,1,48,20,,
ICFC,45,48,500,,
ICFC,58,48,10,,
ICFC,19,48,780,,
NABIL,46,58,30,,
JFL,8,50,300,,
JFL,8,57,200,,
SAHAS,28,39,10,,
JBBL,13,39,175,,
KSBBL,22,42,200,,
SAHAS,28,20,10,,
LBBL,51,59,350,,
SAHAS,28,18,10,,
UMRH,39,58,10,,
SAHAS,28,58,10,,
AKJCL,43,58,20,,
NABIL,58,58,13,,
PLIC,34,44,870,,
PLIC,46,44,130,,
SJCL,47,48,20,,
FMDBL,34,42,61,,
SAHAS,28,36,10,,
NBL,42,16,20,,
SAHAS,28,35,10,,
SAHAS,28,8,10,,
UMHL,17,56,25,,
HDHPC,17,26,15,,
NIL,28,45,57,,
NIFRA,4,49,60,,
API,19,26,82,,
API,19,32,50,,
API,19,52,368,,
SAHAS,28,29,10,,
SHINE,33,28,32,,
AKJCL,43,57,50,,
SAHAS,28,49,10,,
NGPL,56,21,45,,
CMF1,34,34,5000,,
MLBL,57,57,100,,
NIFRA,38,49,10,,
MLBL,29,57,100,,
SPDL,52,47,100,,
SAHAS,28,16,10,,
AKPL,42,13,123,,
AKPL,42,49,100,,
AKPL,42,50,177,,
MLBL,54,49,470,,
MLBL,45,49,150,,
MLBL,38,49,100,,
MLBL,49,49,280,,
NABIL,8,58,45,,
SAHAS,28,28,10,,
SAHAS,28,55,10,,
SHEL,26,34,440,,
ICFC,19,22,20,,
NHPC,25,21,80,,
UMHL,52,56,300,,
UMHL,57,56,15,,
UMHL,57,58,285,,
MLBL,49,38,20,,
NIFRA,45,11,19,,
SAHAS,28,47,10,,
KSBBL,5,42,300,,
NCCB,45,44,500,,
NCCB,29,44,1000,,
NCCB,33,44,990,,
SAPDBL,35,6,100,,
SAPDBL,19,6,50,,
NTC,6,53,100,,
SLI,38,36,10,,
MLBL,53,57,46,,
JFL,8,40,200,,
JFL,8,34,59,,
UMHL,11,58,15,,
NIFRA,45,43,50,,
NIFRA,45,34,11,,
FMDBL,34,19,69,,
NICLBSL,34,38,96,,
SAHAS,28,18,10,,
GHL,43,17,50,,
LBBL,32,59,100,,
LBBL,32,42,400,,
MLBL,53,4,154,,
MLBL,53,45,200,,
MLBL,53,52,100,,
SIFC,8,34,10,,
NABIL,57,58,48,,
SAHAS,28,29,10,,
SHIVM,14,58,20,,
SHIVM,36,58,70,,
SHIVM,47,58,300,,
SHIVM,36,58,100,,
SHIVM,28,58,17,,
SAHAS,28,47,10,,
JLI,59,45,10,,
PICL,17,45,47,,
SAHAS,28,45,10,,
NIFRA,44,34,500,,
NABIL,57,50,100,,
NABIL,13,50,200,,
MLBL,45,58,50,,
SAHAS,28,58,10,,
SAHAS,28,6,10,,
JLI,54,52,10,,
JLI,54,32,10,,
SAHAS,28,39,10,,
NRIC,6,7,25,,
NRIC,1,7,100,,
NRIC,14,7,10,,
EDBL,54,45,31,,
NIFRA,44,34,489,,
NIFRA,44,26,11,,
SAHAS,28,28,10,,
MEGA,59,56,197,,
MEGA,29,56,30,,
MEGA,6,56,500,,
MEGA,59,56,200,,
MEGA,21,56,50,,
MEGA,25,56,35,,
SAHAS,28,7,10,,
SABSL,14,34,20,,
ALICL,52,7,100,,
ALICL,52,44,1000,,
ALICL,52,10,310,,
MNBBL,14,49,20,,
MNBBL,38,49,90,,
GIC,50,8,10,,
CFCL,29,7,500,,
CFCL,29,3,100,,
CFCL,29,43,70,,
SAHAS,28,17,10,,
SLI,38,32,10,,
NCCB,33,44,10,,
SIL,17,37,300,,
SAHAS,28,29,10,,
SLI,38,21,10,,
SAHAS,28,21,10,,
UMHL,58,58,700,,
FOWAD,50,50,10,,
SAHAS,28,55,10,,
GBBL,41,10,470,,
CBBL,16,57,10,,
CBBL,16,35,10,,
AKPL,16,14,50,,
AKPL,58,14,85,,
NRN,22,58,100,,
NBL,58,16,150,,
CIT,35,32,10,,
GLH,59,41,10,,
SAHAS,28,51,10,,
SAHAS,28,54,10,,
SAHAS,28,57,10,,
RSDC,50,16,500,,
GRDBL,35,1,70,,
SMFBS,11,16,10,,
SAHAS,28,29,10,,
SAHAS,28,21,10,,
ULI,50,17,10,,
SAHAS,28,50,10,,
SAHAS,28,32,10,,
SAHAS,28,28,10,,
JBLB,34,56,10,,
GLH,59,6,10,,
NRIC,36,58,35,,
NRIC,36,28,15,,
GRDBL,57,22,200,,
SBL,49,29,50,,
JBLB,34,21,10,,
NIFRA,44,26,50,,
AKPL,57,50,500,,
NBL,19,16,20,,
SADBL,19,29,20,,
CBL,14,19,10,,
SAHAS,28,56,10,,
API,45,52,632,,
API,45,37,500,,
API,45,25,100,,
API,45,28,50,,
API,45,58,300,,
API,45,58,200,,
API,45,14,1000,,
API,45,1,588,,
API,45,55,100,,
API,45,10,117,,
API,45,13,100,,
API,45,39,100,,
API,45,5,13,,
PPCL,19,45,463,,
SAHAS,28,17,10,,
NABIL,13,4,10,,
NABIL,29,4,15,,
SAHAS,28,55,10,,
NHPC,7,21,20,,
SANIMA,22,34,185,,
NIL,28,48,21,,
NIL,49,48,59,,
NIL,28,48,50,,
NIL,52,48,40,,
NMB,36,1,30,,
SAHAS,28,18,10,,
SAHAS,28,28,10,,
SAHAS,28,28,10,,
SAHAS,28,34,10,,
MLBL,51,4,200,,
NICLBSL,38,47,10,,
NBL,8,39,50,,
NBL,33,39,25,,
NBL,3,39,25,,
PRVU,21,57,20,,
PRVU,34,21,400,,
UPCL,39,17,90,,
LBBL,25,32,100,,
LBBL,58,32,45,,
LBBL,57,32,500,,
LBBL,53,32,400,,
LBBL,59,32,400,,
NIFRA,38,44,10,,
PMHPL,57,36,70,,
LBBL,38,59,50,,
SAHAS,28,49,10,,
NHPC,1,37,200,,
AKJCL,43,21,100,,
NIFRA,45,26,100,,
AHPC,46,5,900,,
SHL,59,25,200,,
MLBL,34,38,50,,
API,8,5,187,,
API,8,13,13,,
API,8,19,100,,
API,8,41,500,,
RADHI,34,45,100,,
SAHAS,28,26,10,,
AKPL,22,50,323,,
AKPL,22,6,75,,
AKPL,22,38,102,,
SAHAS,28,6,10,,
SPDL,52,49,207,,
NIFRA,28,26,80,,
SBL,10,29,300,,
SAHAS,28,34,10,,
AKJCL,50,47,100,,
MLBL,45,1,560,,
JFL,38,35,25,,
JFL,38,50,125,,
SLI,42,21,10,,
NUBL,48,4,80,,
NBB,52,36,200,,
NABIL,32,10,10,,
LBL,53,39,72,,
HURJA,14,50,10,,
NABIL,4,10,100,,
ICFC,52,28,50,,
MNBBL,19,36,300,,
SAHAS,28,17,10,,
SAHAS,28,47,10,,
SAHAS,28,20,10,,
NABIL,1,10,122,,
NRIC,57,58,50,,
NABIL,58,10,30,,
PLI,38,21,10,,
NGPL,56,41,10,,
AHPC,42,16,30,,
SAHAS,28,39,10,,
MLBSL,28,36,10,,
SAHAS,28,22,10,,
UMHL,36,56,278,,
KSBBL,36,57,50,,
API,49,42,500,,
API,49,21,100,,
NLG,14,45,30,,
NABIL,48,10,10,,
MLBL,45,17,100,,
LUK,43,28,1000,,
SAHAS,28,58,10,,
AHPC,58,33,30,,
SSHL,14,49,400,,
SSHL,14,41,100,,
LEMF,3,52,100,,
MKJC,16,35,10,,
MKJC,16,7,10,,
MKJC,16,49,10,,
NABIL,57,42,100,,
GBBL,42,39,410,,
NABIL,57,42,20,,
NIFRA,47,21,60,,
SAHAS,28,58,10,,
ULI,45,36,50,,
SIL,16,37,50,,
ULI,50,36,10,,
SIL,17,37,250,,
ULI,21,36,90,,
NIFRA,47,16,145,,
KSBBL,19,57,235,,
SAHAS,28,49,10,,
SIL,17,18,50,,
NIFRA,47,29,60,,
NIFRA,47,56,50,,
NIFRA,47,43,50,,
SAHAS,28,47,10,,
NIFRA,47,58,101,,
SAHAS,28,35,10,,
SAHAS,28,16,10,,
AKPL,51,13,20,,
NIFRA,19,58,20,,
SAHAS,28,35,10,,
MLBL,16,34,135,,
MLBL,51,34,100,,
MLBL,38,34,35,,
NICLBSL,46,21,10,,
KSBBL,19,59,120,,
NIFRA,42,17,30,,
NIFRA,46,17,30,,
NHPC,38,6,25,,
NHPC,57,6,80,,
NHPC,58,6,100,,
NHPC,25,6,20,,
AKJCL,43,47,50,,
NABIL,39,10,150,,
BPCL,28,58,181,,
GUFL,28,28,200,,
SHL,54,14,100,,
NGPL,56,43,36,,
NBB,11,36,50,,
KSBBL,19,6,135,,
SAHAS,28,44,10,,
SAHAS,28,55,10,,
MLBSL,28,4,10,,
MLBSL,28,47,10,,
UPPER,41,42,50,,
AKPL,58,57,20,,
SAHAS,28,49,10,,
KRBL,39,13,951,,
KRBL,39,43,54,,
JLI,59,21,10,,
CBL,58,19,10,,
