Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,11,100.0,ACLBSL,16,10
ACLBSL,16,10.0,ACLBSL,19,20
ACLBSL,19,25.0,ACLBSL,25,65
ACLBSL,25,40.0,ACLBSL,26,380
ACLBSL,26,60.0,ACLBSL,34,120
ACLBSL,33,50.0,ACLBSL,35,10
ACLBSL,34,10.0,ACLBSL,36,10
ACLBSL,35,50.0,ACLBSL,38,10
ACLBSL,38,240.0,ACLBSL,41,20
ACLBSL,42,10.0,ACLBSL,45,460
ACLBSL,48,50.0,ACLBSL,47,10
ACLBSL,49,10.0,ACLBSL,49,20
ACLBSL,51,210.0,ACLBSL,50,10
ACLBSL,54,175.0,ACLBSL,52,20
ACLBSL,57,290.0,ACLBSL,54,20
ACLBSL,8,20.0,ACLBSL,55,40
ADBL,1,1394.0,ACLBSL,57,60
ADBL,11,300.0,ACLBSL,58,65
ADBL,13,63.0,ADBL,1,984
ADBL,14,22653.0,ADBL,10,400
ADBL,16,1067.0,ADBL,11,82
ADBL,17,325.0,ADBL,14,8168
ADBL,19,1100.0,ADBL,16,6386
ADBL,21,1434.0,ADBL,17,1120
ADBL,22,790.0,ADBL,18,312
ADBL,25,200.0,ADBL,19,934
ADBL,26,165.0,ADBL,20,1603
ADBL,28,12015.0,ADBL,21,885
ADBL,29,900.0,ADBL,22,1464
ADBL,32,302.0,ADBL,25,369
ADBL,33,5199.0,ADBL,26,2536
ADBL,34,3377.0,ADBL,29,1410
ADBL,35,1110.0,ADBL,3,2040
ADBL,36,280.0,ADBL,32,990
ADBL,37,847.0,ADBL,33,2928
ADBL,38,450.0,ADBL,34,4992
ADBL,4,1110.0,ADBL,35,871
ADBL,40,260.0,ADBL,36,500
ADBL,41,1190.0,ADBL,37,1700
ADBL,42,1459.0,ADBL,38,1947
ADBL,43,5415.0,ADBL,39,2594
ADBL,44,25.0,ADBL,4,735
ADBL,45,2096.0,ADBL,40,2563
ADBL,46,1015.0,ADBL,41,5334
