Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,13,300,ACLBSL,14,10.0
ACLBSL,17,60,ACLBSL,21,25.0
ACLBSL,32,10,ACLBSL,22,50.0
ACLBSL,33,93,ACLBSL,26,10.0
ACLBSL,35,10,ACLBSL,29,20.0
ACLBSL,41,50,ACLBSL,33,100.0
ACLBSL,43,53,ACLBSL,34,208.0
ACLBSL,45,30,ACLBSL,35,130.0
ACLBSL,53,50,ACLBSL,38,100.0
ACLBSL,55,20,ACLBSL,4,20.0
ACLBSL,57,100,ACLBSL,41,15.0
ADBL,1,260,ACLBSL,45,20.0
ADBL,13,270,ACLBSL,49,28.0
ADBL,14,1200,ACLBSL,51,40.0
ADBL,16,50,ADBL,1,169.0
ADBL,17,30,ADBL,10,150.0
ADBL,18,50,ADBL,14,1050.0
ADBL,19,700,ADBL,16,100.0
ADBL,21,507,ADBL,18,38.0
ADBL,22,155,ADBL,19,389.0
ADBL,25,322,ADBL,20,1000.0
ADBL,28,260,ADBL,21,751.0
ADBL,29,1000,ADBL,22,200.0
ADBL,3,80,ADBL,26,1183.0
ADBL,32,100,ADBL,29,634.0
ADBL,34,90,ADBL,33,30.0
ADBL,35,350,ADBL,34,460.0
ADBL,38,850,ADBL,36,100.0
ADBL,39,200,ADBL,38,243.0
ADBL,40,556,ADBL,4,250.0
ADBL,41,180,ADBL,41,397.0
ADBL,42,175,ADBL,42,347.0
ADBL,43,772,ADBL,43,74.0
ADBL,45,525,ADBL,45,194.0
ADBL,46,80,ADBL,47,100.0
ADBL,47,99,ADBL,49,1016.0
ADBL,48,130,ADBL,51,1290.0
ADBL,49,960,ADBL,53,254.0
ADBL,5,172,ADBL,54,319.0
ADBL,50,500,ADBL,55,50.0
ADBL,51,265,ADBL,57,1530.0
ADBL,52,152,ADBL,58,2910.0
ADBL,53,300,ADBL,6,15.0
ADBL,54,245,AHPC,1,1000.0
ADBL,55,2598,AHPC,11,200.0
ADBL,56,30,AHPC,13,386.0
ADBL,57,780,AHPC,14,4161.0
ADBL,58,150,AHPC,16,6808.0
ADBL,6,50,AHPC,17,1300.0
ADBL,7,50,AHPC,18,950.0
AHPC,1,260,AHPC,19,800.0
AHPC,10,600,AHPC,20,1240.0
AHPC,11,200,AHPC,21,1400.0
AHPC,13,525,AHPC,22,500.0
AHPC,14,4170,AHPC,26,1981.0
AHPC,16,70,AHPC,28,780.0
AHPC,17,527,AHPC,29,200.0
AHPC,18,450,AHPC,3,4604.0
AHPC,19,560,AHPC,32,5096.0
AHPC,20,1928,AHPC,33,603.0
AHPC,21,2845,AHPC,34,1110.0
AHPC,22,110,AHPC,35,2204.0
AHPC,25,1390,AHPC,36,2193.0
AHPC,26,1440,AHPC,37,500.0
AHPC,28,3117,AHPC,38,1980.0
AHPC,29,630,AHPC,39,466.0
AHPC,3,2130,AHPC,4,8470.0
AHPC,32,950,AHPC,40,2041.0
AHPC,33,1300,AHPC,41,460.0
AHPC,34,4500,AHPC,42,4500.0
AHPC,35,4489,AHPC,43,942.0
AHPC,36,1070,AHPC,44,14290.0
AHPC,37,2982,AHPC,45,8320.0
AHPC,38,3381,AHPC,46,800.0
AHPC,39,1890,AHPC,48,130.0
AHPC,4,500,AHPC,49,566.0
AHPC,40,3050,AHPC,5,3607.0
AHPC,41,910,AHPC,52,50.0
AHPC,42,630,AHPC,53,1083.0
AHPC,43,828,AHPC,55,600.0
AHPC,44,715,AHPC,56,750.0
AHPC,45,3560,AHPC,57,920.0
