Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,29,10,ACLBSL,21,11.0
ACLBSL,47,40,ACLBSL,35,20.0
ACLBSL,49,31,ACLBSL,4,10.0
ACLBSL,59,80,ACLBSL,40,100.0
ADBL,13,86,ACLBSL,44,10.0
ADBL,19,10,ACLBSL,52,10.0
ADBL,21,30,ADBL,1,500.0
ADBL,22,41,ADBL,21,200.0
ADBL,29,100,ADBL,26,1081.0
ADBL,33,500,ADBL,34,98.0
ADBL,34,100,ADBL,35,68.0
ADBL,38,295,ADBL,4,6.0
ADBL,4,16,ADBL,41,487.0
ADBL,42,433,ADBL,42,20.0
ADBL,46,474,ADBL,45,206.0
ADBL,48,135,ADBL,47,174.0
ADBL,49,50,ADBL,48,40.0
ADBL,52,1600,ADBL,56,139.0
ADBL,57,10,ADBL,57,580.0
ADBL,58,144,ADBL,6,500.0
ADBL,59,75,AHPC,13,200.0
AHPC,1,10,AHPC,14,1060.0
AHPC,13,150,AHPC,28,200.0
AHPC,16,1000,AHPC,3,100.0
AHPC,18,10,AHPC,32,400.0
AHPC,21,70,AHPC,35,1414.0
AHPC,25,220,AHPC,38,1560.0
AHPC,29,100,AHPC,4,3.0
AHPC,3,100,AHPC,41,100.0
AHPC,34,30,AHPC,42,233.0
AHPC,36,1804,AHPC,45,159.0
AHPC,38,590,AHPC,47,400.0
AHPC,4,103,AHPC,48,645.0
AHPC,42,100,AHPC,51,2346.0
AHPC,45,3578,AHPC,52,50.0
AHPC,46,198,AHPC,55,150.0
AHPC,47,18,AHPC,58,400.0
AHPC,49,100,AHPC,59,110.0
AHPC,50,200,AHPC,6,851.0
AHPC,56,20,AIL,16,10.0
AHPC,57,600,AIL,17,70.0
AHPC,58,80,AIL,21,10.0
AHPC,59,1000,AIL,22,10.0
AHPC,6,50,AIL,25,10.0
AHPC,8,250,AIL,26,20.0
AIL,19,10,AIL,37,10.0
AIL,40,100,AIL,42,10.0
AIL,42,10,AIL,44,30.0
AIL,45,60,AIL,5,20.0
AIL,49,10,AKJCL,14,50.0
AIL,5,10,AKJCL,25,50.0
AKJCL,42,60,AKJCL,42,60.0
AKJCL,7,100,AKPL,13,230.0
AKPL,1,1000,AKPL,17,539.0
AKPL,14,50,AKPL,21,832.0
AKPL,16,2400,AKPL,22,100.0
AKPL,20,1000,AKPL,3,825.0
AKPL,25,205,AKPL,33,1154.0
AKPL,26,100,AKPL,35,5280.0
AKPL,28,10,AKPL,4,5.0
AKPL,29,20,AKPL,42,560.0
AKPL,3,20,AKPL,45,50.0
AKPL,34,162,AKPL,47,110.0
AKPL,35,50,AKPL,48,10.0
AKPL,36,1141,AKPL,50,80.0
AKPL,37,232,AKPL,54,60.0
AKPL,38,2100,AKPL,55,121.0
AKPL,4,35,AKPL,56,500.0
AKPL,41,10,AKPL,57,270.0
AKPL,42,600,AKPL,58,300.0
AKPL,44,20,AKPL,6,1150.0
AKPL,45,235,ALBSL,10,10.0
AKPL,46,400,ALBSL,22,10.0
AKPL,47,30,ALBSL,34,30.0
AKPL,49,50,ALBSL,39,2.0
AKPL,50,1055,ALBSL,5,100.0
AKPL,51,411,ALBSL,57,34.0
AKPL,57,100,ALBSL,59,10.0
AKPL,58,540,ALICL,22,30.0
AKPL,6,200,ALICL,39,30.0
ALBSL,10,10,ALICL,45,400.0
ALBSL,34,30,API,11,100.0
ALBSL,35,20,API,17,500.0
ALBSL,37,100,API,21,532.0
ALBSL,39,2,API,26,3412.0
ALBSL,56,34,API,28,115.0
ALICL,19,20,API,33,100.0
ALICL,22,240,API,34,1010.0
ALICL,26,40,API,35,30.0
ALICL,37,30,API,38,210.0
ALICL,44,30,API,39,3400.0
ALICL,45,100,API,4,55.0
API,11,50,API,45,300.0
API,14,421,API,46,400.0
API,16,1300,API,47,22.0
API,18,100,API,48,53.0
API,20,10,API,49,23.0
API,21,240,API,5,1000.0
API,25,15,API,50,20.0
API,34,40,API,53,70.0
API,35,80,API,55,1638.0
API,37,160,API,58,511.0
API,38,100,API,59,150.0
API,39,10,API,7,500.0
API,4,500,BARUN,14,45.0
API,41,500,BARUN,3,482.0
API,42,760,BARUN,41,30.0
API,43,1000,BARUN,42,10.0
API,44,2473,BARUN,59,150.0
API,45,800,BBC,34,10.0
API,46,428,BBC,43,10.0
API,47,1,BFC,1,100.0
API,49,157,BFC,10,500.0
API,50,20,BFC,29,10.0
API,51,36,BFC,39,590.0
API,55,10,BFC,41,100.0
API,56,100,BFC,52,1000.0
API,58,3320,BNT,33,20.0
API,59,1000,BOKL,22,75.0
API,6,400,BOKL,28,3334.0
API,8,120,BOKL,36,50.0
BARUN,1,10,BOKL,39,433.0
BARUN,14,30,BOKL,41,20.0
BARUN,41,100,BOKL,42,108.0
BARUN,42,402,BOKL,43,100.0
BARUN,44,100,BOKL,45,210.0
BARUN,48,15,BOKL,49,59.0
BARUN,49,10,BOKL,57,100.0
BARUN,58,50,BOKL,8,500.0
BBC,11,10,BPCL,11,50.0
BBC,13,10,BPCL,14,43.0
BFC,14,40,BPCL,16,100.0
BFC,19,100,BPCL,17,300.0
BFC,22,550,BPCL,19,150.0
BFC,29,100,BPCL,20,50.0
BFC,35,100,BPCL,34,300.0
BFC,41,200,BPCL,36,80.0
BFC,42,140,BPCL,39,70.0
BFC,48,1000,BPCL,4,80.0
BFC,57,10,BPCL,41,200.0
BFC,58,60,BPCL,46,10.0
BNT,19,20,BPCL,47,13.0
BOKL,17,460,BPCL,48,10.0
BOKL,21,30,BPCL,49,40.0
BOKL,22,60,BPCL,58,40.0
BOKL,3,500,CBBL,1,100.0
BOKL,32,30,CBBL,29,25.0
BOKL,34,125,CBBL,3,230.0
BOKL,35,100,CBBL,33,40.0
BOKL,38,315,CBBL,35,50.0
BOKL,4,50,CBBL,39,100.0
BOKL,42,30,CBBL,4,318.0
BOKL,45,1200,CBBL,42,100.0
BOKL,47,50,CBBL,43,10.0
BOKL,48,30,CBBL,45,120.0
BOKL,49,60,CBBL,47,1.0
BOKL,5,20,CBBL,48,10.0
BOKL,50,50,CBBL,49,24.0
BOKL,52,1157,CBBL,52,100.0
BOKL,57,418,CBBL,55,10.0
BOKL,58,109,CBBL,57,168.0
BOKL,6,170,CBBL,58,175.0
BOKL,7,25,CBBL,7,56.0
BPCL,13,100,CBL,13,200.0
BPCL,16,10,CBL,14,200.0
BPCL,17,30,CBL,21,250.0
BPCL,21,100,CBL,25,220.0
BPCL,34,138,CBL,28,10.0
BPCL,35,100,CBL,29,622.0
BPCL,38,15,CBL,32,80.0
BPCL,39,2,CBL,33,335.0
BPCL,4,70,CBL,34,200.0
BPCL,40,10,CBL,36,10.0
BPCL,41,100,CBL,38,60.0
BPCL,42,34,CBL,42,10.0
BPCL,43,80,CBL,46,100.0
BPCL,45,100,CBL,49,800.0
BPCL,49,40,CBL,53,40.0
BPCL,50,20,CBL,57,432.0
BPCL,56,327,CBL,58,250.0
BPCL,57,20,CBL,59,200.0
BPCL,58,40,CCBL,11,30.0
BPCL,8,200,CCBL,14,700.0
CBBL,1,10,CCBL,25,108.0
CBBL,14,110,CCBL,32,500.0
CBBL,17,50,CCBL,35,790.0
CBBL,22,230,CCBL,37,507.0
CBBL,26,20,CCBL,39,4.0
CBBL,3,200,CCBL,4,503.0
CBBL,32,20,CCBL,42,137.0
CBBL,38,20,CCBL,44,387.0
CBBL,4,95,CCBL,45,500.0
CBBL,42,112,CCBL,47,1003.0
CBBL,45,120,CCBL,51,1000.0
CBBL,47,1,CCBL,53,36.0
CBBL,49,20,CCBL,55,500.0
CBBL,52,176,CCBL,58,735.0
CBBL,57,75,CCBL,59,500.0
CBBL,58,378,CCBL,6,20.0
CBL,13,300,CFCL,17,150.0
CBL,21,10,CFCL,3,10.0
CBL,22,85,CFCL,32,300.0
CBL,33,1559,CFCL,45,240.0
CBL,34,30,CFCL,58,20.0
CBL,36,752,CGH,16,10.0
CBL,38,15,CGH,19,20.0
CBL,41,500,CGH,20,20.0
CBL,42,200,CGH,21,275.0
CBL,43,50,CGH,22,60.0
CBL,45,235,CGH,25,190.0
CBL,48,75,CGH,28,200.0
CBL,49,100,CGH,32,20.0
CBL,57,43,CGH,34,60.0
CBL,58,65,CGH,4,120.0
CCBL,10,1008,CGH,40,50.0
CCBL,17,120,CGH,41,170.0
CCBL,20,100,CGH,42,20.0
CCBL,21,20,CGH,43,10.0
CCBL,22,310,CGH,45,10.0
CCBL,26,105,CGH,47,200.0
CCBL,29,200,CGH,49,110.0
CCBL,32,3195,CGH,51,10.0
CCBL,34,170,CGH,52,30.0
CCBL,39,41,CGH,57,25.0
CCBL,4,12,CGH,58,20.0
CCBL,41,700,CGH,59,80.0
CCBL,42,100,CGH,7,10.0
CCBL,43,200,CHCL,1,100.0
CCBL,44,250,CHCL,17,750.0
CCBL,45,631,CHCL,19,150.0
CCBL,47,3,CHCL,25,115.0
CCBL,48,10,CHCL,33,2958.0
CCBL,49,530,CHCL,4,1.0
CCBL,58,245,CHCL,41,50.0
CCBL,59,10,CHCL,44,16.0
CFCL,22,150,CHCL,45,500.0
CFCL,33,300,CHCL,47,5.0
CFCL,38,10,CHCL,58,280.0
CFCL,56,40,CHCL,7,300.0
CFCL,58,20,CHDC,14,20.0
CFCL,6,200,CHDC,28,100.0
CGH,14,10,CHDC,36,10.0
CGH,20,20,CHDC,37,10.0
CGH,22,10,CHDC,47,10.0
CGH,25,20,CHDC,48,10.0
CGH,38,10,CHDC,49,1330.0
CGH,41,400,CHDC,56,180.0
CGH,42,250,CHDC,58,20.0
CGH,45,450,CHL,10,10.0
CGH,49,540,CHL,21,170.0
CGH,57,10,CHL,34,100.0
CHCL,10,200,CHL,58,745.0
CHCL,13,100,CIT,16,10.0
CHCL,14,50,CIT,3,50.0
CHCL,16,200,CIT,4,112.0
CHCL,17,100,CIT,45,20.0
CHCL,21,600,CIT,49,10.0
CHCL,22,1080,CIT,5,15.0
CHCL,29,45,CIT,52,220.0
CHCL,33,20,CIT,54,110.0
CHCL,35,295,CIT,55,43.0
CHCL,37,200,CIT,56,14.0
CHCL,4,11,CIT,57,122.0
CHCL,41,100,CIT,58,51.0
CHCL,43,50,CLBSL,20,20.0
CHCL,44,70,CLBSL,34,10.0
CHCL,45,10,CLBSL,35,10.0
CHCL,46,800,CLBSL,47,10.0
CHCL,47,5,CLBSL,56,20.0
CHCL,48,284,CMF1,14,1000.0
CHCL,49,100,CMF1,35,11000.0
CHCL,5,100,CMF2,59,200.0
CHCL,50,365,CORBL,16,20.0
CHCL,51,30,CORBL,52,110.0
CHCL,56,25,CORBL,58,10.0
CHCL,58,210,CZBIL,14,100.0
CHCL,6,95,CZBIL,16,1100.0
CHCL,7,80,CZBIL,17,100.0
CHDC,18,590,CZBIL,21,10.0
CHDC,21,100,CZBIL,25,1000.0
CHDC,33,70,CZBIL,26,500.0
CHDC,35,10,CZBIL,32,200.0
CHDC,45,600,CZBIL,33,514.0
CHDC,46,200,CZBIL,34,1050.0
CHDC,48,10,CZBIL,35,151.0
CHDC,49,50,CZBIL,38,279.0
CHDC,5,20,CZBIL,4,8093.0
CHDC,54,10,CZBIL,41,600.0
CHDC,58,30,CZBIL,43,50.0
CHL,1,100,CZBIL,44,1272.0
CHL,22,105,CZBIL,45,643.0
CHL,25,10,CZBIL,47,200.0
CHL,29,100,CZBIL,48,100.0
CHL,35,110,CZBIL,50,812.0
CHL,50,500,CZBIL,51,2180.0
CHL,58,100,CZBIL,55,13499.0
CIT,1,10,CZBIL,57,500.0
CIT,13,14,DDBL,1,100.0
CIT,16,50,DDBL,14,50.0
CIT,17,32,DDBL,22,65.0
CIT,19,200,DDBL,25,35.0
CIT,22,60,DDBL,26,200.0
CIT,26,50,DDBL,32,15.0
CIT,29,11,DDBL,34,58.0
CIT,32,55,DDBL,38,122.0
CIT,39,50,DDBL,4,122.0
CIT,44,15,DDBL,41,98.0
CIT,45,100,DDBL,45,110.0
CIT,49,30,DDBL,47,1.0
CIT,58,100,DDBL,48,10.0
CLBSL,29,10,DDBL,49,80.0
CLBSL,34,40,DDBL,5,10.0
CLBSL,40,10,DDBL,52,12.0
CLBSL,49,10,DDBL,56,15.0
CMF1,22,1900,DDBL,57,50.0
CMF1,42,100,DDBL,58,135.0
CMF1,43,1000,DDBL,6,20.0
CMF1,59,6000,DHPL,13,20.0
CMF1,8,3000,DHPL,14,100.0
CMF2,35,100,DHPL,35,10.0
CMF2,58,100,DHPL,45,20.0
CORBL,13,40,DHPL,48,140.0
CORBL,17,100,DHPL,58,200.0
CZBIL,1,1200,EBL,13,400.0
CZBIL,10,745,EBL,16,4076.0
CZBIL,11,1017,EBL,28,200.0
CZBIL,13,32,EBL,29,500.0
CZBIL,14,1581,EBL,32,50.0
CZBIL,16,660,EBL,34,80.0
CZBIL,17,1510,EBL,37,1050.0
CZBIL,20,300,EBL,4,453.0
CZBIL,21,1046,EBL,41,100.0
CZBIL,22,630,EBL,44,1353.0
CZBIL,25,700,EBL,48,35.0
CZBIL,26,300,EBL,49,43.0
CZBIL,28,120,EBL,7,46.0
CZBIL,29,200,EDBL,22,10.0
CZBIL,3,50,EDBL,32,100.0
CZBIL,32,100,EDBL,33,685.0
CZBIL,33,250,EDBL,34,96.0
CZBIL,34,400,EDBL,37,50.0
CZBIL,36,342,EDBL,42,100.0
CZBIL,37,150,EDBL,46,15.0
CZBIL,38,720,EIC,17,1310.0
CZBIL,4,490,EIC,34,50.0
CZBIL,40,919,EIC,38,50.0
CZBIL,41,950,EIC,48,500.0
CZBIL,42,1976,EIC,49,100.0
CZBIL,43,590,EICPO,34,20.0
CZBIL,44,350,EICPO,4,6000.0
CZBIL,45,3799,EICPO,43,10.0
CZBIL,46,210,FMDBL,17,910.0
CZBIL,48,580,FMDBL,26,10.0
CZBIL,49,13,FMDBL,5,540.0
CZBIL,5,3500,FMDBL,57,124.0
CZBIL,50,1590,FOWAD,10,60.0
CZBIL,51,286,FOWAD,16,10.0
CZBIL,52,1000,FOWAD,21,20.0
CZBIL,53,375,FOWAD,25,10.0
CZBIL,55,1360,FOWAD,34,20.0
CZBIL,57,95,FOWAD,4,95.0
CZBIL,58,397,FOWAD,41,130.0
CZBIL,59,1370,FOWAD,44,575.0
CZBIL,6,20,FOWAD,45,211.0
CZBIL,8,30,FOWAD,47,5.0
CZBIL,D01,1000,FOWAD,5,50.0
DDBL,16,20,FOWAD,50,719.0
DDBL,17,163,FOWAD,54,11.0
DDBL,22,40,FOWAD,58,20.0
DDBL,29,12,FOWAD,59,226.0
DDBL,33,10,FOWAD,6,40.0
DDBL,34,50,FOWAD,8,40.0
DDBL,35,50,GBBL,14,650.0
DDBL,38,122,GBBL,22,40.0
DDBL,39,80,GBBL,29,200.0
DDBL,41,40,GBBL,33,20.0
DDBL,42,250,GBBL,38,850.0
DDBL,45,128,GBBL,39,50.0
DDBL,47,1,GBBL,40,995.0
DDBL,49,50,GBBL,41,500.0
DDBL,51,20,GBBL,42,550.0
DDBL,52,115,GBBL,46,100.0
DDBL,57,90,GBBL,47,525.0
DDBL,58,42,GBBL,49,13.0
DDBL,6,25,GBBL,50,500.0
DHPL,10,10,GBBL,52,130.0
DHPL,29,60,GBBL,57,165.0
DHPL,32,150,GBBL,58,390.0
DHPL,35,10,GBBL,59,600.0
DHPL,42,100,GBBL,6,1.0
DHPL,45,100,GBBL,7,303.0
DHPL,49,40,GBIME,1,72.0
DHPL,58,20,GBIME,13,100.0
EBL,1,200,GBIME,14,1614.0
EBL,16,240,GBIME,16,598.0
EBL,20,20,GBIME,21,2938.0
EBL,22,100,GBIME,22,1124.0
EBL,28,10,GBIME,25,510.0
EBL,32,200,GBIME,29,1100.0
EBL,33,2032,GBIME,33,167.0
EBL,35,985,GBIME,34,180.0
EBL,37,33,GBIME,35,400.0
EBL,38,10,GBIME,37,100.0
EBL,39,50,GBIME,38,1200.0
EBL,4,18,GBIME,39,1000.0
